Выборы Президента Российской Федерации																																																																																																																																						
Дата голосования: 04.03.2012																																																																																																																																						
																																																																																																																																						
Наименование Избирательной комиссии:    Таганрогская городская																																																																																																																																						
																																																																																																																																						
Сводная таблица итогов голосования																																																																																																																																						
																																																																																																																																						
	Число участковых избирательных комиссий	123																																																																																																																																				
	Число участковых избирательных комиссий, приступивших к передаче сведений	123																																																																																																																																				
																																																																																																																																						
		Сумма	УИК №1322	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2474	УИК №2479	УИК №2522	УИК №2523	УИК №2620									
1	Число избирателей, включенных в список избирателей	231128	415	1750	1858	2175	1828	1892	1783	1844	2101	2246	1946	1695	2003	2021	1949	1728	1799	1844	1544	2148	2121	2332	2142	2240	1995	2067	1228	1712	1756	1704	1990	2166	2171	1882	1708	1690	1804	978	1677	1282	1473	2220	2435	2488	2408	1771	1842	1851	1798	1823	2723	2833	1131	1879	2420	2465	2031	1678	1946	2038	1761	2004	1202	1653	2273	1864	2093	1874	1870	2257	2161	2640	2186	2063	1965	1954	2467	2086	2254	1340	1748	1766	1464	1854	1947	1810	2121	2044	2144	2019	1483	1673	1611	1433	1318	2021	1947	2405	2233	2016	1724	2353	1915	2139	1656	2199	1588	1522	1651	1537	1020	1964	2095	2084	1904	2680	2668	2397	392	488	2014	1634	13									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	203600	450	1550	1600	1950	1600	1650	1600	1650	1850	2000	1700	1500	1800	1800	1750	1550	1550	1650	1350	1900	1900	2050	1900	1950	1800	1800	1050	1500	1550	1500	1750	1950	1950	1650	1500	1500	1600	850	1400	1150	1300	1950	2100	2200	2150	1600	1650	1650	1600	1650	2000	2000	1000	1650	2150	2200	1850	1550	1750	1800	1550	1750	1050	1450	2050	1650	1850	1650	1650	2000	1900	2100	1950	1850	1850	1750	2200	1850	1850	1200	1550	1550	1300	1650	1750	1600	1800	1850	1900	1600	1300	1450	1450	1250	1150	1800	1700	2150	2000	1800	1550	2100	1700	1900	1400	2000	1400	1350	1500	1350	900	1750	1850	1850	1650	2400	2350	2150	400	500	1750	1450	50									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	141920	415	1082	1259	1213	1018	1061	1056	1117	1214	1293	1089	1015	1250	1003	1031	992	1039	1183	805	1227	1371	1365	1333	1260	1245	1281	704	1100	1088	965	1212	1192	1266	1116	1060	992	1060	595	1001	833	959	1382	1538	1617	1509	1172	1248	1292	1122	973	1641	1749	759	1229	1445	1643	1383	1015	1211	1378	974	1113	761	991	1341	1236	1526	1227	1172	1362	1017	1855	1449	1245	1149	1108	1335	1062	1572	807	1101	1179	922	1213	1270	1179	1161	1150	1392	1285	958	1120	1112	1026	712	1180	1110	1480	1324	1289	1129	1400	1262	1323	1048	1354	956	995	1097	960	611	1224	1282	1374	1068	1772	1634	1458	161	282	1334	1052	13									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	6528	0	56	24	85	50	72	40	53	68	43	78	67	61	75	73	66	88	60	47	62	50	43	53	82	26	74	42	36	53	41	58	62	61	39	59	52	47	47	53	49	54	81	44	14	31	85	32	118	17	22	32	48	16	31	90	104	133	58	30	41	64	12	31	54	74	21	33	58	38	74	65	70	43	105	66	56	57	70	76	45	54	61	54	29	30	55	39	40	60	17	76	44	29	15	36	33	41	80	89	40	25	44	14	41	41	71	60	47	39	58	28	50	33	60	49	21	48	40	229	172	28	20	0									
6	Число погашенных избирательных бюллетеней	55152	35	412	317	652	532	517	504	480	568	664	533	418	489	722	646	492	423	407	498	611	479	642	514	608	529	445	304	364	409	494	480	696	623	495	381	456	493	208	346	268	287	487	518	569	610	343	370	240	461	655	327	203	225	390	615	453	334	477	509	381	512	625	258	405	635	393	291	365	440	564	818	175	458	500	635	586	808	718	202	348	395	310	324	408	450	366	600	660	448	298	266	286	309	209	402	587	549	590	587	471	396	656	424	536	311	575	384	308	364	332	261	476	535	416	533	607	668	652	10	46	388	378	37									
