Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Калачевская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897					
1	"Число избирателей, внесенных в списки избирателей"	41011	458	114	223	179	749	411	90	1038	1847	722	136	879	706	1322	1619	265	1100	193	292	404	435	181	122	232	195	185	892	525	1514	212	86	190	178	539	201	342	1508	1516	737	341	480	2005	1380	1840	2057	2031	1452	752	1799	1704	1175	1366	92					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	45150	525	115	235	200	930	430	115	1135	1895	745	155	845	945	1260	1590	285	1160	220	300	470	495	200	145	290	265	205	940	625	1315	230	105	235	220	620	260	390	1550	1590	760	325	480	2365	1745	1765	2185	2735	1565	1060	1875	2045	1515	1370	125					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	26171	293	86	181	66	416	257	90	692	1003	388	73	486	635	890	919	217	674	157	171	305	312	146	105	186	181	157	516	374	722	152	84	113	116	334	122	220	830	1210	412	216	270	1392	934	1302	1173	1501	945	490	986	1094	729	756	92					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2187	81	11	15	69	134	21	0	47	66	24	25	43	40	0	7	0	30	4	28	5	0	0	0	0	14	0	40	22	386	16	0	11	4	50	6	13	58	33	25	24	19	136	42	75	61	73	58	88	55	65	106	57	0					
6	Число погашенных избирательных бюллетеней	16792	151	18	39	65	380	152	25	396	826	333	57	316	270	370	664	68	456	59	101	160	183	54	40	104	70	48	384	229	207	62	21	111	100	236	132	157	662	347	323	85	191	837	769	388	951	1161	562	482	834	886	680	557	33					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2187	81	11	15	69	134	21	0	47	66	24	25	43	40	0	7	0	30	4	28	5	0	0	0	0	14	0	40	22	386	16	0	11	4	50	6	13	58	33	25	24	19	136	42	75	61	73	58	88	55	65	106	57	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26127	293	86	181	66	416	257	90	692	1003	388	73	443	635	890	919	217	674	157	171	305	312	146	105	186	181	157	516	374	722	152	84	113	116	334	122	220	830	1210	412	216	270	1392	934	1302	1173	1501	945	489	986	1094	729	756	92					
9	Число недействительных избирательных бюллетеней	253	2	0	3	0	4	2	0	5	10	4	0	5	11	14	16	0	14	1	0	0	0	1	0	0	0	3	2	14	4	0	0	0	0	3	0	3	8	4	5	4	2	7	8	12	10	19	4	7	9	13	10	9	1					
10	Число действительных избирательных бюллетеней	28061	372	97	193	135	546	276	90	734	1059	408	98	481	664	876	910	217	690	160	199	310	312	145	105	186	195	154	554	382	1104	168	84	124	120	381	128	230	880	1239	432	236	287	1521	968	1365	1224	1555	999	570	1032	1146	825	804	91					
