Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Калачевская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852					
1	"Число избирателей, внесенных в список избирателей"	47733	521	120	236	176	955	408	102	1229	1890	845	202	1570	1107	1363	1842	288	1094	222	288	434	490	203	167	281	262	198	914	590	1534	323	241	252	642	244	397	1506	1565	747	355	500	2685	1892	1524	2250	2556	1800	1222	1960	2139	1615	1663	124					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46850	520	120	230	160	950	420	100	1210	1850	850	190	1580	1100	1400	1700	280	1110	220	280	430	500	200	150	270	250	190	910	590	1360	320	230	250	630	240	390	1520	1590	730	360	500	2660	1850	1400	2170	2540	1770	1210	1920	2110	1590	1630	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20447	213	56	137	65	314	184	50	543	906	303	31	266	526	824	838	152	462	98	102	227	220	91	81	122	119	137	351	227	548	82	93	104	265	81	175	632	648	383	195	248	1143	801	984	972	1241	762	450	829	857	596	640	73					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2632	65	11	31	37	89	41	0	55	78	38	47	692	53	9	10	0	44	0	35	6	7	22	3	0	16	0	34	23	311	76	10	8	16	4	12	52	37	28	17	19	53	76	57	67	66	42	47	39	46	55	48	0					
6	Число погашенных избирательных бюллетеней	23771	242	53	62	58	547	195	50	612	866	509	112	622	521	567	852	128	604	122	143	197	273	87	66	148	115	53	525	340	501	162	127	138	349	155	203	836	905	319	148	233	1464	973	359	1131	1233	966	713	1052	1207	939	942	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2632	65	11	31	37	89	41	0	55	78	38	47	692	53	9	10	0	44	0	35	6	7	22	3	0	16	0	34	23	311	76	10	8	16	4	12	52	37	28	17	19	53	76	57	67	66	42	47	39	46	55	48	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20446	213	56	137	65	314	184	50	543	906	303	31	266	526	824	838	152	462	98	102	227	220	91	81	122	119	137	351	227	548	82	93	104	265	81	175	632	648	383	195	248	1143	801	984	972	1241	762	450	829	857	596	639	73					
9	Число недействительных избирательных бюллетеней	344	7	0	1	2	8	1	1	3	22	1	0	27	14	21	15	0	3	0	0	1	3	0	1	2	2	4	4	2	12	1	1	1	2	1	3	12	16	1	4	3	19	9	15	15	21	15	10	12	8	8	9	1					
10	Число действительных избирательных бюллетеней	22734	271	67	167	100	395	224	49	595	962	340	78	931	565	812	833	152	503	98	137	232	224	113	83	120	133	133	381	248	847	157	102	111	279	84	184	672	669	410	208	264	1177	868	1026	1024	1286	789	487	856	895	643	678	72					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	593	6	3	3	3	3	3	0	13	10	5	3	8	8	35	60	3	10	3	3	3	3	3	3	3	3	3	8	5	5	3	3	3	5	3	5	8	10	6	3	6	20	15	125	20	27	23	7	25	21	21	10	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	481	6	0	2	3	1	2	0	11	8	5	3	7	8	26	49	3	9	1	2	2	3	0	0	1	1	0	8	5	5	0	1	2	3	1	1	5	7	4	1	6	13	13	125	20	25	20	6	19	19	11	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	239	2	3	0	2	10	2	2	4	14	6	3	8	6	6	19	2	0	1	2	6	2	2	3	0	2	3	2	3	5	2	3	3	6	3	0	6	2	2	1	2	5	8	0	11	13	14	3	6	10	11	5	3					
