Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
"Наименование Избирательной комиссии:    Челябинск, Металлургическая"																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716					
1	"Число избирателей, внесенных в списки"	107247	1190	863	2239	2676	1523	1336	1390	1728	1280	1116	1776	1281	1603	1985	2354	1939	2132	1702	1674	1615	2022	1436	2133	1557	987	1266	1013	1413	1380	1467	2184	1056	1749	1470	2299	1907	1907	1843	2039	2223	2220	1590	2451	1470	1709	2154	2059	2497	1709	1468	1898	2409	2471	2363	2363	2488	2658	1885	2632					
2	"Число бюллетеней, полученных участковыми комиссиями"	99500	1000	700	2100	2500	1400	1200	1300	1600	1200	1100	1700	1200	1500	1800	2200	1800	2000	1600	1500	1500	1900	1400	2000	1500	1000	1200	800	1300	1300	1400	2000	1000	1600	1400	2100	1800	1800	1700	1900	2100	2000	1500	2200	1400	1600	2000	1900	2200	1600	1400	1800	2200	2300	2200	2200	2200	2500	1800	2400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	51969	475	525	957	1299	713	592	691	860	652	509	905	672	761	789	841	906	1105	897	894	704	892	714	1096	918	584	784	489	607	718	762	1146	555	750	792	940	955	902	832	1000	1102	1109	791	1222	752	865	1203	888	1299	865	725	1005	1246	1135	1061	1172	1076	1068	875	1327					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1916	148	5	25	22	33	39	24	12	24	20	30	31	41	15	36	22	25	36	20	22	22	16	20	20	20	21	164	48	13	18	28	19	20	18	19	26	52	49	40	31	32	41	38	26	37	21	23	33	16	21	22	18	49	11	15	39	123	44	13					
6	Число погашенных бюллетеней	45615	377	170	1118	1179	654	569	585	728	524	571	765	497	698	996	1323	872	870	667	586	774	986	670	884	562	396	395	147	645	569	620	826	426	830	590	1141	819	846	819	860	967	859	668	940	622	698	776	989	868	719	654	773	936	1116	1128	1013	1085	1309	881	1060					
7	Число бюллетеней в переносных ящиках для голосования	1916	148	5	25	22	33	39	24	12	24	20	30	31	41	15	36	22	25	36	20	22	22	16	20	20	20	21	164	48	13	18	28	19	20	18	19	26	52	49	40	31	32	41	38	26	37	21	23	33	16	21	22	18	49	11	15	39	123	44	13					
8	Число бюллетеней в стационарных ящиках для голосования	51928	474	524	957	1299	713	592	690	860	652	509	902	672	760	789	835	906	1100	895	894	704	887	713	1096	918	584	784	489	607	718	762	1145	555	750	792	940	955	902	832	1000	1101	1109	791	1222	752	865	1203	886	1299	861	725	1005	1244	1135	1057	1171	1076	1068	875	1327					
9	Число недействительных бюллетеней	945	22	23	25	24	22	15	11	21	17	11	19	17	8	7	17	15	9	10	4	11	14	8	14	5	8	7	7	7	5	21	16	11	13	18	11	10	12	9	20	22	16	16	22	14	23	37	14	22	18	16	16	22	42	34	8	14	8	25	32					
10	Число действительных бюллетеней	52899	600	506	957	1297	724	616	703	851	659	518	913	686	793	797	854	913	1116	921	910	715	895	721	1102	933	596	798	646	648	726	759	1157	563	757	792	948	971	942	872	1020	1110	1125	816	1238	764	879	1187	895	1310	859	730	1011	1240	1142	1034	1178	1101	1183	894	1308					
