Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    район Измайлово 																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №3671	УИК №3672									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	59488	1039	1435	1742	1728	1700	1721	1710	1367	1821	2000	1690	1271	2042	2364	2037	2132	1455	1741	1871	936	1044	1371	2382	740	2048	1766	2392	2059	2429	2395	1285	1903	1699	2007	140	26									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57150	900	1400	1700	1700	1600	1600	1600	1300	1800	1900	1600	1200	2000	2000	2000	2000	1400	1700	1800	700	1000	1300	2400	700	2000	1700	2400	2000	2400	2300	1200	1800	1700	2000	300	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20641	391	426	510	556	636	564	505	385	612	715	618	462	704	830	740	665	516	605	666	397	365	477	866	267	666	641	769	781	896	859	438	716	560	671	140	26									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	648	4	14	20	9	27	22	23	10	11	19	34	26	21	71	25	15	28	12	18	14	5	16	22	8	15	14	17	12	4	26	9	17	26	34	0	0									
6	Число погашенных избирательных бюллетеней	35861	505	960	1170	1135	937	1014	1072	905	1177	1166	948	712	1275	1099	1235	1320	856	1083	1116	289	630	807	1512	425	1319	1045	1614	1207	1500	1415	753	1067	1114	1295	160	24									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	648	4	14	20	9	27	22	23	10	11	19	34	26	21	71	25	15	28	12	18	14	5	16	22	8	15	14	17	12	4	26	9	17	26	34	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20593	390	424	510	552	635	563	505	385	603	715	618	461	703	830	738	664	516	605	666	397	365	477	844	267	665	640	769	781	895	859	438	716	560	671	140	26									
9	Число недействительных избирательных бюллетеней	338	6	9	10	12	7	8	13	6	6	11	17	6	15	12	5	8	5	7	11	2	15	8	16	2	6	6	11	18	14	18	14	14	7	11	1	1									
10	Число действительных избирательных бюллетеней	20903	388	429	520	549	655	577	515	389	608	723	635	481	709	889	758	671	539	610	673	409	355	485	850	273	674	648	775	775	885	867	433	719	579	694	139	25									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	610	10	10	20	20	10	20	10	20	20	20	10	20	20	20	30	30	10	20	20	20	20	10	20	10	10	20	30	20	30	20	10	10	20	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	389	3	4	15	11	8	9	9	13	11	12	6	13	11	20	23	22	6	10	11	7	8	5	17	7	6	10	17	16	21	14	6	8	12	18	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	727	97	16	22	6	55	114	19	9	6	43	60	24	23	15	7	9	9	5	18	9	12	4	3	9	21	13	8	10	16	22	8	14	5	14	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	221	7	6	5	9	2	11	1	7	9	8	4	7	9	0	7	8	4	10	9	13	12	5	3	3	4	10	13	4	9	6	4	2	8	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	71	1	1	0	1	0	1	2	0	1	3	2	5	2	1	2	0	1	0	1	1	0	2	9	1	1	2	4	2	2	13	3	0	4	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	780	17	18	23	14	25	15	11	12	21	30	29	14	22	29	28	19	22	21	30	17	8	18	17	5	22	32	38	28	45	32	18	28	35	33	4	0									
		3.67%	4.31%	4.11%	4.34%	2.50%	3.78%	2.56%	2.08%	3.04%	3.42%	4.09%	4.45%	2.87%	3.04%	3.22%	3.67%	2.80%	4.04%	3.40%	4.39%	4.14%	2.16%	3.65%	1.96%	1.82%	3.24%	4.89%	4.83%	3.53%	5.01%	3.62%	4.03%	3.82%	5.97%	4.68%	2.86%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	337	4	8	7	12	11	9	11	5	11	14	11	8	11	17	20	10	13	17	9	1	11	7	15	4	6	6	11	6	16	8	4	8	9	13	3	1									
		1.59%	1.02%	1.83%	1.32%	2.14%	1.66%	1.54%	2.08%	1.27%	1.79%	1.91%	1.69%	1.64%	1.52%	1.89%	2.62%	1.47%	2.39%	2.76%	1.32%	0.24%	2.97%	1.42%	1.73%	1.45%	0.88%	0.92%	1.40%	0.76%	1.78%	0.90%	0.89%	1.09%	1.54%	1.84%	2.14%	3.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	665	9	15	11	18	23	17	15	20	13	19	10	14	14	33	22	34	22	20	23	7	14	13	23	9	31	23	32	24	21	30	18	23	16	22	6	1									
		3.13%	2.28%	3.42%	2.08%	3.21%	3.47%	2.91%	2.84%	5.06%	2.12%	2.59%	1.53%	2.87%	1.93%	3.66%	2.88%	5.01%	4.04%	3.24%	3.36%	1.70%	3.78%	2.64%	2.66%	3.27%	4.56%	3.52%	4.07%	3.03%	2.34%	3.39%	4.03%	3.14%	2.73%	3.12%	4.29%	3.85%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7058	165	138	177	194	247	216	211	112	199	261	212	170	248	318	223	211	157	186	232	139	106	154	282	91	228	204	265	261	281	284	146	239	189	237	70	5									
		33.23%	41.88%	31.51%	33.40%	34.58%	37.31%	36.92%	39.96%	28.35%	32.41%	35.56%	32.52%	34.91%	34.25%	35.29%	29.23%	31.08%	28.86%	30.15%	33.92%	33.82%	28.65%	31.24%	32.56%	33.09%	33.53%	31.19%	33.72%	32.91%	31.26%	32.09%	32.66%	32.61%	32.25%	33.62%	50.00%	19.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	437	6	8	8	10	5	9	11	14	15	21	9	13	9	15	20	16	13	12	16	15	4	9	24	10	8	13	18	18	16	21	11	9	17	13	0	1									
		2.06%	1.52%	1.83%	1.51%	1.78%	0.76%	1.54%	2.08%	3.54%	2.44%	2.86%	1.38%	2.67%	1.24%	1.66%	2.62%	2.36%	2.39%	1.94%	2.34%	3.65%	1.08%	1.83%	2.77%	3.64%	1.18%	1.99%	2.29%	2.27%	1.78%	2.37%	2.46%	1.23%	2.90%	1.84%	0.00%	3.85%									
24	"6. Политическая партия ""Гражданская Платформа"""	72	2	1	0	1	0	4	1	0	1	3	2	0	5	1	1	1	2	2	3	1	0	3	2	3	3	1	2	3	10	1	1	6	1	5	0	0									
		0.34%	0.51%	0.23%	0.00%	0.18%	0.00%	0.68%	0.19%	0.00%	0.16%	0.41%	0.31%	0.00%	0.69%	0.11%	0.13%	0.15%	0.37%	0.32%	0.44%	0.24%	0.00%	0.61%	0.23%	1.09%	0.44%	0.15%	0.25%	0.38%	1.11%	0.11%	0.22%	0.82%	0.17%	0.71%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2825	49	70	91	102	113	114	76	49	67	101	77	49	106	153	100	75	61	76	86	38	57	67	96	39	99	80	119	101	102	101	46	96	71	76	18	4									
		13.30%	12.44%	15.98%	17.17%	18.18%	17.07%	19.49%	14.39%	12.41%	10.91%	13.76%	11.81%	10.06%	14.64%	16.98%	13.11%	11.05%	11.21%	12.32%	12.57%	9.25%	15.41%	13.59%	11.09%	14.18%	14.56%	12.23%	15.14%	12.74%	11.35%	11.41%	10.29%	13.10%	12.12%	10.78%	12.86%	15.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	597	12	14	15	11	14	10	12	11	19	16	31	7	13	21	31	16	22	18	23	27	13	12	30	7	22	23	18	15	24	28	8	16	19	17	1	1									
		2.81%	3.05%	3.20%	2.83%	1.96%	2.11%	1.71%	2.27%	2.78%	3.09%	2.18%	4.75%	1.44%	1.80%	2.33%	4.06%	2.36%	4.04%	2.92%	3.36%	6.57%	3.51%	2.43%	3.46%	2.55%	3.24%	3.52%	2.29%	1.89%	2.67%	3.16%	1.79%	2.18%	3.24%	2.41%	0.71%	3.85%									
