Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																			
Дата голосования: 04.12.2011																																																																																																																																																			
																																																																																																																																																			
Наименование Избирательной комиссии:    Энгельсская																																																																																																																																																			
																																																																																																																																																			
Сводная таблица результатов выборов																																																																																																																																																			
																																																																																																																																																			
		Сумма	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814					
1	"Число избирателей, внесенных в список избирателей"	214355	1490	2385	1663	1922	2160	1055	956	2027	1552	1947	1353	1541	2051	1523	2375	1570	2454	2473	2189	2509	1695	1141	1584	1446	2048	1811	308	1664	1891	1679	770	1980	1962	2011	2083	2897	1379	1327	2069	2763	1781	1853	2343	2280	1758	1709	2542	2350	1744	2526	2158	2250	2334	2301	2757	1963	1901	1235	1553	1453	1915	2128	1852	1632	1546	2835	2303	2263	1816	2659	1632	2050	1995	1892	2443	1136	2734	640	1982	1771	1859	1420	1439	1313	1240	1366	1322	1478	1100	1187	1132	1251	1176	1240	1326	1356	1574	1589	1330	1363	1372	502	535	180	1152	735	923	727	850	1377	1511	2404	599	820	125	339	861	365	2813	1781	156	1281	1194	2710	2152	926	1289	787	205	369	355	430	138	101	236	460	594	757	655	810					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	196000	1300	2115	1380	1780	2070	1100	885	1770	1440	1785	1680	1380	1845	1350	2210	1560	1815	1745	1915	2220	1545	1100	1400	1275	1815	1620	330	1445	1690	1460	680	1785	1790	1790	1935	2650	1220	1160	1855	2435	1585	1620	2070	2120	1510	1600	2200	2000	1535	2230	1925	2000	2100	1950	2480	1675	1725	1120	1425	1315	1765	1970	1710	1500	1400	2130	2025	2000	1640	2385	1480	1960	1765	1720	2170	995	2400	580	1780	1615	1695	1280	1295	1165	1100	1235	1200	1320	990	1070	1035	1120	1075	1125	1200	1205	1410	1430	1230	1240	1240	545	545	185	1275	735	955	760	905	1445	1535	2410	595	875	125	335	875	375	2795	1800	160	1310	1215	2645	2190	950	1275	785	205	375	385	430	145	100	250	505	640	745	655	805					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	139626	825	1984	801	1177	1680	373	852	1645	863	979	1083	1023	1481	995	1354	838	1514	1607	1321	1389	999	1004	783	567	1220	1255	177	1265	1530	1268	578	1636	1168	1108	1220	1619	681	617	1131	1377	931	1386	1692	1342	1454	1323	1379	1398	1260	1394	1658	1901	1983	1926	1890	1349	1572	798	1275	1231	1534	1135	1056	866	1064	1355	1958	1569	1210	1717	1044	1226	1348	1019	1262	500	1143	267	1117	1514	959	585	659	1084	631	970	1030	502	626	680	932	948	1008	1009	993	719	1077	700	1050	1038	828	364	298	82	647	643	805	664	476	923	1265	1773	327	610	97	233	704	306	2099	1270	120	1001	510	1481	968	592	588	738	175	227	298	369	103	84	177	299	268	674	535	772					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	7467	78	31	96	49	48	682	8	18	18	27	17	14	59	122	27	27	39	29	6	20	14	25	20	11	44	59	131	25	20	22	83	26	48	19	27	31	8	12	19	25	39	49	33	49	34	28	31	49	35	31	24	32	14	21	28	92	54	44	45	43	38	51	30	46	34	46	29	30	35	40	20	83	49	39	132	22	121	18	53	84	73	49	88	65	34	135	41	101	40	20	18	23	34	21	22	35	13	68	22	57	101	93	38	23	304	32	103	48	46	99	76	191	64	44	9	33	86	25	93	57	11	135	46	83	188	147	117	39	30	40	13	26	11	8	20	36	57	23	25	29					
6	Число погашенных избирательных бюллетеней	48905	397	100	483	554	342	45	25	107	559	779	580	343	305	233	829	695	262	109	588	811	532	71	597	697	551	306	22	155	140	170	19	123	574	663	688	998	531	531	705	1033	615	185	345	729	22	249	790	553	240	805	243	67	103	3	562	234	99	278	105	41	193	784	624	588	302	729	38	401	395	628	416	651	368	662	776	473	1136	295	610	17	663	646	548	16	435	130	129	717	324	370	85	149	33	95	185	451	320	662	158	145	311	88	209	80	324	60	47	48	383	423	194	446	204	221	19	69	85	44	603	473	29	174	659	1081	1034	211	570	8	0	108	74	35	31	8	53	170	315	48	95	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7467	78	31	96	49	48	682	8	18	18	27	17	14	59	122	27	27	39	29	6	20	14	25	20	11	44	59	131	25	20	22	83	26	48	19	27	31	8	12	19	25	39	49	33	49	34	28	31	49	35	31	24	32	14	21	28	92	54	44	45	43	38	51	30	46	34	46	29	30	35	40	20	83	49	39	132	22	121	18	53	84	73	49	88	65	34	135	41	101	40	20	18	23	34	21	22	35	13	68	22	57	101	93	38	23	304	32	103	48	46	99	76	191	64	44	9	33	86	25	93	57	11	135	46	83	188	147	117	39	30	40	13	26	11	8	20	36	57	23	25	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	139398	825	1977	800	1177	1680	373	851	1645	863	979	1083	1023	1444	995	1354	838	1509	1603	1318	1385	999	994	783	567	1220	1255	177	1265	1522	1268	578	1636	1168	1108	1220	1619	680	617	1131	1371	921	1383	1692	1340	1454	1323	1379	1398	1259	1394	1653	1901	1983	1926	1890	1312	1572	798	1275	1231	1534	1135	1056	866	1061	1355	1958	1569	1199	1717	1044	1226	1348	1019	1261	500	1143	267	1113	1514	959	585	659	1084	631	970	1030	502	626	678	932	948	1008	1009	993	719	1077	662	1035	1038	828	364	298	82	647	643	805	664	476	923	1265	1772	327	610	97	233	704	306	2099	1270	120	1001	510	1481	968	584	588	738	175	227	298	369	103	84	177	299	268	674	535	772					
9	Число недействительных избирательных бюллетеней	1910	12	12	14	10	27	11	9	9	0	9	14	20	19	15	16	13	30	25	16	23	14	42	6	7	16	24	44	0	23	12	47	11	0	0	16	18	9	16	17	31	10	27	12	11	13	18	28	30	17	40	20	25	7	32	23	29	20	7	9	7	5	14	23	0	16	18	14	14	22	31	25	26	11	14	22	8	30	5	16	4	6	11	0	8	10	0	0	3	7	9	2	19	12	10	18	8	9	14	0	11	12	9	2	1	6	9	45	0	10	22	0	19	3	44	1	7	11	1	18	55	0	10	7	36	11	8	15	3	1	0	2	4	2	2	1	3	5	0	0	8					
10	Число действительных избирательных бюллетеней	144955	891	1996	882	1216	1701	1044	850	1654	881	997	1086	1017	1484	1102	1365	852	1518	1607	1308	1382	999	977	797	571	1248	1290	264	1290	1519	1278	614	1651	1216	1127	1231	1632	679	613	1133	1365	950	1405	1713	1378	1475	1333	1382	1417	1277	1385	1657	1908	1990	1915	1895	1375	1606	835	1311	1267	1567	1172	1063	912	1079	1383	1973	1585	1212	1726	1039	1283	1386	1044	1371	514	1234	280	1150	1594	1026	623	747	1141	655	1105	1071	600	659	689	948	952	1030	1020	997	746	1081	716	1057	1084	917	448	334	104	945	666	863	712	512	1000	1341	1944	388	610	105	259	779	330	2174	1272	131	1126	549	1528	1145	723	690	774	204	267	309	391	112	90	196	332	320	697	560	793					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	6123	75	55	60	60	70	0	30	60	60	70	65	35	50	80	70	40	90	60	75	50	55	35	50	40	50	45	0	35	40	30	20	35	70	43	70	108	30	40	70	83	45	65	55	75	40	45	80	70	50	95	56	75	70	64	55	35	30	30	30	40	65	70	60	50	50	70	55	60	60	77	30	45	40	50	35	25	75	25	45	40	50	20	20	30	20	30	25	20	20	20	21	20	20	20	20	20	20	20	50	40	20	50	25	10	50	20	45	50	50	80	40	45	10	55	20	45	30	20	50	35	10	30	30	55	55	25	70	30	20	10	40	10	10	10	10	56	50	30	70	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	5554	72	53	53	54	61	0	26	60	52	56	57	34	46	67	66	36	66	51	64	47	42	27	40	32	47	45	0	33	40	30	12	33	66	43	68	104	26	33	65	83	35	64	51	71	35	39	75	64	50	92	56	64	68	63	55	32	30	27	21	29	61	70	56	42	41	69	39	58	54	74	24	45	40	41	35	23	65	25	44	31	42	12	9	17	20	20	21	17	13	17	21	20	15	15	17	20	9	20	47	35	15	50	18	10	50	14	35	42	50	77	40	45	10	55	10	43	27	14	50	33	10	30	30	55	51	25	70	30	18	10	38	10	10	0	10	54	50	30	70	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3564	14	15	153	28	19	479	36	7	4	17	77	22	24	29	147	63	17	25	25	12	13	22	8	18	39	9	215	46	43	34	59	25	23	52	24	17	18	28	19	94	8	38	17	43	22	43	67	110	26	23	51	57	31	92	45	123	10	7	6	30	10	12	12	19	22	13	17	17	35	39	17	24	18	14	46	17	28	27	7	5	8	10	3	6	5	5	2	6	8	8	0	3	9	3	4	6	4	7	11	10	6	8	4	4	9	4	2	3	8	6	9	4	2	8	5	3	4	4	17	4	3	3	11	12	8	3	6	0	4	2	3	2	0	1	2	2	1	2	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	569	3	2	7	6	9	0	4	0	8	14	8	1	4	13	4	4	24	9	11	3	13	8	10	8	3	0	0	2	0	0	8	2	4	0	2	4	4	7	5	0	10	1	4	4	5	6	5	6	0	3	0	11	2	1	0	3	0	3	9	11	4	0	4	8	9	1	16	2	6	3	6	0	0	9	0	2	10	0	1	9	8	8	11	13	0	10	4	3	7	3	0	0	5	5	3	0	11	0	3	5	5	0	7	0	0	6	10	8	0	3	0	0	0	0	10	2	3	6	0	2	0	0	0	0	4	0	0	0	2	0	2	0	0	10	0	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	219	2	2	0	1	3	0	0	6	0	2	2	3	3	3	2	3	2	0	2	2	3	3	2	1	0	3	0	3	2	1	0	3	1	2	1	2	0	0	5	5	3	4	3	5	1	4	1	1	1	2	1	0	1	4	3	3	0	1	0	1	0	4	3	7	2	3	5	6	1	5	3	1	0	2	0	1	0	1	3	1	0	1	1	0	0	2	4	2	1	2	1	0	1	0	0	3	0	1	1	2	1	0	1	0	0	0	0	1	2	2	3	1	0	0	0	0	0	0	1	3	0	2	2	5	0	0	2	1	0	0	0	0	0	0	0	4	3	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	15120	102	135	90	168	154	77	76	147	125	119	130	108	130	96	195	152	184	178	161	198	187	106	181	97	189	132	18	141	186	167	48	161	244	197	196	285	96	102	149	216	13	165	18	194	144	70	213	231	137	189	194	19	97	43	218	154	101	61	67	11	146	13	10	17	69	57	79	85	169	231	163	126	130	189	167	56	63	31	178	90	137	92	57	26	56	65	62	103	121	125	86	97	152	105	119	87	129	107	129	112	92	47	42	11	85	72	45	38	60	106	210	162	52	112	14	26	74	45	144	169	15	119	90	216	142	88	85	84	19	33	42	41	13	10	39	54	73	75	0	78					
		10.30%	11.30%	6.72%	10.04%	13.70%	8.91%	7.30%	8.85%	8.84%	14.19%	11.83%	11.82%	10.41%	8.65%	8.59%	14.12%	17.57%	11.89%	10.91%	12.16%	14.09%	18.46%	10.40%	22.54%	16.78%	14.95%	10.05%	5.84%	10.93%	12.06%	12.95%	7.26%	9.69%	20.07%	17.48%	15.72%	17.27%	13.95%	16.22%	12.96%	15.47%	1.35%	11.52%	1.04%	13.97%	9.68%	5.18%	15.11%	15.96%	10.59%	13.26%	11.57%	0.98%	4.86%	2.21%	11.37%	10.97%	6.21%	7.24%	5.08%	0.86%	9.29%	1.10%	0.92%	1.86%	6.30%	4.07%	3.98%	5.32%	13.70%	13.15%	15.32%	9.63%	9.31%	17.86%	11.99%	10.73%	4.98%	10.88%	15.27%	5.63%	13.28%	14.51%	7.63%	2.26%	8.42%	5.88%	5.79%	17.08%	18.17%	17.91%	9.05%	9.99%	14.59%	10.19%	11.72%	11.54%	11.83%	14.66%	12.20%	10.23%	9.90%	10.28%	12.50%	10.48%	8.94%	10.67%	4.96%	5.34%	11.49%	10.37%	15.66%	8.25%	13.30%	17.13%	13.21%	9.77%	9.37%	13.60%	6.57%	12.74%	11.45%	10.48%	16.19%	13.81%	12.28%	12.04%	12.06%	10.81%	9.27%	12.36%	13.50%	10.38%	11.40%	10.87%	19.80%	16.12%	22.46%	10.76%	0.00%	9.74%					
