Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Мантуровская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3878	239	246	299	295	250	384	319	342	92	289	133	143	847									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3915	250	250	300	300	250	400	310	350	90	290	130	145	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1138	68	102	119	97	80	98	80	77	44	70	53	55	195									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	410	64	29	12	30	33	22	25	57	4	56	25	1	52									
6	Число погашенных избирательных бюллетеней	2367	118	119	169	173	137	280	205	216	42	164	52	89	603									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	410	64	29	12	30	33	22	25	57	4	56	25	1	52									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1138	68	102	119	97	80	98	80	77	44	70	53	55	195									
9	Число недействительных избирательных бюллетеней	29	2	3	3	4	3	6	1	2	0	0	1	1	3									
10	Число действительных избирательных бюллетеней	1519	130	128	128	123	110	114	104	132	48	126	77	55	244									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	89	6	10	8	6	4	6	10	6	4	6	4	4	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	36	1	10	7	1	0	2	3	6	0	0	2	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	3	2	0	3	1	0	1	1	0	1	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	53	5	0	1	5	4	4	7	0	4	6	2	0	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	2	0	0	1	0	0	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
