Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Байкитская																		
																		
Сводная таблица итогов голосования  по федеральному округу																		
																		
		Сумма	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24					
1	"Число избирателей, внесенных в списки"	3727	1346	1128	234	119	57	91	244	278	97	90	43					
2	"Число бюллетеней, полученных участковыми комиссиями"	3686	1325	1118	227	121	57	86	239	284	97	88	44					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2001	695	549	151	88	39	52	112	157	63	57	38					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	98	59	24	5	0	0	0	10	0	0	0	0					
6	Число погашенных бюллетеней	1587	571	545	71	33	18	34	117	127	34	31	6					
7	Число бюллетеней в переносных ящиках для голосования	98	59	24	5	0	0	0	10	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	2001	695	549	151	88	39	52	112	157	63	57	38					
9	Число недействительных бюллетеней	20	6	0	1	2	0	0	4	7	0	0	0					
10	Число действительных бюллетеней	2079	748	573	155	86	39	52	118	150	63	57	38					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	14	14	10	8	6	8	8	8	8	8	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	8	7	11	0	0	0	5	4	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	5	2	0	0	0	0	1	0	0	0	0					
14	Число погашенных открепительных удостоверений	70	6	7	9	8	6	8	3	4	7	7	5					
15	Число открепительных удостоверений выданных ТИК	2	1	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	34	7	15	2	4	0	0	2	4	0	0	0					
		1.61%	0.92%	2.61%	1.28%	4.54%	0.0%	0.0%	1.63%	2.54%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	24	9	4	2	0	0	2	2	4	0	1	0					
		1.14%	1.19%	0.69%	1.28%	0.0%	0.0%	3.84%	1.63%	2.54%	0.0%	1.75%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	78	30	17	9	4	0	2	4	5	3	4	0					
		3.71%	3.97%	2.96%	5.76%	4.54%	0.0%	3.84%	3.27%	3.18%	4.76%	7.01%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	30	14	11	4	0	0	1	0	0	0	0	0					
		1.42%	1.85%	1.91%	2.56%	0.0%	0.0%	1.92%	0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	14	2	5	1	1	0	0	0	0	0	5	0					
		0.66%	0.26%	0.87%	0.64%	1.13%	0.0%	0.0%	0.0%	0.0%	0.0%	8.77%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	2	0	1	0	1	0	0	0	0	0	0	0					
		0.09%	0.0%	0.17%	0.0%	1.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	10	2	5	2	0	0	0	0	1	0	0	0					
		0.47%	0.26%	0.87%	1.28%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	5	1	1	0	0	0	2	1	0	0	0					
		0.47%	0.66%	0.17%	0.64%	0.0%	0.0%	0.0%	1.63%	0.63%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	36	17	5	3	3	0	4	0	2	1	0	1					
		1.71%	2.25%	0.87%	1.92%	3.40%	0.0%	7.69%	0.0%	1.27%	1.58%	0.0%	2.63%					
28	"11. ""Истинные патриоты России"""	3	1	1	0	0	0	0	0	0	1	0	0					
		0.14%	0.13%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	37	13	7	3	0	0	0	6	8	0	0	0					
		1.76%	1.72%	1.22%	1.92%	0.0%	0.0%	0.0%	4.91%	5.09%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	4	1	0	0	0	0	0	0	0	2	0	1					
		0.19%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.17%	0.0%	2.63%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	1	0	0	0	0	0	0	0	1	0	0					
		0.09%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	4	1	1	0	0	0	1	1	0	0	0	0					
		0.19%	0.13%	0.17%	0.0%	0.0%	0.0%	1.92%	0.81%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	165	64	50	11	5	1	2	3	7	1	21	0					
		7.86%	8.48%	8.72%	7.05%	5.68%	2.56%	3.84%	2.45%	4.45%	1.58%	36.84%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	0	4	0	0	0	1	1	2	0	0	0					
		0.38%	0.0%	0.69%	0.0%	0.0%	0.0%	1.92%	0.81%	1.27%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	290	113	93	22	5	0	8	17	11	8	5	8					
		13.81%	14.98%	16.23%	14.10%	5.68%	0.0%	15.38%	13.93%	7.00%	12.69%	8.77%	21.05%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	42	21	12	0	3	0	0	6	0	0	0	0					
		2.00%	2.78%	2.09%	0.0%	3.40%	0.0%	0.0%	4.91%	0.0%	0.0%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	1091	375	305	79	53	30	19	63	88	41	15	23					
		51.97%	49.73%	53.22%	50.64%	60.22%	76.92%	36.53%	51.63%	56.05%	65.07%	26.31%	60.52%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	0	0	0	1	0	0	0	3	0	1	0					
		0.23%	0.0%	0.0%	0.0%	1.13%	0.0%	0.0%	0.0%	1.91%	0.0%	1.75%	0.0%					
39	"22. ""Развитие предпринимательства"""	4	2	0	1	0	0	0	1	0	0	0	0					
		0.19%	0.26%	0.0%	0.64%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	81	33	21	3	4	0	0	5	8	2	2	3					
		3.85%	4.37%	3.66%	1.92%	4.54%	0.0%	0.0%	4.09%	5.09%	3.17%	3.50%	7.89%					
																		
41	Против всех	105	37	15	12	2	8	12	5	6	3	3	2					
		5.00%	4.90%	2.61%	7.69%	2.27%	20.51%	23.07%	4.09%	3.82%	4.76%	5.26%	5.26%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
