Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Советская городская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512					
1	"Число избирателей, внесенных в списки избирателей"	32594	1542	1545	1670	1466	1558	1533	1631	1441	1647	1655	1452	1632	1672	1777	1747	1730	1748	1735	1648	1765					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29433	1393	1363	1517	1327	1424	1403	1481	1315	1493	1498	1321	1499	1542	1479	1583	1554	1595	1577	1475	1594					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17415	647	691	836	814	874	861	977	809	857	895	846	874	933	925	983	931	1031	1036	830	765					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	688	11	130	22	25	30	29	31	23	30	37	26	29	26	24	42	48	22	26	52	25					
6	Число погашенных избирательных бюллетеней	11329	735	542	659	488	520	513	473	483	606	566	449	596	583	530	558	575	542	515	593	803					
7	Число избирательных бюллетеней в переносных ящиках для голосования	688	11	130	22	25	30	29	31	23	30	37	26	29	26	24	42	48	22	26	52	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17366	645	691	836	814	871	861	977	809	857	894	846	874	932	925	941	931	1031	1036	830	765					
9	Число недействительных избирательных бюллетеней	202	5	14	11	7	6	12	11	7	5	7	10	10	3	8	7	14	13	9	24	19					
10	Число действительных избирательных бюллетеней	17852	651	807	847	832	895	878	997	825	882	924	862	893	955	941	976	965	1040	1053	858	771					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	215	10	10	10	10	20	10	10	10	10	10	15	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	96	3	1	8	4	11	4	7	5	4	3	11	6	2	5	8	5	5	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	97	6	6	2	13	0	2	6	1	1	4	3	1	2	26	4	3	2	4	9	2					
14	Число погашенных неиспользованных открепительных удостоверений	119	7	9	2	6	9	6	3	5	6	7	4	4	8	5	2	5	5	8	10	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	339	14	13	21	15	20	16	21	16	15	20	19	16	16	26	10	17	17	24	11	12					
		1.88%	2.13%	1.58%	2.45%	1.79%	2.22%	1.80%	2.08%	1.92%	1.69%	2.15%	2.18%	1.77%	1.67%	2.74%	1.02%	1.74%	1.61%	2.26%	1.25%	1.52%					
19	2.Всероссийская политическая партия «Гражданская Сила»	193	5	6	9	17	8	9	11	6	11	8	10	9	13	7	25	1	8	10	7	13					
		1.07%	0.76%	0.73%	1.05%	2.03%	0.89%	1.01%	1.09%	0.72%	1.24%	0.86%	1.15%	0.99%	1.36%	0.74%	2.54%	0.10%	0.76%	0.94%	0.79%	1.65%					
20	3.Политическая партия «Демократическая партия России»	24	1	0	0	0	1	1	0	0	3	0	3	3	1	1	4	1	1	0	3	1					
		0.13%	0.15%	0.00%	0.00%	0.00%	0.11%	0.11%	0.00%	0.00%	0.34%	0.00%	0.34%	0.33%	0.10%	0.11%	0.41%	0.10%	0.09%	0.00%	0.34%	0.13%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2199	66	56	83	103	123	110	150	100	110	128	101	141	106	143	132	127	129	155	65	71					
		12.18%	10.06%	6.82%	9.67%	12.28%	13.65%	12.36%	14.88%	12.02%	12.40%	13.75%	11.58%	15.61%	11.06%	15.07%	13.43%	12.97%	12.25%	14.60%	7.37%	8.99%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	69	1	1	2	3	3	7	5	3	1	2	3	4	6	3	3	3	5	6	6	2					
		0.38%	0.15%	0.12%	0.23%	0.36%	0.33%	0.79%	0.50%	0.36%	0.11%	0.21%	0.34%	0.44%	0.63%	0.32%	0.31%	0.31%	0.47%	0.56%	0.68%	0.25%					
23	6.Политическая партия «Партия социальной справедливости»	30	1	1	1	3	2	2	2	1	0	1	0	2	1	0	2	1	5	0	5	0					
		0.17%	0.15%	0.12%	0.12%	0.36%	0.22%	0.22%	0.20%	0.12%	0.00%	0.11%	0.00%	0.22%	0.10%	0.00%	0.20%	0.10%	0.47%	0.00%	0.57%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1589	77	64	84	87	91	44	89	71	86	90	70	67	97	87	97	79	89	96	47	77					
		8.80%	11.74%	7.80%	9.79%	10.37%	10.10%	4.94%	8.83%	8.53%	9.70%	9.67%	8.03%	7.42%	10.13%	9.17%	9.87%	8.07%	8.45%	9.04%	5.33%	9.75%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1320	37	37	50	62	76	64	85	67	54	65	91	61	66	66	61	72	109	109	43	45					
		7.31%	5.64%	4.51%	5.83%	7.39%	8.44%	7.19%	8.43%	8.05%	6.09%	6.98%	10.44%	6.76%	6.89%	6.95%	6.21%	7.35%	10.35%	10.26%	4.88%	5.70%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	251	7	7	4	14	12	14	19	11	8	11	9	14	21	11	11	18	20	26	8	6					
		1.39%	1.07%	0.85%	0.47%	1.67%	1.33%	1.57%	1.88%	1.32%	0.90%	1.18%	1.03%	1.55%	2.19%	1.16%	1.12%	1.84%	1.90%	2.45%	0.91%	0.76%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	11572	433	620	577	516	549	598	593	535	586	586	544	560	606	585	611	626	650	612	651	534					
		64.10%	66.01%	75.52%	67.25%	61.50%	60.93%	67.19%	58.83%	64.30%	66.07%	62.94%	62.39%	62.02%	63.26%	61.64%	62.16%	63.94%	61.73%	57.63%	73.81%	67.59%					
