Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Песчанокопская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698					
1	"Число избирателей, внесенных в списки"	25769	1806	1418	1173	1643	1488	1115	1002	1853	529	1640	409	803	1112	933	649	1166	745	489	1013	1019	1241	907	1616					
2	"Число бюллетеней, полученных участковыми комиссиями"	26209	1731	1397	1581	1633	1489	1110	1015	1875	530	1645	406	806	1096	946	655	1178	764	490	1030	1029	1251	917	1635					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15679	1046	687	1014	866	649	511	696	1223	391	1093	256	613	642	606	427	790	467	310	502	626	661	741	862					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2726	169	210	159	179	254	173	78	101	38	118	74	41	165	147	61	158	64	65	113	53	95	27	184					
6	Число погашенных бюллетеней	7804	516	500	408	588	586	426	241	551	101	434	76	152	289	193	167	230	233	115	415	350	495	149	589					
7	Число бюллетеней в переносных ящиках для голосования	2726	169	210	159	179	254	173	78	101	38	118	74	41	165	147	61	158	64	65	113	53	95	27	184					
8	Число бюллетеней в стационарных ящиках для голосования	15671	1039	687	1014	866	649	511	696	1223	391	1093	256	613	642	606	427	790	467	310	501	626	661	741	862					
9	Число недействительных бюллетеней	232	19	3	3	6	14	4	1	1	4	33	0	73	14	22	9	7	0	3	0	12	0	3	1					
10	Число действительных бюллетеней	18165	1189	894	1170	1039	889	680	773	1323	425	1178	330	581	793	731	479	941	531	372	614	667	756	765	1045					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	485	32	26	30	30	30	20	18	35	10	31	8	15	20	16	12	22	15	10	18	18	22	17	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	50	5	1	1	4	2	0	2	7	1	3	0	3	1	2	2	7	1	0	1	0	5	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	7	1	0	1	0	0	0	1	0	1	0	0	3	0	2	0	1	0	1	1	0	1	1					
14	Число погашенных открепительных удостоверений	435	27	25	29	26	28	20	16	28	9	28	8	12	19	14	10	15	14	10	17	18	17	16	29					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	184	16	5	8	10	5	10	0	14	4	16	4	9	4	7	7	17	11	3	0	8	3	5	18					
		1.00%	1.32%	0.55%	0.68%	0.95%	0.55%	1.46%	0.0%	1.05%	0.93%	1.32%	1.21%	1.37%	0.49%	0.92%	1.43%	1.79%	2.07%	0.8%	0.0%	1.17%	0.39%	0.65%	1.72%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	105	11	8	10	11	5	2	0	7	3	9	2	12	2	3	3	1	5	1	0	2	4	1	3					
		0.57%	0.91%	0.89%	0.85%	1.05%	0.55%	0.29%	0.0%	0.52%	0.69%	0.74%	0.60%	1.83%	0.24%	0.39%	0.61%	0.10%	0.94%	0.26%	0.0%	0.29%	0.52%	0.13%	0.28%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	209	5	8	16	16	2	13	0	17	4	12	1	12	8	11	9	16	3	5	7	9	3	11	21					
		1.13%	0.41%	0.89%	1.36%	1.53%	0.22%	1.90%	0.0%	1.28%	0.93%	0.99%	0.30%	1.83%	0.99%	1.46%	1.84%	1.68%	0.56%	1.33%	1.14%	1.32%	0.39%	1.43%	2.00%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	148	16	20	16	12	3	5	0	8	1	6	0	7	20	4	2	5	2	1	0	8	5	2	5					
		0.80%	1.32%	2.22%	1.36%	1.14%	0.33%	0.73%	0.0%	0.60%	0.23%	0.49%	0.0%	1.07%	2.47%	0.53%	0.40%	0.52%	0.37%	0.26%	0.0%	1.17%	0.66%	0.26%	0.47%					
22	"5. ""За Русь Святую"""	50	7	0	1	3	0	2	0	3	0	5	1	6	4	8	0	2	5	0	0	0	1	1	1					
		0.27%	0.57%	0.0%	0.08%	0.28%	0.0%	0.29%	0.0%	0.22%	0.0%	0.41%	0.30%	0.91%	0.49%	1.06%	0.0%	0.21%	0.94%	0.0%	0.0%	0.0%	0.13%	0.13%	0.09%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	2	1	2	7	1	1	0	2	0	5	0	0	1	0	0	5	1	0	0	0	2	3	2					
		0.19%	0.16%	0.11%	0.17%	0.66%	0.11%	0.14%	0.0%	0.15%	0.0%	0.41%	0.0%	0.0%	0.12%	0.0%	0.0%	0.52%	0.18%	0.0%	0.0%	0.0%	0.26%	0.39%	0.19%					
24	"7. ""Новый курс - Автомобильная Россия"""	44	3	2	8	3	1	1	0	1	0	3	0	3	2	0	3	3	2	0	0	3	3	0	3					
		0.23%	0.24%	0.22%	0.68%	0.28%	0.11%	0.14%	0.0%	0.07%	0.0%	0.24%	0.0%	0.45%	0.24%	0.0%	0.61%	0.31%	0.37%	0.0%	0.0%	0.44%	0.39%	0.0%	0.28%					
