Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Рязанский район																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	62520	2637	2687	2331	2462	1801	1613	1497	1723	1696	1691	1878	2333	2516	1466	983	1839	2359	2199	2358	2625	2166	2078	1816	2486	2780	589	3107	2278	2372	2154									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52700	2000	2000	2000	2000	1500	1500	1200	1500	1500	1500	1500	2000	2000	1200	800	1500	2000	2000	2000	2000	2000	2000	1500	2000	2000	500	3000	2000	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20397	941	815	646	649	584	520	498	755	597	522	607	792	822	510	340	548	713	739	732	872	741	717	612	836	852	210	1044	748	749	686									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	602	39	45	28	22	20	17	6	28	15	16	34	31	25	6	12	13	26	31	25	28	26	26	17	29	25	0	3	2	1	6									
6	Число погашенных избирательных бюллетеней	31701	1020	1140	1326	1329	896	963	696	717	888	962	859	1177	1153	684	448	939	1261	1230	1243	1100	1233	1257	871	1135	1123	290	1953	1250	1250	1308									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	602	39	45	28	22	20	17	6	28	15	16	34	31	25	6	12	13	26	31	25	28	26	26	17	29	25	0	3	2	1	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20384	939	815	644	649	584	520	498	755	597	522	605	791	822	510	340	548	711	738	731	872	741	715	612	836	852	210	1044	748	749	686									
9	Число недействительных избирательных бюллетеней	282	19	0	12	4	13	5	10	4	8	9	9	5	11	12	0	6	16	11	16	9	15	14	12	13	16	3	10	8	8	4									
10	Число действительных избирательных бюллетеней	20704	959	860	660	667	591	532	494	779	604	529	630	817	836	504	352	555	721	758	740	891	752	727	617	852	861	207	1037	742	742	688									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	535	25	15	20	15	15	15	25	25	15	15	15	25	25	15	15	15	15	15	15	15	15	15	25	20	30	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	334	19	11	8	13	7	11	12	11	5	6	12	18	20	8	3	10	11	9	14	12	10	9	13	17	22	3	8	13	10	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	609	159	10	12	36	8	2	2	6	107	3	5	14	8	4	23	2	14	21	6	25	8	25	24	21	26	3	9	7	6	13									
14	Число погашенных неиспользованных открепительных удостоверений	201	6	4	12	2	8	4	13	14	10	9	3	7	5	7	12	5	4	6	1	3	5	6	12	3	8	12	7	2	5	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	2	1	1	1	0	0	0	0	0	0	4	0	0	0	1	1	0	0	1	1	1	3	1	2	1	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	686	21	29	29	25	24	10	18	13	22	11	24	19	30	19	4	24	23	29	24	26	25	26	32	38	31	5	48	18	21	18									
		3.27%	2.15%	3.37%	4.32%	3.73%	3.97%	1.86%	3.57%	1.66%	3.59%	2.04%	3.76%	2.31%	3.54%	3.68%	1.14%	4.28%	3.12%	3.77%	3.17%	2.89%	3.26%	3.51%	5.09%	4.39%	3.53%	2.38%	4.58%	2.40%	2.80%	2.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	380	25	19	16	10	16	14	17	9	13	9	10	13	11	17	5	7	15	12	15	22	5	12	15	18	17	1	12	3	10	12									
		1.81%	2.56%	2.21%	2.38%	1.49%	2.65%	2.61%	3.37%	1.15%	2.12%	1.67%	1.56%	1.58%	1.30%	3.29%	1.42%	1.25%	2.04%	1.56%	1.98%	2.44%	0.65%	1.62%	2.38%	2.08%	1.94%	0.48%	1.15%	0.40%	1.33%	1.73%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	559	32	13	23	13	28	5	9	6	21	17	19	18	21	14	5	22	24	23	22	26	24	32	21	30	21	3	21	11	15	20									
		2.66%	3.27%	1.51%	3.42%	1.94%	4.64%	0.93%	1.79%	0.77%	3.43%	3.16%	2.97%	2.19%	2.48%	2.71%	1.42%	3.92%	3.26%	2.99%	2.91%	2.89%	3.13%	4.32%	3.34%	3.47%	2.39%	1.43%	2.01%	1.47%	2.00%	2.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8643	398	364	259	300	238	277	172	456	243	224	257	412	337	219	202	231	249	293	326	323	328	262	231	297	399	95	334	423	232	262									
		41.18%	40.70%	42.33%	38.54%	44.71%	39.40%	51.58%	34.13%	58.24%	39.71%	41.64%	40.22%	50.12%	39.79%	42.44%	57.39%	41.18%	33.79%	38.10%	43.12%	35.89%	42.76%	35.36%	36.72%	34.34%	45.50%	45.24%	31.90%	56.40%	30.93%	37.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	368	8	8	9	14	14	8	5	4	9	12	14	10	11	4	4	8	7	15	12	19	19	11	7	18	16	5	40	10	30	17									
		1.75%	0.82%	0.93%	1.34%	2.09%	2.32%	1.49%	0.99%	0.51%	1.47%	2.23%	2.19%	1.22%	1.30%	0.78%	1.14%	1.43%	0.95%	1.95%	1.59%	2.11%	2.48%	1.48%	1.11%	2.08%	1.82%	2.38%	3.82%	1.33%	4.00%	2.46%									
24	"6. Политическая партия ""Гражданская Платформа"""	53	0	2	3	1	2	1	1	1	2	2	1	4	2	1	1	1	3	2	4	0	1	0	1	3	4	0	5	1	1	3									
		0.25%	0.00%	0.23%	0.45%	0.15%	0.33%	0.19%	0.20%	0.13%	0.33%	0.37%	0.16%	0.49%	0.24%	0.19%	0.28%	0.18%	0.41%	0.26%	0.53%	0.00%	0.13%	0.00%	0.16%	0.35%	0.46%	0.00%	0.48%	0.13%	0.13%	0.43%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2544	138	132	98	103	73	58	70	3	81	71	74	82	101	63	37	81	102	104	99	128	64	96	73	121	85	25	131	85	91	75									
