Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																											
Дата голосования: 18.09.2016																																																																											
																																																																											
"Наименование Избирательной комиссии:    Владивосток, Ленинская"																																																																											
																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																											
																																																																											
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №580	УИК №5401	УИК №5402	УИК №5403	УИК №5404	УИК №5405	УИК №5406	УИК №5407									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	109572	1413	1238	1782	1609	889	1226	1822	1580	694	1702	1273	1804	1421	1526	2319	2562	2700	2124	2313	2024	2520	1133	1642	1852	2860	1740	1982	2334	2485	2029	1660	2219	2195	2036	2410	2047	2143	2063	2393	2396	917	2212	2550	2426	1759	857	1519	2185	2459	2036	2595	2773	1585	2054	1503	1653	874	398	403	398	65	35	140	16									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82470	1040	890	1340	1205	665	890	1395	1185	520	1280	960	1360	1065	1135	1755	1935	2045	1595	1750	1535	1795	850	1235	1395	1865	1325	1490	1765	1875	1520	1260	1665	1650	1510	1820	1545	1605	1540	1810	1750	735	1670	1925	1835	1320	650	1145	1655	1845	1535	1955	2085	1040	1540	1080	1220	965	398	403	398	65	35	140	16									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32730	457	421	509	540	274	348	728	480	189	566	421	458	452	490	831	713	780	642	606	370	790	373	516	494	944	530	659	550	613	547	366	514	469	517	626	571	702	627	564	530	369	496	570	1096	348	267	365	555	580	624	669	712	396	450	803	328	874	394	403	398	65	35	140	16									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	496	3	4	6	9	3	10	8	11	2	12	1	2	4	5	1	6	3	7	5	0	1	1	8	1	227	1	8	9	4	7	4	6	11	11	3	4	13	7	2	12	2	1	7	0	0	3	2	1	3	2	6	8	8	4	4	3	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	49254	580	465	825	656	388	532	659	694	329	702	538	900	609	640	923	1216	1272	946	1139	1165	1004	476	711	900	694	794	823	1206	1258	966	890	1145	1170	982	1191	970	890	906	1244	1208	364	1173	1348	739	972	380	778	1099	1262	909	1280	1365	636	1086	273	889	91	4	0	0	0	0	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	496	3	4	6	9	3	10	8	11	2	12	1	2	4	5	1	6	3	7	5	0	1	1	8	1	227	1	8	9	4	7	4	6	11	11	3	4	13	7	2	12	2	1	7	0	0	3	2	1	3	2	6	8	8	4	4	3	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31909	454	421	509	540	274	347	728	478	189	566	420	457	452	490	831	712	766	642	606	370	789	373	516	492	716	530	658	550	594	546	366	514	469	517	626	571	702	625	564	530	369	496	568	581	348	264	365	555	580	622	669	712	396	450	787	328	868	394	403	398	65	35	140	16									
9	Число недействительных избирательных бюллетеней	881	10	8	9	21	4	9	15	9	6	22	12	21	11	12	28	19	18	15	12	9	18	14	23	17	35	13	15	10	16	14	7	23	9	17	17	16	11	8	15	17	12	16	13	14	2	13	8	21	12	12	13	23	3	18	22	7	56	15	0	0	0	2	14	0									
10	Число действительных избирательных бюллетеней	31524	447	417	506	528	273	348	721	480	185	556	409	438	445	483	804	699	751	634	599	361	772	360	501	476	908	518	651	549	582	539	363	497	471	511	612	559	704	624	551	525	359	481	562	567	346	254	359	535	571	612	662	697	401	436	769	324	812	379	403	398	65	33	126	16									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2800	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	608	11	12	14	5	7	7	34	5	7	7	4	7	4	5	10	9	14	9	7	12	10	16	11	7	15	13	11	9	18	15	9	5	12	10	13	14	17	12	20	10	35	12	15	10	7	4	10	10	9	9	8	13	9	3	5	12	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	588	23	39	4	13	7	9	49	18	19	3	7	11	10	19	5	4	4	12	3	4	28	20	8	8	12	5	11	11	2	13	4	7	6	12	8	6	6	6	6	17	1	5	0	4	2	4	8	4	15	5	3	8	3	5	6	55	1	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	2192	39	38	36	45	43	43	16	45	43	43	46	43	46	45	40	41	36	41	43	38	40	34	39	43	35	37	39	41	32	35	41	45	38	40	37	36	33	38	30	40	15	38	35	40	43	46	40	40	41	41	42	37	41	47	45	38	0	0	0	0	0	0	0	0									
