Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Cемилукская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553	УИК №3554	УИК №3555									
1	Число избирателей, внесенных в списки избирателей	50913	2571	1485	348	1463	2573	2135	2033	2127	2905	292	1166	370	367	686	431	233	539	2075	768	1311	1320	440	117	377	1183	252	752	436	471	332	205	140	456	319	664	662	878	421	509	1784	1386	209	405	173	511	398	398	312	260	1903	2003	2052	363	1526	1418									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	46570	2300	1250	500	1250	2100	2000	1900	1850	2500	300	1000	350	350	600	400	200	1000	2100	650	1150	1150	450	100	350	1050	250	700	400	450	300	200	140	400	300	650	650	800	400	450	1650	1200	200	400	180	450	400	350	300	250	1750	1700	1850	300	1300	1350									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	26496	1200	719	277	749	1284	1245	1154	1148	1738	292	738	166	185	421	184	72	454	861	318	931	885	222	64	198	421	115	429	248	271	197	149	82	180	153	409	526	489	219	230	953	638	81	204	67	242	160	167	176	115	779	904	692	192	736	767									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	6050	150	77	71	88	83	78	56	64	50	0	19	144	111	86	98	105	85	210	169	128	192	158	32	123	283	77	68	75	144	94	35	44	126	108	181	84	179	117	120	192	384	102	120	86	149	140	92	50	67	66	114	57	44	121	154									
6	Число погашенных избирательных бюллетеней	14024	950	454	152	413	733	677	690	638	712	8	243	40	54	93	118	23	461	1029	163	91	73	70	4	29	346	58	203	77	35	9	16	14	94	39	60	40	132	64	100	505	178	17	76	27	59	100	91	74	68	905	682	1101	64	443	429									
7	Число избирательных бюллетеней в переносных ящиках для голосования	6050	150	77	71	88	83	78	56	64	50	0	19	144	111	86	98	105	85	210	169	128	192	158	32	123	283	77	68	75	144	94	35	44	126	108	181	84	179	117	120	192	384	102	120	86	149	140	92	50	67	66	114	57	44	121	154									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26495	1200	719	277	749	1284	1245	1154	1148	1738	292	738	166	185	421	184	72	454	861	318	931	885	222	64	198	421	115	429	248	271	197	149	82	179	153	409	526	489	219	230	953	638	81	204	67	242	160	167	176	115	779	904	692	192	736	767									
9	Число недействительных избирательных бюллетеней	219	10	8	3	7	18	0	11	13	9	6	5	0	1	2	2	0	3	28	6	4	6	0	0	0	5	0	2	3	4	0	1	1	0	1	2	1	0	1	2	4	6	0	6	0	0	0	2	1	0	7	7	6	2	8	5									
10	Число действительных избирательных бюллетеней	32326	1340	788	345	830	1349	1323	1199	1199	1779	286	752	310	295	505	280	177	536	1043	481	1055	1071	380	96	321	699	192	495	320	411	291	183	125	305	260	588	609	668	335	348	1141	1016	183	318	153	391	300	257	225	182	838	1011	743	234	849	916									
