Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Cемилукская																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553	УИК №3554									
1	Число избирателей, внесенных в список избирателей	53323	2545	1400	872	1697	2391	2124	1830	2264	1346	181	1751	427	355	765	410	229	1184	2136	787	1347	1371	454	2230	469	1184	256	743	439	454	294	198	126	471	301	685	649	832	431	516	1438	1490	130	386	1627	716	419	385	278	225	2016	2115	1999	399	1556									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	54050	2580	1430	680	1740	2430	2230	1850	2230	1340	300	1550	430	350	780	420	230	1190	2160	800	1350	1380	460	2100	480	1200	250	750	450	450	300	200	120	460	300	700	660	840	430	510	2030	1500	200	390	1630	720	430	400	280	220	2020	2150	2010	400	1560									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещении для голосования	33575	2290	565	460	708	1769	1091	1148	1373	1255	181	1019	266	230	636	220	58	417	743	252	1092	1087	280	1884	278	750	123	547	217	326	196	137	58	315	185	335	468	713	281	347	1218	745	88	263	1428	310	129	124	168	127	818	1613	1414	148	682									
5	Число избирательных бюллетеней, выданных избирателям вне помещения для голосования	7330	241	110	66	74	63	62	144	112	43	0	202	137	108	82	110	158	162	358	225	168	193	161	42	159	272	100	124	110	117	73	51	51	131	96	299	149	117	96	88	220	360	42	70	173	259	131	109	109	86	150	137	270	56	104									
6	Число погашенных избирательных бюллетеней	13145	49	755	154	958	598	1077	558	745	42	119	329	27	12	62	90	14	611	1059	323	90	100	19	174	43	178	27	79	123	7	31	12	11	14	19	66	43	10	53	75	592	395	70	57	29	151	170	167	3	7	1052	400	326	196	774									
7	Число избирательных бюллетеней в переносных ящиках для голосования	7330	241	110	66	74	63	62	144	112	43	0	202	137	108	82	110	158	162	358	225	168	193	161	42	159	272	100	124	110	117	73	51	51	131	96	299	149	117	96	88	220	360	42	70	173	259	131	109	109	86	150	137	270	56	104									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33333	2049	565	460	707	1769	1091	1148	1373	1255	181	1019	266	230	636	220	58	417	743	252	1092	1087	280	1884	278	750	123	547	217	326	196	137	58	315	185	335	468	713	281	347	1218	745	88	263	1428	310	129	124	168	127	818	1613	1414	148	682									
9	Число недействительных избирательных бюллетеней	586	3	7	50	10	3	9	8	7	4	3	14	0	8	8	17	5	9	8	9	63	3	9	3	4	2	19	4	10	10	27	35	17	9	5	3	8	0	8	5	6	31	0	20	20	16	0	0	3	44	4	2	8	3	3									
10	Число действительных избирательных бюллетеней	40077	2287	668	476	771	1829	1144	1284	1478	1294	178	1207	403	330	710	313	211	570	1093	468	1197	1277	432	1923	433	1020	204	667	317	433	242	153	92	437	276	631	609	830	369	430	1432	1074	130	313	1581	553	260	233	274	169	964	1748	1676	201	783									
11	Число открепительных удостоверений, полученных участковой избирательной комиссией	636	28	24	8	39	30	35	18	45	10	0	33	1	8	7	8	4	16	33	5	5	5	2	40	2	19	1	8	4	1	4	2	1	3	6	4	3	4	5	5	24	16	1	3	22	2	4	4	3	1	11	27	21	4	17									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	544	26	20	6	31	26	32	15	20	7	0	28	1	8	7	8	4	14	29	5	5	5	2	33	2	16	0	8	4	0	4	2	1	3	6	4	3	4	3	4	23	14	1	3	18	2	4	4	3	0	11	27	18	3	17									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке	630	5	5	150	6	9	11	10	12	6	127	110	2	3	5	4	1	5	19	4	1	3	2	5	2	8	5	1	5	2	7	1	3	0	0	0	4	4	4	2	10	8	2	6	15	7	2	1	0	1	3	6	4	4	8									
14	Число погашенных неиспользованных открепительных удостоверений	92	2	4	2	8	4	3	3	25	3	0	5	0	0	0	0	0	2	4	0	0	0	0	7	0	3	1	0	0	1	0	0	0	0	0	0	0	0	2	1	1	2	0	0	4	0	0	0	0	1	0	0	3	1	0									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	187	22	7	0	12	28	16	14	12	10	0	23	0	0	4	1	2	1	0	0	0	1	0	16	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	4	0	0	1	0	0	0	0	0	0	3	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2537	10	15	56	155	18	208	18	22	20	25	181	41	10	142	23	19	96	217	74	132	34	45	20	17	45	12	50	32	12	8	2	2	0	11	27	62	8	30	60	38	29	18	10	35	42	35	21	3	5	52	43	66	45	136									
		6.24%	0.44%	2.22%	10.65%	19.85%	0.98%	18.04%	1.39%	1.48%	1.54%	13.81%	14.82%	10.17%	2.96%	19.78%	6.97%	8.80%	16.58%	19.71%	15.51%	10.48%	2.66%	10.20%	1.04%	3.89%	4.40%	5.38%	7.45%	9.79%	2.71%	2.97%	1.06%	1.83%	0.00%	3.91%	4.26%	10.05%	0.96%	7.96%	13.79%	2.64%	2.62%	13.85%	3.00%	2.19%	7.38%	13.46%	9.01%	1.08%	2.35%	5.37%	2.46%	3.92%	22.06%	17.30%									
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1890	12	14	53	104	22	158	14	20	18	18	125	1	8	68	32	23	64	84	58	71	17	23	25	9	29	10	44	30	35	8	7	0	5	22	19	44	7	24	40	39	10	14	22	38	52	35	14	2	6	49	37	48	35	124									
		4.65%	0.52%	2.07%	10.08%	13.32%	1.20%	13.70%	1.08%	1.35%	1.39%	9.94%	10.24%	0.25%	2.37%	9.47%	9.70%	10.65%	11.05%	7.63%	12.16%	5.63%	1.33%	5.22%	1.30%	2.06%	2.84%	4.48%	6.56%	9.17%	7.90%	2.97%	3.72%	0.00%	1.12%	7.83%	2.99%	7.13%	0.84%	6.37%	9.20%	2.71%	0.90%	10.77%	6.61%	2.37%	9.14%	13.46%	6.01%	0.72%	2.82%	5.06%	2.11%	2.85%	17.16%	15.78%									
