Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Палкинская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204					
1	"Число избирателей, внесенных в списки избирателей"	7529	2632	291	436	210	346	202	650	459	280	187	280	374	223	959					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7300	2500	320	470	200	330	200	600	460	280	190	280	360	210	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4019	1659	114	212	159	104	95	367	237	113	84	132	177	102	464					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1756	200	135	151	41	184	57	207	90	97	70	93	118	89	224					
6	Число погашенных избирательных бюллетеней	1525	641	71	107	0	42	48	26	133	70	36	55	65	19	212					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1756	200	135	151	41	184	57	207	90	97	70	93	118	89	224					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4016	1657	114	212	159	104	95	366	237	113	84	132	177	102	464					
9	Число недействительных избирательных бюллетеней	28	15	0	1	0	1	2	1	3	0	0	2	3	0	0					
10	Число действительных избирательных бюллетеней	5744	1842	249	362	200	287	150	572	324	210	154	223	292	191	688					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	260	60	35	40	5	5	5	25	10	10	5	20	10	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	250	60	34	38	4	3	3	25	10	10	5	19	10	9	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	119	31	8	9	9	10	3	7	4	5	1	11	4	9	8					
14	Число погашенных неиспользованных открепительных удостоверений	10	0	1	2	1	2	2	0	0	0	0	1	0	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	12	3	4	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
