Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    Красногвардейская N 4																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762					
1	"Число избирателей, внесенных в списки избирателей"	124130	1719	1742	2759	2675	1638	1880	1596	1751	1957	1774	1843	1801	1665	2222	2154	2032	2102	2369	2119	2010	2395	2049	2263	1951	2263	877	2272	2063	2299	2157	2219	2188	2925	2388	2235	1560	2426	2280	1592	2146	2196	1905	1645	1750	2240	1914	1543	1934	2114	2068	1826	1972	1614	1732	1683	1661	2641	1959	1575	1829	1682	1818	327	146					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	121500	1700	1600	2600	2600	1600	1800	1600	1700	1900	1700	1800	1700	1600	2200	2100	2000	2100	2300	2100	2000	2200	2000	2200	1900	2100	800	2200	2000	2300	2100	2200	2100	2900	2400	2200	1500	2400	2200	1500	2100	2100	1900	1600	1700	2200	1800	1500	1900	2000	2000	1800	1900	1600	1600	1600	1500	2400	1900	1500	1700	1600	1600	1100	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	65245	976	840	1617	1575	809	1184	972	953	1120	925	1010	929	1104	1127	1130	1001	1274	1098	1157	1108	1275	1068	1260	1013	1243	460	1360	1002	1229	1082	1012	1249	1452	1268	1264	736	1178	1158	759	1150	1145	695	905	919	1078	1004	777	953	1125	1036	916	1000	770	860	788	832	1406	954	864	1004	884	993	64	146					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1772	29	26	110	39	23	24	14	15	21	20	18	18	38	26	23	55	42	33	37	24	16	36	23	5	32	3	27	10	16	24	14	26	35	38	23	10	42	18	23	34	30	28	18	23	21	13	19	10	14	18	17	26	19	12	12	16	23	31	29	16	31	8	248	0					
6	Число погашенных избирательных бюллетеней	54483	695	734	873	986	768	592	614	732	759	755	772	753	458	1047	947	944	784	1169	906	868	909	896	917	882	825	337	813	988	1055	994	1174	825	1413	1094	913	754	1180	1024	718	916	925	1177	677	758	1101	783	704	937	861	946	867	874	811	728	800	652	971	915	607	680	685	599	788	854					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1771	29	26	110	39	23	24	14	15	21	20	18	18	38	26	23	55	42	33	37	24	16	36	23	5	32	3	27	10	16	24	14	26	35	38	23	10	42	18	23	34	30	28	18	23	21	13	19	10	14	18	17	26	19	12	12	16	23	31	29	16	31	8	247	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65102	976	838	1617	1566	809	1184	972	953	1120	925	1010	929	1104	1127	1130	1001	1274	1096	1154	1106	1271	1066	1257	1008	1241	460	1353	1002	1229	1081	1010	1249	1452	1268	1241	726	1177	1158	759	1150	1141	695	905	919	1075	1002	777	945	1125	1036	915	996	768	860	788	832	1406	923	864	1004	875	993	63	146					
9	Число недействительных избирательных бюллетеней	503	6	1	16	9	7	7	6	8	8	14	10	7	4	3	12	4	9	10	13	13	7	8	7	11	8	3	5	11	10	13	5	15	10	9	9	4	11	15	5	11	10	9	8	4	14	4	2	7	10	10	8	4	7	12	5	0	16	6	5	10	3	4	1	0					
10	Число действительных избирательных бюллетеней	66370	999	863	1711	1596	825	1201	980	960	1133	931	1018	940	1138	1150	1141	1052	1307	1119	1178	1117	1280	1094	1273	1002	1265	460	1375	1001	1235	1092	1019	1260	1477	1297	1255	732	1208	1161	777	1173	1161	714	915	938	1082	1011	794	948	1129	1044	924	1018	780	860	795	848	1413	948	888	1010	903	997	309	146					
