Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
"Наименование Избирательной комиссии:    Чебоксары, Калининская "																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854					
1	"Число избирателей, внесенных в списки"	111583	2370	1730	1945	1968	1181	1798	1301	1497	2083	2068	1907	1845	1882	853	2182	2762	1537	1861	1573	2139	2806	2123	1641	2624	2565	2789	2705	2224	2023	2670	2869	2597	2612	2507	2433	2409	2501	1351	2307	2769	2532	2604	2641	157	467	2279	2582	2495	1440	2210	2463	1737	716	2253					
2	"Число бюллетеней, полученных участковыми комиссиями"	98995	2110	1560	1700	1700	965	1620	1160	1350	1860	1830	1700	1650	1620	715	1950	2420	1380	1640	1390	1890	2500	1870	1450	2350	2300	2490	2440	1970	1860	2400	2520	2320	2290	2210	2200	2150	2200	1180	2040	2450	2270	2310	2340	200	500	2000	2300	2220	1260	1900	2180	1500	635	1980					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	57396	1144	935	1003	848	391	800	592	845	1127	1050	1028	1025	902	450	1132	1429	807	1052	603	869	1536	1152	809	1325	1266	1500	1487	1242	1098	1525	1594	1398	1418	1395	1317	1260	1318	803	1312	1441	1353	1424	1497	151	410	1213	1313	893	637	979	1258	689	360	991					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	907	30	16	37	15	18	12	20	12	27	18	12	12	18	6	22	43	15	15	16	13	13	9	6	10	14	8	20	30	35	20	12	21	14	15	20	14	3	2	3	13	10	17	16	6	38	5	16	13	27	41	14	17	6	22					
6	Число погашенных бюллетеней	40692	936	609	660	837	556	808	548	493	706	762	660	613	700	259	796	948	558	573	771	1008	951	709	635	1015	1020	982	933	698	727	855	914	901	858	800	863	876	879	375	725	996	907	869	827	43	52	782	971	1314	596	880	908	794	269	967					
7	Число бюллетеней в переносных ящиках для голосования	907	30	16	37	15	18	12	20	12	27	18	12	12	18	6	22	43	15	15	16	13	13	9	6	10	14	8	20	30	35	20	12	21	14	15	20	14	3	2	3	13	10	17	16	6	38	5	16	13	27	41	14	17	6	22					
8	Число бюллетеней в стационарных ящиках для голосования	57357	1144	934	1003	848	391	798	592	845	1126	1048	1028	1025	900	450	1128	1429	807	1052	603	869	1535	1152	809	1324	1266	1500	1486	1242	1097	1525	1580	1398	1418	1395	1317	1260	1318	803	1312	1441	1353	1422	1495	151	409	1210	1313	893	637	978	1258	689	360	991					
9	Число недействительных бюллетеней	1142	22	19	16	19	6	14	8	15	26	27	22	28	26	13	24	10	14	17	19	29	21	19	11	34	31	35	24	24	18	29	21	20	49	31	21	30	27	6	21	35	12	21	13	7	20	22	32	22	21	23	26	10	3	29					
10	Число действительных бюллетеней	57122	1152	931	1024	844	403	796	604	842	1127	1039	1018	1009	892	443	1126	1462	808	1050	600	853	1527	1142	804	1300	1249	1473	1482	1248	1114	1516	1571	1399	1383	1379	1316	1244	1294	799	1294	1419	1351	1418	1498	150	427	1193	1297	884	643	996	1246	696	363	984					
