Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Хабаровск, Индустриальная"																																																																																		
																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																		
																																																																																		
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
1	"Число избирателей, внесенных в списки"	158983	2662	1359	2286	2136	117	390	2598	1720	2639	2252	2508	2679	2627	2766	2707	827	2614	1821	2062	2458	2750	2614	2643	2470	2589	2806	1963	2092	1631	1652	2604	18	2507	2271	2677	2405	2795	1904	2617	2296	27	2429	2238	2748	2334	2480	2586	1942	2841	2280	2445	2660	1921	2620	1951	2277	2247	2770	2225	30	1873	2492	2615	2804	1891	920	1559	235	2335	2920	2668	2799	2597	1364	328					
2	"Число бюллетеней, полученных участковыми комиссиями"	153987	2600	1300	2200	2100	106	463	2500	1600	2500	2100	2400	2600	2600	2600	2600	810	2500	1700	2000	2400	2700	2600	2600	2400	2500	2700	1900	2000	1600	1600	2600	16	2500	2200	2600	2400	2700	1800	2500	2200	31	2300	2200	2700	2300	2400	2500	1900	2800	2200	2400	2600	1900	2600	1900	2200	2200	2700	2200	31	1800	2500	2600	2700	1600	900	1500	310	2300	2700	2600	2700	2300	1300	320					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	65650	1121	622	1089	997	25	282	1176	698	1301	978	1063	1176	1190	1205	1170	230	1234	790	871	1023	1213	1099	1281	1067	1099	1222	526	885	694	521	980	9	974	872	921	976	1134	793	1234	882	26	1061	980	1162	1033	998	1077	756	1058	830	1023	1123	837	1147	846	929	917	1177	641	30	579	1072	1147	1135	746	229	299	166	739	1230	1117	1080	1209	479	149					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2153	30	30	22	20	79	96	24	15	31	36	22	42	40	34	65	16	27	30	21	14	34	36	18	19	35	35	22	12	25	10	21	1	21	28	37	45	20	26	44	35	0	49	27	30	14	21	30	21	24	20	22	32	5	34	11	15	40	11	26	0	8	24	13	20	57	30	70	69	17	30	92	23	23	19	8					
6	Число погашенных бюллетеней	86184	1449	648	1089	1083	2	85	1300	887	1168	1086	1315	1382	1370	1361	1365	564	1239	880	1108	1363	1453	1465	1301	1314	1366	1443	1352	1103	881	1069	1599	6	1505	1300	1642	1379	1546	981	1222	1283	5	1190	1193	1508	1253	1381	1393	1123	1718	1350	1355	1445	1058	1419	1043	1256	1243	1512	1533	1	1213	1404	1440	1545	797	641	1131	75	1544	1440	1391	1597	1068	802	163					
7	Число бюллетеней в переносных ящиках для голосования	2153	30	30	22	20	79	96	24	15	31	36	22	42	40	34	65	16	27	30	21	14	34	36	18	19	35	35	22	12	25	10	21	1	21	28	37	45	20	26	44	35	0	49	27	30	14	21	30	21	24	20	22	32	5	34	11	15	40	11	26	0	8	24	13	20	57	30	70	69	17	30	92	23	23	19	8					
8	Число бюллетеней в стационарных ящиках для голосования	65518	1121	622	1088	997	25	279	1156	698	1301	978	1061	1172	1188	1171	1170	230	1234	789	869	1021	1177	1097	1281	1067	1099	1222	526	885	693	521	980	9	973	872	921	976	1134	793	1234	882	26	1061	980	1162	1033	998	1077	756	1058	830	1021	1123	831	1147	837	927	917	1177	641	30	579	1072	1147	1134	746	229	299	166	739	1230	1117	1080	1209	478	149					
9	Число недействительных бюллетеней	774	2	7	5	6	0	1	15	7	17	9	9	15	15	20	15	2	8	16	10	20	9	9	16	12	10	14	1	17	12	6	7	0	18	13	8	14	12	14	22	7	0	7	6	10	6	12	6	8	13	9	13	23	9	6	9	11	15	14	4	1	8	10	14	12	27	6	3	21	11	12	13	11	11	7	6					
10	Число действительных бюллетеней	66897	1149	645	1105	1011	104	374	1165	706	1315	1005	1074	1199	1213	1185	1220	244	1253	803	880	1015	1202	1124	1283	1074	1124	1243	547	880	706	525	994	10	976	887	950	1007	1142	805	1256	910	26	1103	1001	1182	1041	1007	1101	769	1069	841	1030	1132	827	1175	839	931	942	1174	663	29	579	1086	1146	1142	776	253	366	214	745	1248	1196	1092	1221	490	151					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1214	26	10	19	19	0	4	19	10	16	19	28	22	19	19	19	3	20	10	19	16	19	19	20	22	19	20	10	19	16	16	19	0	19	19	20	20	19	19	19	20	0	20	19	19	19	20	20	20	24	19	19	20	15	20	19	19	19	20	20	0	15	19	19	20	12	5	12	0	15	15	10	18	15	11	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	635	19	6	9	11	0	0	9	4	13	7	19	16	10	13	18	2	10	5	10	10	11	19	10	15	9	8	4	7	6	2	12	0	3	13	11	6	12	3	13	9	0	12	11	15	9	6	10	7	21	5	7	9	9	9	9	11	10	12	6	0	5	15	13	9	1	0	1	0	4	9	5	14	10	7	0					
