Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Усть-Кубинская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815					
1	"Число избирателей, внесенных в список"	7376	1646	1392	225	217	349	94	155	492	299	424	88	274	669	77	420	190	365					
2	Число полученных избирательных бюллетеней	7431	1628	1359	229	221	354	99	164	493	306	430	92	285	692	87	420	197	375					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4586	1071	997	176	150	189	77	78	315	82	235	52	166	405	58	252	92	191					
5	"Число избирательных бюллетеней, выданных вне помещения"	995	99	62	18	24	74	10	45	43	152	56	17	55	113	7	49	62	109					
6	Число погашенных избирательных бюллетеней	1850	458	300	35	47	91	12	41	135	72	139	23	64	174	22	119	43	75					
7	Число избирательных бюллетеней в переносных ящиках	995	99	62	18	24	74	10	45	43	152	56	17	55	113	7	49	62	109					
8	Число бюллетеней в стационарных ящиках для голосования	4585	1071	996	176	150	189	77	78	315	82	235	52	166	405	58	252	92	191					
9	Число недействительных избирательных бюллетеней	40	13	0	1	0	4	0	2	3	0	6	0	4	4	1	0	1	1					
10	Число действительных избирательных бюллетеней	5540	1157	1058	193	174	259	87	121	355	234	285	69	217	514	64	301	153	299					
11	Число полученных открепительных  удостоверений	200	26	19	7	5	15	10	7	7	10	13	3	15	28	10	3	9	13					
12	Число выданных открепительных удостоверений	171	23	19	7	2	11	7	7	4	8	11	1	13	27	10	2	7	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	11	24	1	1	7	3	1	2	1	3	2	4	4	4	3	3	3					
14	Число неиспользованных открепительных удостоверений	29	3	0	0	3	4	3	0	3	2	2	2	2	1	0	1	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	126	30	32	7	0	3	0	1	9	6	11	0	3	2	0	13	4	5					
		2.26%	2.56%	3.02%	3.61%	0.00%	1.14%	0.00%	0.81%	2.51%	2.56%	3.78%	0.00%	1.36%	0.39%	0.00%	4.32%	2.60%	1.67%					
19	. Малышкин Олег Александрович	117	22	25	7	2	4	0	3	3	8	6	1	3	13	3	6	1	10					
		2.10%	1.88%	2.36%	3.61%	1.15%	1.52%	0.00%	2.44%	0.84%	3.42%	2.06%	1.45%	1.36%	2.51%	4.62%	1.99%	0.65%	3.33%					
20	. Миронов Сергей Михайлович	35	6	6	2	1	1	0	0	2	3	2	1	3	2	1	1	1	3					
		0.63%	0.51%	0.57%	1.03%	0.57%	0.38%	0.00%	0.00%	0.56%	1.28%	0.69%	1.45%	1.36%	0.39%	1.54%	0.33%	0.65%	1.00%					
21	. Путин Владимир Владимирович	4308	920	821	138	158	187	56	97	274	170	223	54	170	415	55	215	138	217					
		77.20%	78.63%	77.60%	71.13%	90.80%	71.10%	64.37%	78.86%	76.54%	72.65%	76.63%	78.26%	76.92%	80.12%	84.62%	71.43%	89.61%	72.33%					
22	. Хакамада Ирина Муцуовна	70	15	16	1	4	7	3	2	4	2	6	0	1	0	0	4	2	3					
		1.25%	1.28%	1.51%	0.52%	2.30%	2.66%	3.45%	1.63%	1.12%	0.85%	2.06%	0.00%	0.45%	0.00%	0.00%	1.33%	1.30%	1.00%					
23	. Харитонов Николай Михайлович	786	141	132	33	8	51	27	17	57	44	29	13	35	77	5	59	4	54					
		14.09%	12.05%	12.48%	17.01%	4.60%	19.39%	31.03%	13.82%	15.92%	18.80%	9.97%	18.84%	15.84%	14.86%	7.69%	19.60%	2.60%	18.00%					
																								
24	Против всех	98	23	26	5	1	6	1	1	6	1	8	0	2	5	0	3	3	7					
		1.76%	1.97%	2.46%	2.58%	0.57%	2.28%	1.15%	0.81%	1.68%	0.43%	2.75%	0.00%	0.90%	0.97%	0.00%	1.00%	1.95%	2.33%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
