Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																		
Дата голосования: 04.12.2011																																		
																																		
Наименование Избирательной комиссии:    Навашинская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №248	УИК №249	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №2493					
1	"Число избирателей, внесенных в список избирателей"	20237	958	1045	1804	1801	1505	668	1163	986	1053	1222	223	408	934	518	281	242	182	224	117	1025	374	952	374	167	176	905	930					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20100	950	1040	1800	1780	1500	650	1150	980	1050	1200	220	400	930	520	300	240	170	220	120	1030	370	930	380	160	170	920	920					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14232	666	829	1528	1452	1225	601	925	466	745	898	129	181	705	326	195	148	104	135	65	537	107	657	247	98	98	458	707					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1369	103	18	26	40	72	6	18	58	29	27	64	160	6	56	61	37	25	26	29	122	108	36	79	41	47	67	8					
6	Число погашенных избирательных бюллетеней	4499	181	193	246	288	203	43	207	456	276	275	27	59	219	138	44	55	41	59	26	371	155	237	54	21	25	395	205					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1369	103	18	26	40	72	6	18	58	29	27	64	160	6	56	61	37	25	26	29	122	108	36	79	41	47	67	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14209	666	829	1528	1452	1223	601	925	466	745	898	129	181	705	326	195	148	104	135	65	537	107	657	247	98	98	458	686					
9	Число недействительных избирательных бюллетеней	203	7	13	14	16	19	6	6	8	17	8	3	0	7	2	5	10	0	3	21	3	2	6	1	0	1	16	9					
10	Число действительных избирательных бюллетеней	15375	762	834	1540	1476	1276	601	937	516	757	917	190	341	704	380	251	175	129	158	73	656	213	687	325	139	144	509	685					
