Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    Навашинская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №2493					
1	"Число избирателей, внесенных в списки избирателей"	20749	2328	1896	2288	2352	2182	934	1969	1228	262	363	71	522	270	239	167	230	132	861	432	191	312	202	201	1006	111					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19650	2300	1800	2200	2300	2000	800	1800	1200	200	300	60	500	250	200	150	290	120	800	400	180	300	200	200	1000	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12208	1417	1135	1455	1345	1312	519	1116	740	128	242	26	279	133	119	96	175	83	532	261	113	216	99	110	485	72					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1334	47	51	73	112	52	37	74	66	61	44	24	48	69	30	21	26	31	72	43	50	37	55	65	118	28					
6	Число погашенных избирательных бюллетеней	6108	836	614	672	843	636	244	610	394	11	14	10	173	48	51	33	89	6	196	96	17	47	46	25	397	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1334	47	51	73	112	52	37	74	66	61	44	24	48	69	30	21	26	31	72	43	50	37	55	65	118	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12206	1417	1135	1455	1344	1312	519	1116	739	128	242	26	279	133	119	96	175	83	532	261	113	216	99	110	485	72					
9	Число недействительных избирательных бюллетеней	140	15	12	13	14	17	4	21	1	2	0	1	4	1	1	1	6	0	11	6	0	0	0	1	9	0					
10	Число действительных избирательных бюллетеней	13400	1449	1174	1515	1442	1347	552	1169	804	187	286	49	323	201	148	116	195	114	593	298	163	253	154	174	594	100					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	492	38	37	52	50	35	25	30	20	3	10	2	10	30	10	10	20	5	25	10	10	15	5	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	392	34	34	49	50	31	14	20	15	3	6	0	10	26	5	10	16	4	21	5	3	13	2	3	10	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	192	21	15	16	11	25	6	8	9	6	10	6	4	6	9	5	6	3	5	2	2	3	3	2	4	5					
14	Число погашенных неиспользованных открепительных удостоверений	100	4	3	3	0	4	11	10	5	0	4	2	0	4	5	0	4	1	4	5	7	2	3	7	10	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	1	1	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	1.Политическая партия «Аграрная партия России»	331	25	25	36	37	30	13	18	32	3	6	0	26	13	9	0	3	0	13	5	0	15	6	8	8	0					
		2.44%	1.71%	2.11%	2.36%	2.54%	2.20%	2.34%	1.51%	3.98%	1.59%	2.10%	0.00%	7.95%	6.44%	6.04%	0.00%	1.49%	0.00%	2.15%	1.64%	0.00%	5.93%	3.90%	4.57%	1.33%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	69	9	6	7	16	18	1	4	3	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0					
		0.51%	0.61%	0.51%	0.46%	1.10%	1.32%	0.18%	0.34%	0.37%	0.00%	0.35%	0.00%	0.00%	0.00%	0.67%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.57%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	12	1	1	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0					
		0.09%	0.07%	0.08%	0.13%	0.07%	0.15%	0.18%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1596	170	158	198	217	208	43	127	107	19	38	2	31	19	16	22	13	6	54	17	12	18	29	14	46	12					
		11.79%	11.61%	13.32%	12.96%	14.90%	15.25%	7.73%	10.67%	13.29%	10.05%	13.29%	4.00%	9.48%	9.41%	10.74%	18.80%	6.47%	5.26%	8.94%	5.59%	7.36%	7.11%	18.83%	8.00%	7.63%	12.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	34	6	2	8	2	4	0	6	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0					
		0.25%	0.41%	0.17%	0.52%	0.14%	0.29%	0.00%	0.50%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	26	5	0	2	1	2	1	3	1	1	0	0	1	0	2	0	1	0	1	0	0	1	0	1	3	0					
		0.19%	0.34%	0.00%	0.13%	0.07%	0.15%	0.18%	0.25%	0.12%	0.53%	0.00%	0.00%	0.31%	0.00%	1.34%	0.00%	0.50%	0.00%	0.17%	0.00%	0.00%	0.40%	0.00%	0.57%	0.50%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1045	105	91	133	116	105	36	81	62	19	19	5	26	15	25	8	11	1	32	31	17	28	9	15	49	6					
		7.72%	7.17%	7.67%	8.70%	7.97%	7.70%	6.47%	6.81%	7.70%	10.05%	6.64%	10.00%	7.95%	7.43%	16.78%	6.84%	5.47%	0.88%	5.30%	10.20%	10.43%	11.07%	5.84%	8.57%	8.13%	6.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1213	162	140	125	140	107	61	114	89	13	24	6	38	10	14	2	6	1	47	37	8	9	14	9	34	3					
		8.96%	11.07%	11.80%	8.18%	9.62%	7.84%	10.97%	9.58%	11.06%	6.88%	8.39%	12.00%	11.62%	4.95%	9.40%	1.71%	2.99%	0.88%	7.78%	12.17%	4.91%	3.56%	9.09%	5.14%	5.64%	3.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	75	7	6	17	6	9	2	6	5	1	0	1	0	0	0	0	1	0	6	3	1	3	0	1	0	0					
		0.55%	0.48%	0.51%	1.11%	0.41%	0.66%	0.36%	0.50%	0.62%	0.53%	0.00%	2.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.99%	0.99%	0.61%	1.19%	0.00%	0.57%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8924	945	737	979	898	851	392	801	499	131	195	34	200	143	79	83	159	104	437	204	124	179	95	124	452	79					
		65.91%	64.55%	62.14%	64.07%	61.68%	62.39%	70.50%	67.31%	61.99%	69.31%	68.18%	68.00%	61.16%	70.79%	53.02%	70.94%	79.10%	91.23%	72.35%	67.11%	76.07%	70.75%	61.69%	70.86%	74.96%	79.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	75	14	8	8	8	11	2	8	4	0	3	1	1	1	1	0	1	2	1	0	1	0	0	0	0	0					
		0.55%	0.96%	0.67%	0.52%	0.55%	0.81%	0.36%	0.67%	0.50%	0.00%	1.05%	2.00%	0.31%	0.50%	0.67%	0.00%	0.50%	1.75%	0.17%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
