Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Корсаковская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555					
1	"Число избирателей, внесенных в списки"	3968	318	141	277	276	203	368	1210	234	328	548	65					
2	"Число бюллетеней, полученных участковыми комиссиями"	4006	318	140	275	272	206	377	1244	230	326	553	65					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2887	254	102	174	242	138	226	845	158	274	419	55					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	732	50	38	80	30	59	119	213	58	32	43	10					
6	Число погашенных бюллетеней	387	14	0	21	0	9	32	186	14	20	91	0					
7	Число бюллетеней в переносных ящиках для голосования	732	50	38	80	30	59	119	213	58	32	43	10					
8	Число бюллетеней в стационарных ящиках для голосования	2887	254	102	174	242	138	226	845	158	274	419	55					
9	Число недействительных бюллетеней	27	0	1	15	1	2	1	0	0	7	0	0					
10	Число действительных бюллетеней	3592	304	139	239	271	195	344	1058	216	299	462	65					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	198	16	6	15	14	10	20	59	11	16	28	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	62	3	1	3	0	0	4	46	0	2	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	4	1	4	4	7	4	14	1	1	1	6					
14	Число погашенных открепительных удостоверений	136	13	5	12	14	10	16	13	11	14	25	3					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	2	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	37	3	0	5	1	5	1	15	1	2	2	2					
		1.02%	0.98%	0.0%	1.96%	0.36%	2.53%	0.28%	1.41%	0.46%	0.65%	0.43%	3.07%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	14	1	2	1	0	1	0	5	0	0	4	0					
		0.38%	0.32%	1.42%	0.39%	0.0%	0.50%	0.0%	0.47%	0.0%	0.0%	0.86%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	23	1	0	0	0	2	0	11	3	2	4	0					
		0.63%	0.32%	0.0%	0.0%	0.0%	1.01%	0.0%	1.03%	1.38%	0.65%	0.86%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	20	0	0	1	0	2	0	14	1	1	1	0					
		0.55%	0.0%	0.0%	0.39%	0.0%	1.01%	0.0%	1.32%	0.46%	0.32%	0.21%	0.0%					
22	"5. ""За Русь Святую"""	10	0	0	1	0	0	1	8	0	0	0	0					
		0.27%	0.0%	0.0%	0.39%	0.0%	0.0%	0.28%	0.75%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	0	0	1	0	2	2	3	1	0	1	1					
		0.30%	0.0%	0.0%	0.39%	0.0%	1.01%	0.57%	0.28%	0.46%	0.0%	0.21%	1.53%					
24	"7. ""Новый курс - Автомобильная Россия"""	15	1	0	0	0	1	1	10	0	1	1	0					
		0.41%	0.32%	0.0%	0.0%	0.0%	0.50%	0.28%	0.94%	0.0%	0.32%	0.21%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	1	0	0	0	0	0	1	0	0	0	0					
		0.05%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	0	0	1	0	0	0	2	0	0	0	0					
		0.08%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	120	6	2	5	7	16	13	26	9	24	8	4					
		3.31%	1.97%	1.42%	1.96%	2.57%	8.12%	3.76%	2.45%	4.16%	7.84%	1.73%	6.15%					
28	"11. ""Истинные патриоты России"""	3	0	0	0	0	1	0	0	1	0	1	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.46%	0.0%	0.21%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	17	0	0	1	2	2	2	7	0	2	1	0					
		0.46%	0.0%	0.0%	0.39%	0.73%	1.01%	0.57%	0.66%	0.0%	0.65%	0.21%	0.0%					
30	"13. ""Демократическая партия России"""	5	0	0	0	0	0	0	3	0	0	2	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.43%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	3	0	0	0	0	0	0	1	0	0	2	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.43%	0.0%					
32	"15. ""Партия СЛОН"""	5	0	0	0	0	4	0	0	0	1	0	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	2.03%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	131	12	0	4	17	6	14	57	3	5	11	2					
		3.61%	3.94%	0.0%	1.57%	6.24%	3.04%	4.05%	5.38%	1.38%	1.63%	2.38%	3.07%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	12	0	1	0	0	3	2	5	0	0	1	0					
		0.33%	0.0%	0.71%	0.0%	0.0%	1.52%	0.57%	0.47%	0.0%	0.0%	0.21%	0.0%					
35	"18. ""ЛДПР"""	243	19	4	13	8	8	35	84	23	25	23	1					
		6.71%	6.25%	2.85%	5.11%	2.94%	4.06%	10.14%	7.93%	10.64%	8.16%	4.97%	1.53%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	59	1	1	3	0	3	11	24	6	4	6	0					
		1.63%	0.32%	0.71%	1.18%	0.0%	1.52%	3.18%	2.26%	2.77%	1.30%	1.29%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	2137	184	125	128	188	117	184	572	119	153	316	51					
		59.04%	60.52%	89.28%	50.39%	69.11%	59.39%	53.33%	54.06%	55.09%	50.0%	68.39%	78.46%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	1	0	0	0	0	0	4	0	13	1	0					
		0.52%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	4.24%	0.21%	0.0%					
39	"22. ""Развитие предпринимательства"""	6	1	0	0	0	0	0	5	0	0	0	0					
		0.16%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	557	60	4	60	41	18	53	150	43	60	64	4					
		15.39%	19.73%	2.85%	23.62%	15.07%	9.13%	15.36%	14.17%	19.90%	19.60%	13.85%	6.15%					
																		
41	Против всех	140	13	0	15	7	4	25	51	6	6	13	0					
		3.86%	4.27%	0.0%	5.90%	2.57%	2.03%	7.24%	4.82%	2.77%	1.96%	2.81%	0.0%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
