Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Дивногорская городская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25132	53	2676	2333	2348	2655	2748	2340	2910	1648	1957	79	886	1172	427	458	251	191									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23624	55	2600	2200	2200	2500	2600	2200	2800	1500	1800	80	800	1100	400	400	200	189									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8638	21	899	828	907	919	806	780	1016	573	712	48	247	371	134	125	77	175									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	246	28	13	13	9	40	17	19	20	13	32	0	9	5	8	12	0	8									
6	Число погашенных избирательных бюллетеней	14740	6	1688	1359	1284	1541	1777	1401	1764	914	1056	32	544	724	258	263	123	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	246	28	13	13	9	40	17	19	20	13	32	0	9	5	8	12	0	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8635	21	899	828	907	919	806	780	1015	571	712	48	247	371	134	125	77	175									
9	Число недействительных избирательных бюллетеней	223	1	23	29	22	24	10	16	23	21	17	0	6	15	3	2	4	7									
10	Число действительных избирательных бюллетеней	8658	48	889	812	894	935	813	783	1012	563	727	48	250	361	139	135	73	176									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	680	0	70	70	70	70	70	70	70	65	65	10	10	10	10	10	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	106	0	7	7	11	9	14	13	21	7	10	0	0	5	1	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	3	5	3	7	9	9	6	12	12	4	1	3	3	3	0	12	4									
14	Число погашенных неиспользованных открепительных удостоверений	574	0	63	63	59	61	56	57	49	58	55	10	10	5	9	9	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	1	1	1	2	1	0	3	1	2	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	194	1	9	19	20	20	6	23	32	12	14	0	9	4	8	1	5	11									
		2.18%	2.04%	0.99%	2.26%	2.18%	2.09%	0.73%	2.88%	3.09%	2.05%	1.88%	0.00%	3.52%	1.06%	5.63%	0.73%	6.49%	6.01%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	323	4	40	26	34	37	29	27	37	23	16	3	7	13	8	6	1	12									
		3.64%	8.16%	4.39%	3.09%	3.71%	3.86%	3.52%	3.38%	3.57%	3.94%	2.15%	6.25%	2.73%	3.46%	5.63%	4.38%	1.30%	6.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	203	1	18	21	24	19	21	12	23	15	22	2	3	12	3	3	0	4									
		2.29%	2.04%	1.97%	2.50%	2.62%	1.98%	2.55%	1.50%	2.22%	2.57%	2.96%	4.17%	1.17%	3.19%	2.11%	2.19%	0.00%	2.19%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3598	23	358	368	309	389	357	324	396	227	307	21	104	177	57	48	33	100									
		40.51%	46.94%	39.25%	43.76%	33.73%	40.56%	43.38%	40.55%	38.26%	38.87%	41.26%	43.75%	40.63%	47.07%	40.14%	35.04%	42.86%	54.64%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	96	0	7	5	8	7	13	8	13	10	13	0	2	2	4	0	0	4									
		1.08%	0.00%	0.77%	0.59%	0.87%	0.73%	1.58%	1.00%	1.26%	1.71%	1.75%	0.00%	0.78%	0.53%	2.82%	0.00%	0.00%	2.19%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	2	0	1	2	1	1	4	2	2	0	1	1	0	1	0	1									
		0.21%	0.00%	0.22%	0.00%	0.11%	0.21%	0.12%	0.13%	0.39%	0.34%	0.27%	0.00%	0.39%	0.27%	0.00%	0.73%	0.00%	0.55%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1782	7	201	155	225	184	163	167	200	113	156	8	59	64	28	26	5	21									
		20.07%	14.29%	22.04%	18.43%	24.56%	19.19%	19.81%	20.90%	19.32%	19.35%	20.97%	16.67%	23.05%	17.02%	19.72%	18.98%	6.49%	11.48%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	76	0	10	3	8	5	11	12	10	5	7	0	2	1	0	1	0	1									
		0.86%	0.00%	1.10%	0.36%	0.87%	0.52%	1.34%	1.50%	0.97%	0.86%	0.94%	0.00%	0.78%	0.27%	0.00%	0.73%	0.00%	0.55%									
