Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Навашинская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  1277	УИК  1278	УИК  1279	УИК  1280	УИК  1281	УИК  1282	УИК  1283	УИК  1284	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  2493					
1	"Число избирателей, внесенных в списки"	22601	2377	2175	2513	2448	2412	972	2046	1277	291	396	90	554	344	240	230	288	208	958	516	223	344	234	243	1077	145					
2	"Число бюллетеней, полученных участковыми комиссиями"	20450	2200	2000	2400	2200	2100	900	1800	1100	300	350	80	500	300	200	200	250	200	850	450	200	300	210	210	1000	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10668	1151	1019	1258	1151	1123	427	946	645	137	225	22	290	127	117	110	160	101	407	202	85	203	121	118	428	95					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	882	14	33	61	16	42	16	17	31	55	41	31	56	49	21	46	33	9	51	38	27	31	45	68	36	15					
6	Число погашенных бюллетеней	8900	1035	948	1081	1033	935	457	837	424	108	84	27	154	124	62	44	57	90	392	210	88	66	44	24	536	40					
7	Число бюллетеней в переносных ящиках для голосования	882	14	33	61	16	42	16	17	31	55	41	31	56	49	21	46	33	9	51	38	27	31	45	68	36	15					
8	Число бюллетеней в стационарных ящиках для голосования	10661	1151	1019	1254	1151	1122	427	945	645	136	225	22	290	127	117	110	160	101	407	202	85	203	121	118	428	95					
9	Число недействительных бюллетеней	209	13	13	10	12	12	9	17	21	0	6	1	9	10	1	3	7	9	16	8	5	1	2	7	14	3					
10	Число действительных бюллетеней	11334	1152	1039	1305	1155	1152	434	945	655	191	260	52	337	166	137	153	186	101	442	232	107	233	164	179	450	107					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	420	30	30	30	30	30	30	30	20	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	20	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	91	12	8	25	17	14	0	6	5	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	3	6	7	7	8	4	4	3	5	7	5	0	6	4	2	4	6	3	1	1	4	0	2	0	2					
14	Число погашенных открепительных удостоверений	329	18	22	5	13	16	30	24	15	10	8	10	10	9	10	10	9	10	20	10	10	10	10	10	20	10					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
