Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Талицкая																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988					
1	"Число избирателей, внесенных в списки избирателей"	42578	1388	2255	2471	2016	2536	713	1043	159	876	1063	1588	1911	2147	1789	1334	1867	164	439	515	175	475	287	273	573	203	224	156	376	192	230	497	666	365	134	148	660	207	91	332	468	839	284	193	722	192	80	1437	188	257	233	619	533	231	1300	544	528	96	47	64	882	141	162					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	39875	1250	1800	2400	1900	2400	650	900	164	800	1000	1500	1800	2000	1600	1200	1800	167	400	500	192	450	250	250	550	200	200	147	350	202	200	500	650	350	137	150	650	200	88	300	450	750	250	198	700	192	76	1450	190	200	200	600	500	200	1200	500	500	97	48	77	850	200	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21097	614	1137	1307	960	1375	341	528	67	478	515	775	824	1015	765	671	842	77	157	193	99	223	126	123	311	116	113	95	252	113	145	220	386	211	78	76	326	107	56	180	192	438	95	71	360	100	40	806	91	147	122	343	288	126	612	222	245	53	31	50	412	141	115					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3118	83	113	48	97	128	31	31	29	45	40	122	124	168	101	37	135	52	70	103	11	23	28	18	54	16	26	18	29	31	23	58	46	48	9	9	68	23	12	28	71	44	96	65	71	26	14	45	13	15	23	23	28	8	120	99	74	0	0	2	138	0	8					
6	Число погашенных избирательных бюллетеней	15660	553	550	1045	843	897	278	341	68	277	445	603	852	817	734	492	823	38	173	204	82	204	96	109	185	68	61	34	69	58	32	222	218	91	50	65	256	70	20	92	187	268	59	62	269	66	22	599	86	38	55	234	184	66	468	179	181	44	17	25	300	59	77					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3118	83	113	48	97	128	31	31	29	45	40	122	124	168	101	37	135	52	70	103	11	23	28	18	54	16	26	18	29	31	23	58	46	48	9	9	68	23	12	28	71	44	96	65	71	26	14	45	13	15	23	23	28	8	120	99	74	0	0	2	138	0	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21095	614	1137	1307	960	1375	341	528	67	478	515	775	824	1013	765	671	842	77	157	193	99	223	126	123	311	116	113	95	252	113	145	220	386	211	78	76	326	107	56	180	192	438	95	71	360	100	40	806	91	147	122	343	288	126	612	222	245	53	31	50	412	141	115					
9	Число недействительных избирательных бюллетеней	336	36	13	14	13	20	5	3	5	1	5	10	20	16	10	9	8	2	3	3	0	1	6	2	8	5	1	2	0	0	0	2	2	3	0	1	6	5	3	3	4	11	0	4	5	1	0	16	0	0	0	7	4	3	20	1	2	0	3	1	5	2	1					
10	Число действительных избирательных бюллетеней	23877	661	1237	1341	1044	1483	367	556	91	522	550	887	928	1165	856	699	969	127	224	293	110	245	148	139	357	127	138	111	281	144	168	276	430	256	87	84	388	125	65	205	259	471	191	132	426	125	54	835	104	162	145	359	312	131	712	320	317	53	28	51	545	139	122					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	688	19	30	23	31	40	10	16	9	12	16	20	16	30	15	15	20	8	5	7	15	6	2	2	16	3	7	2	13	15	8	2	28	19	2	2	13	3	2	5	10	10	15	5	7	3	0	20	2	3	2	10	7	8	20	8	2	1	1	12	35	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	650	19	30	23	29	40	10	16	9	12	13	20	16	29	15	15	20	6	3	7	15	6	2	1	16	3	4	0	13	9	8	2	28	19	2	0	9	1	1	5	10	10	11	5	7	3	0	20	2	2	2	10	7	7	20	8	2	0	1	12	35	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	302	7	26	12	14	14	3	7	6	8	6	9	11	4	8	3	8	3	0	1	3	0	3	0	2	0	0	8	0	0	0	1	6	0	1	0	3	1	5	1	2	2	2	1	1	1	1	8	4	2	0	0	1	0	9	3	1	0	1	2	3	52	22					
14	Число погашенных неиспользованных открепительных удостоверений	38	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	0	2	2	0	0	0	0	1	0	0	3	2	0	6	0	0	0	0	0	2	4	2	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	2	4	5	1	10	1	4	1	1	5	2	1	3	1	5	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
18	1.Политическая партия «Аграрная партия России»	739	13	23	23	21	27	5	7	2	19	9	20	8	16	9	9	20	4	13	7	3	18	9	9	14	7	7	1	11	7	12	18	30	13	7	8	20	6	0	5	24	29	7	12	7	7	3	39	1	6	2	23	19	2	31	9	15	0	0	1	32	6	4					
