Выборы Президента Российской Федерации																																																																			
Дата голосования: 02.03.2008																																																																			
																																																																			
"Наименование Избирательной комиссии:    Нижний Новгород, Автозаводская северная"																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
	Число участковых избирательных комиссий	60																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	60																																																																	
																																																																			
		Сумма	УИК №1328	УИК №1360	УИК №1361	УИК №1362	УИК №1364	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №2487					
1	"Число избирателей, включенных в списки избирателей"	127189	2253	1933	1912	1892	1992	2409	2403	2409	1799	1585	1996	1855	1608	1336	2493	2091	2177	2685	2448	2688	2518	1847	2275	2162	2171	2712	1984	2360	2198	2551	2005	2098	2227	2392	1827	1924	2281	2383	2497	1984	1526	1839	2336	1980	2190	2826	2323	2209	2483	2574	2211	2184	2406	2586	2517	2742	2876	780	178	63					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	126292	2250	1900	1900	1900	2000	2400	2350	2550	1750	1550	2000	1850	1600	1300	2500	2050	2150	2700	2400	2650	2500	1850	2250	2150	2150	2700	1950	2350	2200	2550	1950	2100	2200	2400	1800	1900	2250	2350	2500	1950	1500	1850	2250	1950	2150	2800	2350	2200	2450	2550	2200	2200	2400	2600	2500	2750	2850	700	180	62					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	81526	1427	1236	1086	1150	1247	1521	1573	1708	1060	1029	1365	1227	1061	897	1537	1253	1320	1831	1652	1770	1510	1208	1554	1474	1454	1786	1321	1522	1425	1704	1293	1313	1376	1558	1140	1314	1515	1450	1632	1238	948	1146	1386	1219	1413	1770	1483	1322	1507	1725	1356	1316	1551	1686	1693	1796	1738	526	160	48					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3087	30	30	23	48	14	42	47	48	67	53	29	42	31	41	66	69	102	45	35	62	78	35	56	33	40	50	51	52	60	56	90	92	76	35	58	70	84	68	50	61	49	66	47	54	43	69	46	70	50	38	38	29	26	37	41	53	184	3	11	14					
6	Число погашенных избирательных бюллетеней	41679	793	634	791	702	739	837	730	794	623	468	606	581	508	362	897	728	728	824	713	818	912	607	640	643	656	864	578	776	715	790	567	695	748	807	602	516	651	832	818	651	503	638	817	677	694	961	821	808	893	787	806	855	823	877	766	901	928	171	9	0					
