Выборы Президента Российской Федерации																																																																
																																																																
"Наименование Избирательной комиссии:    Нижний Новгород, Автозаводская северная"																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК  1328	УИК  1360	УИК  1361	УИК  1362	УИК  1364	УИК  1366	УИК  1367	УИК  1368	УИК  1369	УИК  1370	УИК  1371	УИК  1372	УИК  1373	УИК  1374	УИК  1375	УИК  1376	УИК  1377	УИК  1378	УИК  1379	УИК  1380	УИК  1381	УИК  1382	УИК  1383	УИК  1384	УИК  1385	УИК  1386	УИК  1387	УИК  1388	УИК  1389	УИК  1390	УИК  1391	УИК  1392	УИК  1393	УИК  1394	УИК  1395	УИК  1396	УИК  1397	УИК  1398	УИК  1399	УИК  1400	УИК  1401	УИК  1402	УИК  1403	УИК  1404	УИК  1405	УИК  1406	УИК  1407	УИК  1408	УИК  1409	УИК  1410	УИК  1411	УИК  1412	УИК  1413	УИК  1414	УИК  1415	УИК  1416	УИК  1417					
1	"Число избирателей, внесенных в список"	126222	2345	1909	1935	1942	1972	2128	2363	2465	1899	1649	2006	1836	1618	1375	2451	2150	2184	2732	2355	2745	2610	1942	2374	2269	2242	2248	2124	2393	2316	2622	2037	2171	2302	2327	1852	1984	2204	2402	2529	1983	1630	1893	2306	1952	2185	2774	2402	2259	2498	2535	2202	2157	2190	2462	2356	2857	2574					
2	Число полученных избирательных бюллетеней	121278	2227	1812	1855	1866	1818	2040	2258	2394	1804	1602	1919	1776	1588	1320	2349	2062	2094	2649	2278	2642	2503	1862	2290	2161	2145	2142	2007	2298	2215	2473	2001	2085	2202	2210	1774	1893	2126	2335	2424	1907	1574	1836	2211	1861	2139	2707	2318	2211	2395	2415	2106	2064	2208	2392	2266	2707	2462					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	66179	1235	950	984	1024	1061	1125	1229	1361	936	945	1076	995	927	831	1299	1127	1120	1492	1288	1470	1268	1104	1362	1172	1242	1153	1170	1356	1251	1460	1077	1157	1246	1187	1013	1115	1269	1161	1379	1040	832	1002	979	935	1110	1389	1207	968	1179	1327	1203	974	1232	1274	1187	1499	1225					
5	"Число избирательных бюллетеней, выданных вне помещения"	2178	44	49	26	51	14	68	53	55	65	46	23	41	28	39	42	40	70	24	19	52	64	33	34	32	36	28	20	26	47	32	62	34	51	29	24	59	52	40	38	34	38	38	23	51	36	117	21	29	20	21	5	10	16	26	12	15	76					
6	Число погашенных избирательных бюллетеней	52921	948	813	845	791	743	847	976	978	803	611	820	740	633	450	1008	895	904	1133	971	1120	1171	725	894	957	867	961	817	916	917	981	862	894	905	994	737	719	805	1134	1007	833	704	796	1209	875	993	1201	1090	1214	1196	1067	898	1080	960	1092	1067	1193	1161					
7	Число избирательных бюллетеней в переносных ящиках	2178	44	49	26	51	14	68	53	55	65	46	23	41	28	39	42	40	70	24	19	52	64	33	34	32	36	28	20	26	47	32	62	34	51	29	24	59	52	40	38	34	38	38	23	51	36	117	21	29	20	21	5	10	16	26	12	15	76					
8	Число бюллетеней в стационарных ящиках для голосования	66162	1235	950	983	1024	1061	1125	1229	1361	936	945	1075	995	924	831	1299	1126	1120	1492	1288	1470	1267	1104	1362	1170	1242	1153	1170	1356	1251	1460	1077	1157	1246	1187	1013	1113	1269	1161	1379	1040	832	1000	979	934	1109	1389	1207	968	1179	1327	1203	973	1231	1274	1187	1499	1225					
9	Число недействительных избирательных бюллетеней	328	3	2	2	7	10	6	15	5	5	9	6	1	4	0	5	6	9	5	7	8	7	4	11	6	2	4	5	2	7	0	7	8	2	9	5	3	2	10	8	5	4	4	5	12	8	5	5	7	1	14	5	3	11	8	8	2	4					
10	Число действительных избирательных бюллетеней	68012	1276	997	1007	1068	1065	1187	1267	1411	996	982	1092	1035	948	870	1336	1160	1181	1511	1300	1514	1324	1133	1385	1196	1276	1177	1185	1380	1291	1492	1132	1183	1295	1207	1032	1169	1319	1191	1409	1069	866	1034	997	973	1137	1501	1223	990	1198	1334	1203	980	1236	1292	1191	1512	1297					
11	Число полученных открепительных  удостоверений	985	15	20	15	20	20	20	15	40	10	20	20	20	30	10	15	10	10	20	25	20	20	10	20	10	15	10	15	15	20	15	20	10	15	20	15	20	20	20	15	15	10	20	40	20	20	15	15	10	20	20	10	15	20	15	20	10	10					
12	Число выданных открепительных удостоверений	705	12	15	10	10	3	14	9	35	6	8	18	5	22	4	15	10	7	18	17	15	15	6	18	8	11	10	12	12	16	12	19	10	14	12	13	12	11	17	11	11	10	6	26	11	20	15	13	6	15	13	10	9	12	10	10	9	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	563	14	29	9	7	9	6	12	7	3	13	7	7	4	12	8	13	7	10	3	8	10	3	7	6	6	10	4	4	6	7	11	2	11	8	9	15	5	4	20	10	4	7	16	37	8	16	9	9	13	6	6	6	27	11	8	19	15					
14	Число неиспользованных открепительных удостоверений	280	3	5	5	10	17	6	6	5	4	12	2	15	8	6	0	0	3	2	8	5	5	4	2	2	4	0	3	3	4	3	1	0	1	8	2	8	9	3	4	4	0	14	14	9	0	0	2	4	5	7	0	6	8	5	10	1	3					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	3138	67	52	46	46	48	66	53	72	53	61	71	51	60	43	47	65	49	75	76	76	64	55	74	59	70	68	54	70	68	65	39	60	56	37	45	43	72	49	72	60	28	49	42	33	54	68	54	32	49	57	41	37	39	43	53	44	58					
		4.59%	5.24%	5.21%	4.56%	4.28%	4.47%	5.53%	4.13%	5.08%	5.29%	6.16%	6.47%	4.92%	6.30%	4.94%	3.50%	5.57%	4.12%	4.95%	5.81%	4.99%	4.81%	4.84%	5.30%	4.91%	5.48%	5.76%	4.54%	5.07%	5.24%	4.36%	3.42%	5.04%	4.32%	3.04%	4.34%	3.67%	5.45%	4.08%	5.08%	5.59%	3.22%	4.72%	4.19%	3.35%	4.72%	4.52%	4.40%	3.21%	4.09%	4.23%	3.39%	3.76%	3.13%	3.31%	4.42%	2.91%	4.46%					
19	. Малышкин Олег Александрович	1251	23	22	20	20	8	14	22	14	7	9	19	34	11	20	18	18	20	32	22	23	33	21	17	22	17	17	28	14	23	35	23	15	15	22	24	21	31	22	31	24	14	25	21	17	23	25	11	17	22	30	28	25	23	38	38	33	30					
		1.83%	1.80%	2.20%	1.98%	1.86%	0.74%	1.17%	1.72%	0.99%	0.70%	0.91%	1.73%	3.28%	1.16%	2.30%	1.34%	1.54%	1.68%	2.11%	1.68%	1.51%	2.48%	1.85%	1.22%	1.83%	1.33%	1.44%	2.35%	1.01%	1.77%	2.35%	2.02%	1.26%	1.16%	1.81%	2.31%	1.79%	2.35%	1.83%	2.19%	2.23%	1.61%	2.41%	2.10%	1.73%	2.01%	1.66%	0.90%	1.71%	1.83%	2.23%	2.32%	2.54%	1.84%	2.92%	3.17%	2.18%	2.31%					
20	. Миронов Сергей Михайлович	443	8	4	5	4	4	9	9	12	8	7	13	6	6	3	9	7	8	12	4	9	8	7	11	10	4	7	14	7	4	9	5	5	12	6	8	11	8	8	15	9	4	8	7	4	8	10	10	5	7	14	8	4	6	11	11	6	5					
		0.65%	0.63%	0.40%	0.50%	0.37%	0.37%	0.75%	0.70%	0.85%	0.80%	0.71%	1.18%	0.58%	0.63%	0.34%	0.67%	0.60%	0.67%	0.79%	0.31%	0.59%	0.60%	0.62%	0.79%	0.83%	0.31%	0.59%	1.18%	0.51%	0.31%	0.60%	0.44%	0.42%	0.93%	0.49%	0.77%	0.94%	0.61%	0.67%	1.06%	0.84%	0.46%	0.77%	0.70%	0.41%	0.70%	0.66%	0.81%	0.50%	0.58%	1.04%	0.66%	0.41%	0.48%	0.85%	0.92%	0.40%	0.38%					
