Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Шлиссельбургская городская														
														
Сводная таблица итогов голосования  по федеральному округу														
														
		Сумма	УИК №975	УИК №976	УИК №977	УИК №978	УИК №5312	УИК №5313	УИК №5314					
1	"Число избирателей, внесенных в списки"	15337	2763	2554	2422	2569	2393	1580	1056					
2	"Число бюллетеней, полученных участковыми комиссиями"	38000	2700	2500	2300	2500	13000	9000	6000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9154	1211	931	1060	947	2387	1562	1056					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	141	15	47	40	15	6	18	0					
6	Число погашенных бюллетеней	28705	1474	1522	1200	1538	10607	7420	4944					
7	Число бюллетеней в переносных ящиках для голосования	141	15	47	40	15	6	18	0					
8	Число бюллетеней в стационарных ящиках для голосования	9152	1211	931	1058	947	2387	1562	1056					
9	Число недействительных бюллетеней	65	6	0	14	6	14	11	14					
10	Число действительных бюллетеней	9228	1220	978	1084	956	2379	1569	1042					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	452	38	38	38	38	100	100	100					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	20	7	3	4	3	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	9	1	4	4	0	2	0					
14	Число погашенных открепительных удостоверений	432	31	35	34	35	98	99	100					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	133	24	12	9	16	31	28	13					
		1.43%	1.95%	1.22%	0.81%	1.66%	1.29%	1.77%	1.23%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	368	89	49	60	71	46	35	18					
		3.95%	7.25%	5.01%	5.46%	7.38%	1.92%	2.21%	1.70%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	402	45	43	56	28	85	63	82					
		4.32%	3.67%	4.39%	5.10%	2.91%	3.55%	3.98%	7.76%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	378	90	55	59	61	58	43	12					
		4.06%	7.34%	5.62%	5.37%	6.34%	2.42%	2.72%	1.13%					
22	"5. ""За Русь Святую"""	39	1	7	7	7	8	7	2					
		0.41%	0.08%	0.71%	0.63%	0.72%	0.33%	0.44%	0.18%					
23	"6. ""Объединенная Российская партия ""Русь"""	36	4	1	4	4	11	5	7					
		0.38%	0.32%	0.10%	0.36%	0.41%	0.45%	0.31%	0.66%					
24	"7. ""Новый курс - Автомобильная Россия"""	76	14	31	9	13	4	2	3					
		0.81%	1.14%	3.16%	0.81%	1.35%	0.16%	0.12%	0.28%					
25	"8. ""Народно-республиканская партия России"""	16	0	1	3	0	7	4	1					
		0.17%	0.0%	0.10%	0.27%	0.0%	0.29%	0.25%	0.09%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	5	1	6	5	3	2	1					
		0.24%	0.40%	0.10%	0.54%	0.51%	0.12%	0.12%	0.09%					
27	"10. ""Аграрная партия России"""	181	17	20	30	18	47	20	29					
		1.94%	1.38%	2.04%	2.73%	1.87%	1.96%	1.26%	2.74%					
28	"11. ""Истинные патриоты России"""	10	3	1	2	1	3	0	0					
		0.10%	0.24%	0.10%	0.18%	0.10%	0.12%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	89	11	9	11	12	19	16	11					
		0.95%	0.89%	0.92%	1.00%	1.24%	0.79%	1.01%	1.04%					
30	"13. ""Демократическая партия России"""	21	2	1	2	2	4	5	5					
		0.22%	0.16%	0.10%	0.18%	0.20%	0.16%	0.31%	0.47%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	1	3	2	4	3	3	2					
		0.19%	0.08%	0.30%	0.18%	0.41%	0.12%	0.18%	0.18%					
32	"15. ""Партия СЛОН"""	4	0	0	2	1	0	0	1					
		0.04%	0.0%	0.0%	0.18%	0.10%	0.0%	0.0%	0.09%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1967	125	82	102	89	775	472	322					
		21.16%	10.19%	8.38%	9.28%	9.25%	32.38%	29.87%	30.49%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	24	2	4	3	0	4	3	8					
		0.25%	0.16%	0.40%	0.27%	0.0%	0.16%	0.18%	0.75%					
35	"18. ""ЛДПР"""	876	140	129	137	151	138	95	86					
		9.42%	11.41%	13.19%	12.47%	15.69%	5.76%	6.01%	8.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	225	43	33	52	34	24	26	13					
		2.42%	3.50%	3.37%	4.73%	3.53%	1.00%	1.64%	1.23%					
37	"20. ""Политическая партия ""Единая Россия"""	2729	382	315	342	304	665	421	300					
		29.36%	31.15%	32.20%	31.14%	31.60%	27.78%	26.64%	28.40%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	0	3	1	0	3	2	2					
		0.11%	0.0%	0.30%	0.09%	0.0%	0.12%	0.12%	0.18%					
39	"22. ""Развитие предпринимательства"""	51	16	15	17	3	0	0	0					
		0.54%	1.30%	1.53%	1.54%	0.31%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1314	146	122	124	81	422	301	118					
		14.13%	11.90%	12.47%	11.29%	8.41%	17.63%	19.05%	11.17%					
														
41	Против всех	237	60	41	44	51	19	16	6					
		2.55%	4.89%	4.19%	4.00%	5.30%	0.79%	1.01%	0.56%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
