Выборы Президента Российской Федерации																																						
																																						
"Наименование Избирательной комиссии:    Рязань, Советская"																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720					
1	"Число избирателей, внесенных в список"	62633	2666	2457	2465	1491	2355	2036	2519	2810	1847	2836	2709	971	1741	1527	1068	1303	1371	1987	1561	1313	2329	2484	2917	1284	1937	2675	2681	1744	2915	1413	1221					
2	Число полученных избирательных бюллетеней	55200	2300	2200	2200	1300	2000	1800	2300	2500	1600	2500	2400	900	1400	1300	900	1100	1200	1800	1400	1200	2100	2200	2500	1100	1700	2400	2400	1500	2600	1300	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36558	1423	1386	1410	823	1229	1149	1463	1615	993	1660	1611	553	1226	800	589	733	832	1106	942	807	1241	1523	1826	868	1184	1429	1953	1110	1744	700	630					
5	"Число избирательных бюллетеней, выданных вне помещения"	1503	14	22	36	17	182	25	87	66	81	47	37	14	9	37	14	42	44	57	41	18	38	37	34	33	34	26	236	30	18	62	65					
6	Число погашенных избирательных бюллетеней	17139	863	792	754	460	589	626	750	819	526	793	752	333	165	463	297	325	324	637	417	375	821	640	640	199	482	945	211	360	838	538	405					
7	Число избирательных бюллетеней в переносных ящиках	1503	14	22	36	17	182	25	87	66	81	47	37	14	9	37	14	42	44	57	41	18	38	37	34	33	34	26	236	30	18	62	65					
8	Число бюллетеней в стационарных ящиках для голосования	36490	1423	1386	1395	823	1227	1149	1456	1612	991	1660	1608	553	1222	800	587	729	830	1104	941	805	1239	1523	1821	866	1178	1426	1953	1109	1744	700	630					
9	Число недействительных избирательных бюллетеней	221	10	11	14	5	11	2	6	5	6	11	5	0	7	8	3	5	6	7	9	5	7	4	10	4	5	8	4	4	10	23	6					
10	Число действительных избирательных бюллетеней	37772	1427	1397	1417	835	1398	1172	1537	1673	1066	1696	1640	567	1224	829	598	766	868	1154	973	818	1270	1556	1845	895	1207	1444	2185	1135	1752	739	689					
11	Число полученных открепительных  удостоверений	985	50	30	30	25	30	30	30	40	25	30	30	20	25	25	25	25	25	25	25	25	30	30	60	25	35	30	100	25	30	25	25					
12	Число выданных открепительных удостоверений	540	38	25	23	13	14	11	17	38	17	22	19	8	10	7	9	14	10	12	15	6	16	18	47	11	29	20	31	9	22	5	4					
