Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																				
Дата голосования: 18.09.2016																																																																																																																				
																																																																																																																				
Наименование Избирательной комиссии:    Шахтинская городская																																																																																																																				
																																																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																				
																																																																																																																				
		Сумма	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2582									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	173978	2504	2305	1949	1534	1474	1267	1846	1677	2258	1566	2064	1900	1313	1295	1443	1507	1549	2330	1672	1272	1076	1523	1270	1256	2268	1508	1356	2492	2307	1913	1084	1386	1624	2239	1970	1976	2141	1511	1615	1840	1128	1438	2034	1975	1691	1452	2297	2025	1280	1599	1443	2080	1209	1637	1021	1880	1403	1314	1692	1350	2211	1728	2490	1736	1502	1748	2181	1325	1312	1600	1678	1642	2044	1448	1436	1962	1054	1376	946	1473	1912	1931	972	2651	2840	1684	1860	2622	1413	1255	1995	1089	1588	1144	2001	2692	2053	2014	1982	1852	1489	72	150	454	343									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	142015	2000	1900	1600	1300	1200	1000	1500	1400	1900	1300	1700	1600	1100	1000	1200	1200	1200	1900	1400	1000	900	1200	1000	1000	1800	1200	1100	2000	1900	1600	900	1100	1300	1800	1600	1600	1700	1200	1300	1500	900	1200	1700	1600	1300	1200	1900	1700	1100	1300	1200	1700	1000	1300	800	1500	1200	1100	1400	1100	1800	1400	2000	1400	1200	1400	1800	1100	1100	1300	1400	1300	1700	1200	1200	1600	900	1100	800	1200	1600	1600	800	2100	2200	1400	1600	2100	1200	1000	1700	900	1300	900	1600	2100	1800	1600	1600	1500	1200	72	150	450	343									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	58263	796	746	611	334	386	647	794	576	555	496	737	655	362	448	496	515	516	662	403	391	545	460	351	462	578	548	417	522	1225	465	200	255	238	1257	854	565	864	737	862	587	262	501	672	849	983	406	1227	662	295	288	402	737	520	498	392	386	581	617	634	466	977	677	586	517	531	972	1254	264	452	464	362	453	395	383	431	447	380	227	207	379	265	631	302	966	749	628	914	983	353	450	480	373	456	341	620	745	907	608	625	664	502	72	119	313	343									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6225	67	75	18	45	21	108	135	32	44	43	24	37	22	19	10	51	73	84	36	16	55	16	17	127	29	71	50	103	134	93	151	116	97	55	9	46	6	41	45	56	56	76	80	82	70	174	67	45	41	21	11	18	41	16	181	40	56	39	28	55	73	116	33	17	49	94	121	19	121	97	196	163	98	124	13	57	43	80	14	19	40	148	52	16	20	76	118	75	67	99	29	43	89	50	46	13	25	21	21	17	2	0	0	137	0									
6	Число погашенных избирательных бюллетеней	77527	1137	1079	971	921	793	245	571	792	1301	761	939	908	716	533	694	634	611	1154	961	593	300	724	632	411	1193	581	633	1375	541	1042	549	729	965	488	737	989	830	422	393	857	582	623	948	669	247	620	606	993	764	991	787	945	439	786	227	1074	563	444	738	579	750	607	1381	866	620	334	425	817	527	739	842	684	1207	693	756	1096	477	793	579	802	1295	821	446	1118	1431	696	568	1042	780	451	1191	484	755	509	934	1342	868	971	954	819	696	0	31	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6225	67	75	18	45	21	108	135	32	44	43	24	37	22	19	10	51	73	84	36	16	55	16	17	127	29	71	50	103	134	93	151	116	97	55	9	46	6	41	45	56	56	76	80	82	70	174	67	45	41	21	11	18	41	16	181	40	56	39	28	55	73	116	33	17	49	94	121	19	121	97	196	163	98	124	13	57	43	80	14	19	40	148	52	16	20	76	118	75	67	99	29	43	89	50	46	13	25	21	21	17	2	0	0	137	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	58253	796	746	611	334	386	647	794	576	555	495	737	655	362	448	496	514	516	662	403	391	545	460	351	462	578	548	417	522	1225	465	200	255	238	1257	854	565	864	737	862	587	262	501	672	849	983	406	1227	662	295	288	402	736	520	498	392	386	581	617	634	466	977	677	586	516	530	972	1254	264	452	464	362	453	395	383	431	447	380	227	207	378	265	631	302	965	749	628	914	983	351	450	480	373	456	341	620	745	907	608	625	664	501	72	119	313	343									
9	Число недействительных избирательных бюллетеней	1032	5	11	17	7	15	12	8	10	13	7	10	9	6	7	3	17	16	44	5	9	6	6	8	9	11	8	9	3	9	12	3	6	4	0	9	0	11	3	9	8	0	4	19	23	14	11	13	19	3	14	13	14	5	8	2	7	3	11	13	8	19	8	13	13	9	5	13	4	8	10	5	10	8	9	3	4	5	3	5	6	8	23	5	24	20	11	6	11	9	7	5	8	18	7	17	13	25	21	8	18	5	2	0	26	6									
10	Число действительных избирательных бюллетеней	63446	858	810	612	372	392	743	921	598	586	531	751	683	378	460	503	548	573	702	434	398	594	470	360	580	596	611	458	622	1350	546	348	365	331	1312	854	611	859	775	898	635	318	573	733	908	1039	569	1281	688	333	295	400	740	556	506	571	419	634	645	649	513	1031	785	606	520	570	1061	1362	279	565	551	553	606	485	498	441	500	418	304	216	391	297	756	349	957	749	693	1026	1047	409	542	504	408	527	384	649	745	907	608	638	663	498	70	119	424	337									
