Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Инзенская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156					
1	"Число избирателей, внесенных в список избирателей"	28496	1117	634	1569	1495	1078	1753	1312	949	1589	976	655	1414	894	655	207	564	776	766	288	77	158	242	426	235	137	123	268	106	584	101	279	61	273	290	78	409	1122	700	389	457	405	61	115	926	223	190	269	208	303	339	251					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26000	1010	570	1400	1350	940	1620	1190	850	1430	890	590	1260	780	590	190	510	720	680	270	70	155	220	400	225	135	110	245	95	550	95	265	55	250	280	75	380	1020	640	380	425	385	55	110	850	200	220	250	190	280	310	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17397	563	335	742	837	595	951	846	499	802	590	414	709	393	295	110	330	573	584	217	59	84	172	329	167	77	88	226	91	343	85	123	55	171	190	40	314	935	590	311	228	308	32	86	650	145	150	136	156	244	235	192					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2669	68	57	88	62	117	195	106	62	48	29	29	74	60	61	31	87	68	12	31	8	37	48	30	29	40	22	19	0	99	0	71	0	64	43	35	66	85	50	58	138	55	11	17	112	34	40	62	14	35	34	28					
6	Число погашенных избирательных бюллетеней	5934	379	178	570	451	228	474	238	289	580	271	147	477	327	234	49	93	79	84	22	3	34	0	41	29	18	0	0	4	108	10	71	0	15	47	0	0	0	0	11	59	22	12	7	88	21	30	52	20	1	41	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2669	68	57	88	62	117	195	106	62	48	29	29	74	60	61	31	87	68	12	31	8	37	48	30	29	40	22	19	0	99	0	71	0	64	43	35	66	85	50	58	138	55	11	17	112	34	40	62	14	35	34	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17397	563	335	742	837	595	951	846	499	802	590	414	709	393	295	110	330	573	584	217	59	84	172	329	167	77	88	226	91	343	85	123	55	171	190	40	314	935	590	311	228	308	32	86	650	145	150	136	156	244	235	192					
9	Число недействительных избирательных бюллетеней	440	9	8	13	10	12	14	16	5	13	13	6	9	9	7	1	1	20	12	5	0	0	0	13	1	1	0	0	0	7	0	0	0	3	1	5	32	108	39	3	3	6	0	0	10	4	0	3	6	6	4	2					
10	Число действительных избирательных бюллетеней	19626	622	384	817	889	700	1132	936	556	837	606	437	774	444	349	140	416	621	584	243	67	121	220	346	195	116	110	245	91	435	85	194	55	232	232	70	348	912	601	366	363	357	43	103	752	175	190	195	164	273	265	218					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	958	20	10	22	25	15	27	22	15	17	20	10	23	20	15	10	10	35	30	21	15	15	10	20	10	20	10	10	0	30	5	20	0	30	10	5	18	48	30	17	10	60	10	15	80	10	10	10	10	15	22	16					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	884	20	7	22	25	15	21	22	14	17	20	7	23	16	6	10	8	35	27	21	14	15	4	20	10	20	10	10	0	24	3	11	0	30	8	5	18	48	30	17	10	60	3	15	80	8	10	10	5	15	22	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	357	15	7	10	14	12	63	10	14	9	9	9	34	22	7	2	5	10	11	2	4	4	0	1	1	2	2	3	1	3	0	4	1	4	1	2	1	8	5	0	8	2	1	3	16	2	2	2	3	2	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	74	0	3	0	0	0	6	0	1	0	0	3	0	4	9	0	2	0	3	0	1	0	6	0	0	0	0	0	0	6	2	9	0	0	2	0	0	0	0	0	0	0	7	0	0	2	0	0	5	0	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	2	0	1	1	0	1	1	1	0	0	0	1	0	0	0	2	1	0	9	7	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	2	5	2	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2090	71	41	97	113	101	133	116	79	90	79	54	95	64	32	24	57	66	87	30	5	13	8	28	14	12	3	26	3	57	1	13	10	23	24	3	24	41	37	26	33	24	8	1	76	48	14	19	13	24	22	8					
		10.42%	11.25%	10.46%	11.69%	12.57%	14.19%	11.61%	12.18%	14.08%	10.59%	12.76%	12.19%	12.13%	14.13%	8.99%	17.02%	13.67%	10.30%	14.60%	12.10%	7.46%	10.74%	3.64%	7.80%	7.14%	10.26%	2.73%	10.61%	3.30%	12.90%	1.18%	6.70%	18.18%	9.79%	10.30%	4.00%	6.32%	4.02%	5.78%	7.05%	9.02%	6.61%	18.60%	0.97%	9.97%	26.82%	7.37%	9.60%	7.65%	8.60%	8.18%	3.64%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1874	64	54	98	95	66	122	112	48	77	56	58	88	53	43	12	35	56	121	15	4	26	6	24	13	11	18	18	2	58	2	10	4	9	13	2	9	30	29	22	28	40	3	7	88	28	21	12	13	13	27	11					
		9.34%	10.14%	13.78%	11.81%	10.57%	9.27%	10.65%	11.76%	8.56%	9.06%	9.05%	13.09%	11.24%	11.70%	12.08%	8.51%	8.39%	8.74%	20.30%	6.05%	5.97%	21.49%	2.73%	6.69%	6.63%	9.40%	16.36%	7.35%	2.20%	13.12%	2.35%	5.15%	7.27%	3.83%	5.58%	2.67%	2.37%	2.94%	4.53%	5.96%	7.65%	11.02%	6.98%	6.80%	11.55%	15.64%	11.05%	6.06%	7.65%	4.66%	10.04%	5.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	149	2	2	7	13	3	8	37	3	3	4	2	4	3	6	1	0	3	11	1	0	4	1	0	0	3	1	0	0	0	0	0	0	1	1	0	1	4	2	1	2	4	0	0	4	0	1	0	2	1	2	1					
		0.74%	0.32%	0.51%	0.84%	1.45%	0.42%	0.70%	3.89%	0.53%	0.35%	0.65%	0.45%	0.51%	0.66%	1.69%	0.71%	0.00%	0.47%	1.85%	0.40%	0.00%	3.31%	0.45%	0.00%	0.00%	2.56%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.43%	0.00%	0.26%	0.39%	0.31%	0.27%	0.55%	1.10%	0.00%	0.00%	0.52%	0.00%	0.53%	0.00%	1.18%	0.36%	0.74%	0.45%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3042	105	53	132	211	172	196	173	90	177	112	70	151	79	55	15	50	93	104	30	6	22	14	53	41	8	8	24	12	94	20	23	7	50	45	1	10	51	34	30	47	40	4	14	88	32	22	48	34	20	29	43					
		15.16%	16.64%	13.52%	15.90%	23.47%	24.16%	17.10%	18.17%	16.04%	20.82%	18.09%	15.80%	19.28%	17.44%	15.45%	10.64%	11.99%	14.51%	17.45%	12.10%	8.96%	18.18%	6.36%	14.76%	20.92%	6.84%	7.27%	9.80%	13.19%	21.27%	23.53%	11.86%	12.73%	21.28%	19.31%	1.33%	2.63%	5.00%	5.31%	8.13%	12.84%	11.02%	9.30%	13.59%	11.55%	17.88%	11.58%	24.24%	20.00%	7.17%	10.78%	19.55%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	162	10	5	10	10	5	14	13	10	6	6	3	13	3	3	3	2	8	5	2	0	1	0	1	1	1	0	0	0	5	0	0	1	0	2	0	0	4	3	3	3	0	0	0	3	0	0	1	0	1	0	1					
		0.81%	1.58%	1.28%	1.20%	1.11%	0.70%	1.22%	1.37%	1.78%	0.71%	0.97%	0.68%	1.66%	0.66%	0.84%	2.13%	0.48%	1.25%	0.84%	0.81%	0.00%	0.83%	0.00%	0.28%	0.51%	0.85%	0.00%	0.00%	0.00%	1.13%	0.00%	0.00%	1.82%	0.00%	0.86%	0.00%	0.00%	0.39%	0.47%	0.81%	0.82%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.51%	0.00%	0.36%	0.00%	0.45%					
