Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Инзенская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216					
1	"Число избирателей, внесенных в списки избирателей"	30152	1152	617	1567	1287	1077	607	1563	1343	1623	1682	957	1456	894	653	238	680	791	789	308	94	183	272	449	254	190	153	312	151	638	125	315	76	337	320	97	440	1118	698	410	198	327	522	70	132	1003	223	257	278	231	347	363	285					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27580	1060	550	1400	1170	980	540	1390	1220	1470	1500	860	1280	800	510	210	630	740	740	290	90	180	250	420	240	180	150	290	140	610	120	300	70	320	290	90	410	1030	650	370	190	300	500	80	140	930	210	240	310	220	330	330	260					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19590	690	359	964	813	694	358	858	826	1022	1041	615	859	501	330	157	381	503	565	229	81	107	194	327	198	107	126	252	130	471	109	206	70	196	262	44	305	825	529	293	82	236	383	53	107	669	148	155	236	179	252	266	227					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2339	72	56	121	49	61	26	210	76	39	52	51	59	40	50	39	46	71	11	25	5	35	37	25	23	35	24	28	0	62	0	66	0	64	28	37	41	57	42	47	78	24	55	17	17	101	34	45	42	16	46	29	25					
6	Число погашенных избирательных бюллетеней	5651	298	135	315	308	225	156	322	318	409	407	194	362	259	130	14	203	166	164	36	4	38	19	68	19	38	0	10	10	77	11	28	0	60	0	9	64	148	79	30	30	40	62	10	16	160	28	40	32	25	32	35	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2339	72	56	121	49	61	26	210	76	39	52	51	59	40	50	39	46	71	11	25	5	35	37	25	23	35	24	28	0	62	0	66	0	64	28	37	41	57	42	47	78	24	55	17	17	101	34	45	42	16	46	29	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19590	690	359	964	813	694	358	858	826	1022	1041	615	859	501	330	157	381	503	565	229	81	107	194	327	198	107	126	252	130	471	109	206	70	196	262	44	305	825	529	293	82	236	383	53	107	669	148	155	236	179	252	266	227					
9	Число недействительных избирательных бюллетеней	155	9	5	8	7	12	9	5	4	10	11	2	3	2	4	0	2	5	8	5	0	2	0	2	1	0	0	0	0	3	1	0	2	2	0	0	3	8	0	0	1	1	0	2	0	8	2	0	2	0	1	1	2					
10	Число действительных избирательных бюллетеней	21774	753	410	1077	855	743	375	1063	898	1051	1082	664	915	539	376	196	425	569	568	249	86	140	231	350	220	142	150	280	130	530	108	272	68	258	290	81	343	874	571	340	159	259	438	68	124	762	180	200	276	195	297	294	250					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	780	26	20	20	24	25	4	25	27	25	15	12	27	20	12	10	15	25	20	20	10	10	10	15	10	10	10	10	0	35	5	15	1	10	10	2	12	25	18	10	10	10	25	5	20	30	10	15	10	10	10	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	717	26	12	18	22	24	3	25	27	25	14	12	25	20	12	8	11	23	17	20	5	10	10	11	10	10	10	10	0	35	5	13	1	8	10	2	12	22	18	10	10	10	25	5	15	30	4	14	10	10	8	15	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	357	11	12	19	9	10	2	67	17	18	11	11	63	14	7	8	4	8	3	6	2	2	3	1	1	1	0	1	2	2	0	1	3	3	3	4	1	2	2	3	0	2	3	1	0	5	1	1	2	1	3	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	63	0	8	2	2	1	1	0	0	0	1	0	2	0	0	2	4	2	3	0	5	0	0	4	0	0	0	0	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	5	0	6	1	0	0	2	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	2	2	0	0	0	0	2	3	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	1.Политическая партия «Аграрная партия России»	310	8	12	14	14	18	6	25	18	11	16	8	12	5	0	0	5	7	11	5	1	4	2	3	1	1	0	1	0	10	1	1	0	7	11	3	1	8	2	1	1	1	8	1	0	13	1	11	5	3	2	5	6					
		1.41%	1.05%	2.89%	1.29%	1.62%	2.38%	1.56%	2.34%	1.99%	1.04%	1.46%	1.20%	1.31%	0.92%	0.00%	0.00%	1.17%	1.22%	1.91%	1.97%	1.16%	2.82%	0.87%	0.85%	0.45%	0.70%	0.00%	0.36%	0.00%	1.88%	0.92%	0.37%	0.00%	2.69%	3.79%	3.70%	0.29%	0.91%	0.35%	0.29%	0.63%	0.38%	1.83%	1.43%	0.00%	1.69%	0.55%	5.50%	1.80%	1.54%	0.67%	1.69%	2.38%					
19	2.Всероссийская политическая партия «Гражданская Сила»	74	3	2	6	4	6	3	7	4	7	4	4	5	3	0	0	0	1	2	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	2	1	0					
		0.34%	0.39%	0.48%	0.55%	0.46%	0.79%	0.78%	0.66%	0.44%	0.66%	0.37%	0.60%	0.54%	0.55%	0.00%	0.00%	0.00%	0.17%	0.35%	0.00%	0.00%	0.70%	0.00%	0.28%	0.45%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.29%	0.00%	0.00%	0.23%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.67%	0.34%	0.00%					
20	3.Политическая партия «Демократическая партия России»	14	0	0	0	1	2	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.06%	0.00%	0.00%	0.00%	0.12%	0.26%	0.00%	0.09%	0.22%	0.09%	0.09%	0.00%	0.11%	0.00%	0.26%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1558	52	39	80	96	113	51	83	90	76	73	55	73	47	20	3	21	27	32	5	2	13	4	38	25	12	5	7	5	36	13	10	4	39	15	0	10	32	30	12	5	19	31	3	2	31	9	16	31	10	5	18	30					
		7.10%	6.82%	9.40%	7.37%	11.14%	14.97%	13.28%	7.77%	9.98%	7.16%	6.68%	8.26%	7.95%	8.69%	5.26%	1.53%	4.92%	4.70%	5.56%	1.97%	2.33%	9.15%	1.73%	10.80%	11.31%	8.45%	3.33%	2.50%	3.85%	6.75%	11.93%	3.68%	5.71%	15.00%	5.17%	0.00%	2.89%	3.63%	5.25%	3.53%	3.13%	7.31%	7.08%	4.29%	1.61%	4.03%	4.95%	8.00%	11.15%	5.13%	1.68%	6.10%	11.90%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	69	1	1	8	4	2	1	6	2	6	2	3	6	4	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	1	0	0	1	4	0	0	2	0	1	0	0	0	2	0					
		0.31%	0.13%	0.24%	0.74%	0.46%	0.26%	0.26%	0.56%	0.22%	0.57%	0.18%	0.45%	0.65%	0.74%	0.26%	0.00%	0.00%	0.35%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	0.58%	0.00%	0.18%	0.00%	0.00%	0.38%	0.91%	0.00%	0.00%	0.26%	0.00%	0.50%	0.00%	0.00%	0.00%	0.68%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	22	1	1	1	0	0	1	0	2	1	1	3	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0					
		0.10%	0.13%	0.24%	0.09%	0.00%	0.00%	0.26%	0.00%	0.22%	0.09%	0.09%	0.45%	0.11%	0.18%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.36%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.68%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1152	37	20	47	56	40	24	146	58	55	61	34	58	29	16	4	14	39	68	14	4	6	2	13	3	0	6	13	0	29	3	8	0	3	16	4	11	23	16	11	7	14	17	4	5	32	7	16	9	20	18	7	5					
		5.25%	4.86%	4.82%	4.33%	6.50%	5.30%	6.25%	13.67%	6.43%	5.18%	5.58%	5.11%	6.32%	5.36%	4.21%	2.04%	3.28%	6.79%	11.81%	5.51%	4.65%	4.23%	0.87%	3.69%	1.36%	0.00%	4.00%	4.64%	0.00%	5.44%	2.75%	2.94%	0.00%	1.15%	5.52%	4.94%	3.18%	2.61%	2.80%	3.24%	4.38%	5.38%	3.88%	5.71%	4.03%	4.16%	3.85%	8.00%	3.24%	10.26%	6.04%	2.37%	1.98%					
