Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
"Наименование Избирательной комиссии:    Ульяновск, Засвияжская N1"																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724	УИК №3725	УИК №3726	УИК №3727	УИК №3728	УИК №3729	УИК №3730	УИК №3731	УИК №3732	УИК №3733	УИК №3734	УИК №3735	УИК №3736	УИК №3737	УИК №3738	УИК №3739	УИК №3740	УИК №3741	УИК №3742	УИК №3743	УИК №3744	УИК №3745	УИК №3746	УИК №3747									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	78860	1651	1612	1562	1492	1160	1483	1459	2000	1908	2038	2078	1733	1378	1593	1509	1074	1925	2055	1524	1432	2336	1656	1596	1280	1582	1582	1630	1564	2055	2413	1794	1429	2270	1774	1503	2239	2030	1885	1932	1941	2137	2233	1451	1396	1283	523	680									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74200	1550	1450	1500	1400	1100	1400	1350	1900	1800	1950	1950	1650	1300	1500	1400	1000	1800	1950	1450	1350	2200	1600	1500	1200	1500	1500	1500	1450	1900	2300	1700	1350	2150	1700	1400	2100	1850	1750	1850	1750	2000	2100	1350	1300	1200	450	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31333	699	815	778	734	498	687	570	744	883	888	948	741	648	651	642	403	833	783	663	615	984	619	676	389	512	608	679	538	771	919	687	528	801	598	601	626	647	718	780	567	759	875	578	529	551	216	354									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1141	58	52	8	11	9	20	7	13	22	26	17	14	15	26	22	7	6	44	13	21	14	17	19	8	6	18	11	12	20	34	13	12	12	16	13	7	93	22	4	5	24	4	4	10	7	5	320									
6	Число погашенных избирательных бюллетеней	41726	793	583	714	655	593	693	773	1143	895	1036	985	895	637	823	736	590	961	1123	774	714	1202	964	805	803	982	874	810	900	1109	1347	1000	810	1337	1086	786	1467	1110	1010	1066	1178	1217	1221	768	761	642	229	126									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1141	58	52	8	11	9	20	7	13	22	26	17	14	15	26	22	7	6	44	13	21	14	17	19	8	6	18	11	12	20	34	13	12	12	16	13	7	93	22	4	5	24	4	4	10	7	5	320									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31293	699	815	778	734	498	687	570	744	883	888	948	740	648	649	641	403	833	782	663	615	984	619	657	389	510	608	679	538	770	919	687	528	801	598	601	626	647	713	780	567	759	873	572	529	551	216	354									
9	Число недействительных избирательных бюллетеней	701	24	12	20	16	14	8	7	10	16	16	26	13	16	20	23	11	18	21	17	10	4	9	15	10	11	16	10	15	21	27	12	6	12	18	19	10	20	18	20	15	19	7	5	17	16	6	25									
10	Число действительных избирательных бюллетеней	31733	733	855	766	729	493	699	570	747	889	898	939	741	647	655	640	399	821	805	659	626	994	627	661	387	505	610	680	535	769	926	688	534	801	596	595	623	720	717	764	557	764	870	571	522	542	215	649									
