Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Сургутская городская																																																																																													
																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																													
																																																																																													
		Сумма	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209					
1	"Число избирателей, внесенных в списки"	212513	614	1849	1137	2358	2814	2120	2376	2540	1000	1045	1619	1025	2908	3044	2795	2761	2593	2855	2304	2743	2996	2592	1007	2768	2902	2867	2061	1406	2677	2914	2790	2484	2452	2795	1757	2721	2516	3044	2051	2897	3010	2991	3010	2886	2719	2277	2829	2789	2297	2782	1873	2262	1609	2725	2510	2479	2868	2635	2385	2211	2925	2564	2547	2827	3010	2879	2172	2912	2988	2393	2984	2785	2759	2909	2875	2343	3021	2922	2895	2780	2956	2385	2734	3005	1625	974					
2	"Число бюллетеней, полученных участковыми комиссиями"	192720	570	1680	1040	2110	2600	1930	2150	2300	900	950	1450	950	2650	2700	2550	2500	2350	2650	2100	2500	2750	2400	950	2510	2580	2650	1900	1300	2450	2620	2500	2270	2250	2520	1580	2430	2330	2710	1820	2660	2750	2730	2670	2610	2480	2060	2560	2510	2080	2510	1690	2050	1450	2470	2300	2200	2600	2420	2180	2020	2670	2290	2340	2570	2710	2620	1980	2640	2720	2170	2650	2550	2500	2640	2620	2130	2720	2610	2620	2520	2670	2170	2430	2680	1490	860					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	95207	206	766	470	1117	1191	831	1178	1227	396	462	614	292	1465	1317	1419	1282	1125	1162	908	1226	1265	1189	496	1115	932	1406	1025	682	1427	1362	1230	1020	1125	1252	800	1198	1215	1390	916	1413	1515	1483	1330	1340	1186	1037	1169	1287	1030	1276	877	1060	548	1133	1241	1186	1285	1154	1011	981	1462	1157	1130	1272	1341	1444	1118	1485	1528	885	1294	1261	1272	1371	1237	1137	1265	1261	1403	1244	1344	1043	1205	952	526	329					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	734	33	2	0	11	10	5	3	8	0	2	3	2	4	1	5	12	8	6	11	8	3	0	1	14	3	17	4	4	6	6	3	8	3	6	8	7	4	10	4	13	6	6	3	12	8	4	5	1	2	1	4	3	5	5	9	11	82	6	14	9	2	2	14	16	10	16	15	14	11	7	4	15	14	9	1	5	5	7	6	5	1	5	12	22	2	60					
6	Число погашенных бюллетеней	96776	331	912	570	982	1399	1094	969	1065	504	486	833	656	1181	1382	1126	1206	1217	1482	1181	1266	1482	1211	453	1381	1645	1227	871	613	1017	1252	1267	1242	1122	1262	771	1225	1111	1310	900	1234	1229	1241	1337	1258	1286	1019	1386	1222	1048	1233	809	987	897	1332	1050	1003	1233	1260	1155	1030	1206	1131	1196	1282	1359	1160	847	1141	1181	1278	1352	1274	1214	1260	1382	988	1450	1342	1211	1271	1324	1122	1213	1706	962	471					
7	Число бюллетеней в переносных ящиках для голосования	733	33	2	0	10	10	5	3	8	0	2	3	2	4	1	5	12	8	6	11	8	3	0	1	14	3	17	4	4	6	6	3	8	3	6	8	7	4	10	4	13	6	6	3	12	8	4	5	1	2	1	4	3	5	5	9	11	82	6	14	9	2	2	14	16	10	16	15	14	11	7	4	15	14	9	1	5	5	7	6	5	1	5	12	22	2	60					
8	Число бюллетеней в стационарных ящиках для голосования	95164	206	766	470	1116	1190	831	1176	1227	396	462	614	292	1465	1316	1419	1282	1125	1162	908	1226	1265	1188	496	1115	932	1406	1025	682	1427	1362	1230	1019	1124	1252	800	1191	1215	1389	916	1413	1514	1481	1330	1340	1184	1037	1169	1287	1029	1276	876	1057	548	1133	1241	1186	1285	1153	1011	980	1460	1157	1129	1272	1338	1443	1118	1484	1528	885	1294	1260	1272	1371	1237	1137	1265	1261	1398	1244	1343	1043	1205	952	526	329					
9	Число недействительных бюллетеней	726	5	19	8	6	9	9	4	22	8	3	4	0	3	11	9	0	10	11	6	11	10	8	7	4	5	14	7	3	10	5	5	8	7	9	2	0	6	5	0	4	12	15	10	13	4	6	14	6	9	7	3	3	6	12	0	5	7	13	5	5	10	16	12	11	15	13	8	20	17	7	13	8	6	14	15	16	5	14	7	9	7	7	28	9	6	1					
10	Число действительных бюллетеней	95171	234	749	462	1120	1191	827	1175	1213	388	461	613	294	1466	1306	1415	1294	1123	1157	913	1223	1258	1180	490	1125	930	1409	1022	683	1423	1363	1228	1019	1120	1249	806	1198	1213	1394	920	1422	1508	1472	1323	1339	1188	1035	1160	1282	1022	1270	877	1057	547	1126	1250	1192	1360	1146	1020	984	1452	1143	1131	1277	1333	1446	1125	1478	1522	885	1285	1267	1280	1366	1223	1126	1265	1254	1397	1240	1337	1041	1189	965	522	388					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2580	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1058	1	2	2	7	13	4	7	7	3	2	2	4	11	8	10	9	13	18	7	14	25	10	5	10	13	20	11	7	10	18	14	14	10	13	18	14	16	9	6	21	17	18	14	13	14	13	14	22	10	17	13	9	4	20	20	13	20	16	11	16	13	14	10	14	17	15	16	11	23	11	14	20	15	15	12	8	17	17	15	13	12	15	23	9	5	2					
