Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Киренская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №944	УИК №945	УИК №946									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16073	66	26	723	296	307	285	1113	1531	1012	314	1087	846	352	138	1481	1566	118	541	88	68	416	1224	840	142	40	236	108	55	75	391	336	38	122	92									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16555	72	30	742	335	326	293	1132	1566	1030	304	1095	814	369	146	1493	1594	120	551	91	72	478	1264	882	149	41	253	113	65	106	422	333	49	127	98									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6610	51	19	276	169	155	125	505	671	389	165	432	348	135	61	689	548	58	239	54	36	165	425	221	53	33	118	40	20	40	123	124	14	74	35									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	464	0	0	45	25	7	22	17	20	22	2	29	58	16	8	11	11	3	22	5	2	15	40	23	7	0	4	4	8	1	30	7	0	0	0									
6	Число погашенных избирательных бюллетеней	9463	21	11	421	141	164	146	610	875	619	137	634	408	218	77	793	1035	59	290	32	34	298	799	638	89	8	131	69	37	65	269	184	35	53	63									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	482	0	0	45	25	7	22	17	20	22	2	29	58	16	8	11	11	3	22	5	2	15	40	23	7	0	4	4	8	1	30	25	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6608	51	19	276	169	155	125	505	671	389	165	432	348	135	61	687	548	58	239	54	36	165	425	221	53	33	118	40	20	40	123	124	14	74	35									
9	Число недействительных избирательных бюллетеней	160	0	0	4	3	1	2	10	18	9	1	11	10	8	2	16	22	2	8	1	0	13	7	3	2	0	1	0	0	3	1	2	0	0	0									
10	Число действительных избирательных бюллетеней	6930	51	19	317	191	161	145	512	673	402	166	450	396	143	67	682	537	59	253	58	38	167	458	241	58	33	121	44	28	38	152	147	14	74	35									
