Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																			
Дата голосования: 04.12.2011																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Абзелиловская																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819					
1	"Число избирателей, внесенных в список избирателей"	30240	348	446	130	289	194	75	969	227	425	370	291	283	1520	238	1225	77	1313	1088	43	246	1059	196	187	265	310	183	537	212	129	689	121	259	291	185	644	258	142	209	96	426	1607	400	175	325	94	95	828	316	190	632	300	142	270	264	196	843	288	86	273	211	756	131	244	280	440	384	399	414	802	415	144	259	391	232	343	876					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31345	350	460	130	310	220	66	1060	230	444	370	310	310	1600	240	1300	75	1300	1100	45	250	1100	200	190	270	330	190	660	210	125	760	120	270	300	195	690	265	150	210	100	425	1600	415	180	325	100	95	830	330	190	580	330	145	275	275	200	880	340	100	280	235	760	135	250	310	425	415	400	465	810	445	150	260	395	230	360	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25356	308	381	129	235	166	60	695	202	357	329	274	234	1049	217	782	68	992	719	43	213	854	153	181	235	278	160	453	190	111	515	115	227	254	145	579	241	142	196	89	401	1356	388	160	303	91	95	688	308	183	424	271	129	240	243	166	748	237	80	249	193	508	122	219	235	409	370	370	369	754	388	144	236	378	225	321	784					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1082	6	6	0	14	12	1	37	8	19	10	9	21	86	15	15	7	34	35	0	11	57	13	6	4	24	10	34	12	4	28	4	17	9	8	23	11	0	2	6	11	46	0	9	12	3	0	11	8	7	38	18	10	0	10	1	12	16	3	10	10	36	7	16	21	10	14	7	33	28	10	0	17	0	0	3	27					
6	Число погашенных избирательных бюллетеней	4907	36	73	1	61	42	5	328	20	68	31	27	55	465	8	503	0	274	346	2	26	189	34	3	31	28	20	173	8	10	217	1	26	37	42	88	13	8	12	5	13	198	27	11	10	6	0	131	14	0	118	41	6	35	22	33	120	87	17	21	32	216	6	15	54	6	31	23	63	28	47	6	7	17	5	36	89					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1082	6	6	0	14	12	1	37	8	19	10	9	21	86	15	15	7	34	35	0	11	57	13	6	4	24	10	34	12	4	28	4	17	9	8	23	11	0	2	6	11	46	0	9	12	3	0	11	8	7	38	18	10	0	10	1	12	16	3	10	10	36	7	16	21	10	14	7	33	28	10	0	17	0	0	3	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25355	308	381	129	235	166	60	695	202	357	329	274	234	1049	217	782	68	992	718	43	213	854	153	181	235	278	160	453	190	111	515	115	227	254	145	579	241	142	196	89	401	1356	388	160	303	91	95	688	308	183	424	271	129	240	243	166	748	237	80	249	193	508	122	219	235	409	370	370	369	754	388	144	236	378	225	321	784					
9	Число недействительных избирательных бюллетеней	573	6	7	0	9	0	1	17	19	6	2	0	0	29	2	5	1	25	18	3	2	14	1	4	6	1	2	1	2	0	9	0	8	6	3	7	5	4	1	2	11	189	3	2	5	6	0	13	14	0	6	0	0	3	5	1	0	4	0	5	3	9	0	2	5	7	7	7	3	6	6	3	1	3	0	2	14					
10	Число действительных избирательных бюллетеней	25864	308	380	129	240	178	60	715	191	370	337	283	255	1106	230	792	74	1001	735	40	222	897	165	183	233	301	168	486	200	115	534	119	236	257	150	595	247	138	197	93	401	1213	385	167	310	88	95	686	302	190	456	289	139	237	248	166	760	249	83	254	200	535	129	233	251	412	377	370	399	776	392	141	252	375	225	322	797					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	278	2	4	1	1	1	1	10	0	8	2	2	2	7	2	11	2	10	12	1	4	13	0	0	0	8	0	4	4	1	10	1	2	2	4	11	4	1	0	1	7	10	1	2	6	2	0	7	1	2	2	2	1	1	1	1	20	8	5	6	0	3	4	3	2	2	1	0	2	5	1	1	4	0	1	0	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	278	2	4	1	1	1	1	10	0	8	2	2	2	7	2	11	2	10	12	1	4	13	0	0	0	8	0	4	4	1	10	1	2	2	4	11	4	1	0	1	7	10	1	2	6	2	0	7	1	2	2	2	1	1	1	1	20	8	5	6	0	3	4	3	2	2	1	0	2	5	1	1	4	0	1	0	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	220	0	1	0	0	1	0	3	2	2	0	1	0	14	0	3	6	7	10	0	1	6	0	1	2	0	0	1	1	3	7	1	0	1	3	2	0	0	2	0	1	6	2	0	1	2	1	3	0	2	39	41	1	0	3	1	13	0	1	0	5	3	0	0	0	0	0	3	0	2	0	1	1	0	2	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	1	0	1	1	0	0	0	0	0	2	0	3	0	2	0	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2528	24	53	20	17	15	6	97	6	35	31	43	20	149	31	104	5	142	114	2	11	90	10	24	18	23	9	50	18	11	45	3	7	20	20	41	17	12	18	4	42	158	29	18	48	16	4	75	35	6	53	37	12	16	19	4	43	26	8	20	14	49	7	20	30	41	8	42	34	43	9	9	24	26	18	39	81					
		9.56%	7.64%	13.70%	15.50%	6.83%	8.43%	9.84%	13.25%	2.86%	9.31%	9.14%	15.19%	7.84%	13.13%	13.36%	13.05%	6.67%	13.84%	15.14%	4.65%	4.91%	9.88%	6.02%	12.83%	7.53%	7.62%	5.29%	10.27%	8.91%	9.57%	8.29%	2.52%	2.87%	7.60%	13.07%	6.81%	6.75%	8.45%	9.09%	4.21%	10.19%	11.27%	7.47%	10.65%	15.24%	17.02%	4.21%	10.73%	11.08%	3.16%	11.47%	12.80%	8.63%	6.67%	7.51%	2.40%	5.66%	10.28%	9.64%	7.72%	6.90%	9.01%	5.43%	8.51%	11.72%	9.79%	2.08%	11.14%	8.46%	5.50%	2.26%	6.25%	9.49%	6.88%	8.00%	12.04%	9.99%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	972	8	15	2	20	15	2	34	3	14	17	7	17	42	3	25	0	48	39	1	2	28	6	1	5	2	4	2	2	6	35	1	0	13	7	20	5	13	2	0	9	107	9	9	17	7	5	12	6	4	36	16	2	7	4	7	14	8	1	13	7	27	6	4	10	14	4	25	21	18	5	0	6	9	9	19	29					
