Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																				
Дата голосования: 02.12.2007																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Абзелиловская																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820					
1	"Число избирателей, внесенных в списки избирателей"	27145	296	387	116	291	197	64	939	213	416	378	262	287	1342	208	1011	65	1047	1047	71	227	654	168	176	211	285	147	257	564	196	149	605	121	268	233	174	560	230	128	178	476	803	733	349	151	307	559	296	102	85	708	280	186	121	242	236	173	716	280	76	239	159	562	119	225	249	396	359	351	421	780	396	134	208	323	178	282	717					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26983	292	418	115	285	198	64	897	213	422	368	260	292	1310	208	985	64	1010	1005	71	230	670	174	176	211	288	151	260	568	205	140	604	121	258	229	167	560	225	128	180	470	784	725	333	143	307	552	298	102	89	717	272	186	123	241	234	174	707	284	77	233	159	615	120	221	243	396	356	347	422	770	396	134	206	325	177	296	727					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25391	277	382	115	268	184	63	885	195	400	342	253	279	1177	201	903	58	915	843	71	219	641	155	171	206	271	142	250	527	179	131	570	115	251	217	165	548	225	128	175	461	722	658	330	127	289	523	285	102	85	703	269	182	116	240	233	164	689	268	76	221	151	525	117	212	226	384	348	338	379	735	396	134	198	323	177	274	634					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	655	3	5	0	15	13	1	12	6	11	11	5	6	27	7	8	6	35	14	0	2	13	13	5	2	14	5	4	24	15	5	23	4	7	12	2	12	0	0	0	3	25	17	0	8	3	22	11	0	0	5	3	4	5	0	1	6	6	12	0	7	6	37	2	6	12	3	8	3	30	27	0	0	8	0	0	8	20					
6	Число погашенных избирательных бюллетеней	937	12	31	0	2	1	0	0	12	11	15	2	7	106	0	74	0	60	148	0	9	16	6	0	3	3	4	6	17	11	4	11	2	0	0	0	0	0	0	5	6	37	50	3	8	15	7	2	0	4	9	0	0	2	1	0	4	12	4	1	5	2	53	1	3	5	9	0	6	13	8	0	0	0	2	0	14	73					
7	Число избирательных бюллетеней в переносных ящиках для голосования	655	3	5	0	15	13	1	12	6	11	11	5	6	27	7	8	6	35	14	0	2	13	13	5	2	14	5	4	24	15	5	23	4	7	12	2	12	0	0	0	3	25	17	0	8	3	22	11	0	0	5	3	4	5	0	1	6	6	12	0	7	6	37	2	6	12	3	8	3	30	27	0	0	8	0	0	8	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25389	277	382	115	268	184	63	885	195	400	342	253	279	1177	201	903	58	915	841	71	219	641	155	171	206	271	142	250	527	179	131	570	115	251	217	165	548	225	128	175	461	722	658	330	127	289	523	285	102	85	703	269	182	116	240	233	164	689	268	76	221	151	525	117	212	226	384	348	338	379	735	396	134	198	323	177	274	634					
9	Число недействительных избирательных бюллетеней	225	1	0	0	11	0	0	7	0	4	0	3	0	12	1	6	1	6	15	0	2	1	0	2	3	0	0	0	4	1	3	1	7	1	11	0	1	1	0	2	2	0	0	0	14	6	0	0	0	2	1	1	1	0	2	3	6	0	4	0	4	4	11	0	5	0	7	2	0	16	9	2	5	0	1	2	2	6					
10	Число действительных избирательных бюллетеней	25819	279	387	115	272	197	64	890	201	407	353	255	285	1192	207	905	63	944	840	71	219	653	168	174	205	285	147	254	547	193	133	592	112	257	218	167	559	224	128	173	462	747	675	330	121	286	545	296	102	83	707	271	185	121	238	231	164	695	276	76	224	153	551	119	213	238	380	354	341	393	753	394	129	206	322	175	280	648					
