Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Тарумовская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22285	1039	182	264	1346	497	486	2342	1701	809	1965	1386	485	826	329	869	979	1167	2400	2176	1037									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22000	1000	182	250	1320	485	480	2485	1620	800	1970	1400	480	790	298	850	950	1160	2330	2150	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17506	730	87	212	1020	213	185	2171	1589	759	1759	1354	122	329	155	364	255	752	2310	2144	996									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	157	15	10	0	30	10	10	0	8	1	41	26	0	0	0	0	0	0	0	6	0									
6	Число погашенных избирательных бюллетеней	4337	255	85	38	270	262	285	314	23	40	170	20	358	461	143	486	695	408	20	0	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	157	15	10	0	30	10	10	0	8	1	41	26	0	0	0	0	0	0	0	6	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17506	730	87	212	1020	213	185	2171	1589	759	1759	1354	122	329	155	364	255	752	2310	2144	996									
9	Число недействительных избирательных бюллетеней	101	7	3	2	31	2	8	0	0	0	10	0	6	6	1	0	18	0	0	4	3									
10	Число действительных избирательных бюллетеней	17562	738	94	210	1019	221	187	2171	1597	760	1790	1380	116	323	154	364	237	752	2310	2146	993									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	101	5	2	3	4	4	4	6	6	5	8	4	4	4	3	5	6	6	9	9	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	2	0	0	0	0	1	0	0	4	0	1	0	0	0	1	0	0	3	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	101	5	2	3	4	4	4	6	6	5	8	4	4	4	3	5	6	6	9	9	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	472	0	3	9	11	9	8	109	80	38	0	0	4	7	2	11	11	1	115	54	0									
		2.67%	0.00%	3.09%	4.25%	1.05%	4.04%	4.10%	5.02%	5.01%	5.00%	0.00%	0.00%	3.28%	2.13%	1.29%	3.02%	4.31%	0.13%	4.98%	2.51%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	184	0	8	0	23	5	11	0	0	0	0	73	0	20	0	0	13	2	0	29	0									
		1.04%	0.00%	8.25%	0.00%	2.19%	2.24%	5.64%	0.00%	0.00%	0.00%	0.00%	5.29%	0.00%	6.08%	0.00%	0.00%	5.10%	0.27%	0.00%	1.35%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	42	0	0	0	9	5	4	0	0	0	0	0	0	2	0	3	5	1	0	13	0									
		0.24%	0.00%	0.00%	0.00%	0.86%	2.24%	2.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.82%	1.96%	0.13%	0.00%	0.60%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15569	707	29	201	723	130	112	2062	1517	722	1750	1040	90	258	117	278	151	704	2195	1864	919									
		88.14%	94.90%	29.90%	94.81%	68.86%	58.30%	57.44%	94.98%	94.99%	95.00%	97.22%	75.36%	73.77%	78.42%	75.48%	76.37%	59.22%	93.62%	95.02%	86.70%	92.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	84	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	5	0	0	4	71									
		0.48%	0.00%	0.00%	0.00%	0.19%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.96%	0.00%	0.00%	0.19%	7.13%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	0	0	1	0	6	0	0	0	0	0	0	3	0	0	5	2	0	2	0									
		0.11%	0.00%	0.00%	0.00%	0.10%	0.00%	3.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	1.96%	0.27%	0.00%	0.09%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	92	0	1	0	14	2	17	0	0	0	0	0	0	7	0	8	8	3	0	32	0									
		0.52%	0.00%	1.03%	0.00%	1.33%	0.90%	8.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.13%	0.00%	2.20%	3.14%	0.40%	0.00%	1.49%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	0	0	1	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.27%	1.18%	0.00%	0.00%	0.05%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0									
