Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    район Перово																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №3680	УИК №8297									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	81703	2301	2246	2250	2194	2145	2276	2515	2337	2514	2284	2274	2377	2007	2017	2294	205	2017	1998	2034	1352	2211	2068	2365	2071	2204	2242	2033	2061	2233	2138	2425	2429	2345	2472	2551	2324	2393	539	962									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77350	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1900	1900	2000	150	1900	1900	1900	1000	2000	1900	2000	1900	2000	1900	1900	1900	2000	2000	2000	2000	2000	2000	2000	2000	2000	700	6500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27939	687	630	674	621	706	634	998	727	910	792	790	732	668	624	747	77	643	657	598	423	667	720	820	647	775	657	687	826	789	739	758	805	1128	812	765	714	818	512	962									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	845	25	12	28	17	22	13	38	10	11	12	6	17	26	20	10	0	21	21	21	10	12	28	30	25	18	20	29	52	27	41	28	92	27	23	21	13	19	0	0									
6	Число погашенных избирательных бюллетеней	48566	1288	1358	1298	1362	1272	1353	964	1263	1079	1196	1204	1251	1206	1256	1243	73	1236	1222	1281	567	1321	1152	1150	1228	1207	1223	1184	1022	1184	1220	1214	1103	845	1165	1214	1273	1163	188	5538									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	845	25	12	28	17	22	13	38	10	11	12	6	17	26	20	10	0	21	21	21	10	12	28	30	25	18	20	29	52	27	41	28	92	27	23	21	13	19	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27869	687	626	674	620	684	634	998	727	910	787	790	732	668	624	747	77	641	644	598	423	667	720	815	647	774	653	687	826	789	739	758	802	1128	809	760	714	816	512	962									
9	Число недействительных избирательных бюллетеней	550	7	0	8	19	11	17	15	20	30	12	21	13	2	1	8	0	8	17	13	14	18	15	7	19	12	13	19	26	8	16	17	19	37	13	10	9	31	12	13									
10	Число действительных избирательных бюллетеней	28164	705	638	694	618	695	630	1021	717	891	787	775	736	692	643	749	77	654	648	606	419	661	733	838	653	780	660	697	852	808	764	769	875	1118	819	771	718	804	500	949									
