Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Верхнесалдинская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38882	309	1070	899	975	1385	1090	1445	1040	1277	1194	2606	865	1284	1756	1690	1952	1966	1959	2047	2363	2316	1598	1750	1718	1090	81	115	464	431	117	30									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37880	300	1000	900	950	1350	1000	1400	1000	1250	1150	2500	800	1250	1700	1650	1900	1900	1900	2000	2300	2300	1600	1700	1700	1100	100	150	450	400	150	30									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15655	138	350	306	320	556	361	597	425	487	463	1027	315	393	740	637	717	846	817	929	1033	1007	667	778	799	359	20	52	240	191	65	20									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	422	11	5	4	9	7	94	12	5	6	11	9	25	8	8	3	9	9	8	3	9	16	3	2	5	93	10	5	7	21	3	2									
6	Число погашенных избирательных бюллетеней	21803	151	645	590	621	787	545	791	570	757	676	1464	460	849	952	1010	1174	1045	1075	1068	1258	1277	930	920	896	648	70	93	203	188	82	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	422	11	5	4	9	7	94	12	5	6	11	9	25	8	8	3	9	9	8	3	9	16	3	2	5	93	10	5	7	21	3	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15644	138	350	306	320	556	361	597	423	487	463	1027	315	393	740	637	717	845	809	929	1033	1007	667	778	799	359	20	52	240	191	65	20									
9	Число недействительных избирательных бюллетеней	475	9	12	18	10	14	15	21	9	23	16	24	9	8	20	28	24	27	36	22	21	20	22	19	26	16	0	1	3	2	0	0									
10	Число действительных избирательных бюллетеней	15591	140	343	292	319	549	440	588	419	470	458	1012	331	393	728	612	702	827	781	910	1021	1003	648	761	778	436	30	56	244	210	68	22									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	397	5	7	10	10	15	10	15	10	15	10	20	10	10	15	15	15	20	15	15	20	25	10	15	15	20	10	10	10	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	159	0	3	3	2	7	2	4	0	7	6	6	3	0	8	3	11	7	10	11	15	14	3	6	8	7	0	10	0	2	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	115	5	0	6	1	5	1	7	1	13	2	5	4	1	3	0	3	7	10	4	2	3	2	6	4	8	0	2	3	3	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	238	5	4	7	8	8	8	11	10	8	4	14	7	10	7	12	4	13	5	4	5	11	7	9	7	13	10	0	10	8	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	0	1	1	0	0	3	1	3	5	3	1	2	0	3	1	1	6	4	1	3	2	2	3	3	1	1	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	198	2	2	2	2	10	9	11	12	2	4	12	2	9	3	14	9	7	9	15	14	15	5	7	8	5	1	0	3	1	1	2									
		1.23%	1.34%	0.56%	0.65%	0.61%	1.78%	1.98%	1.81%	2.80%	0.41%	0.84%	1.16%	0.59%	2.24%	0.40%	2.19%	1.24%	0.82%	1.10%	1.61%	1.34%	1.47%	0.75%	0.90%	0.99%	1.11%	3.33%	0.00%	1.21%	0.47%	1.47%	9.09%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	371	3	11	6	3	14	7	8	10	7	14	15	14	10	12	15	15	20	21	22	19	16	59	11	18	12	0	1	3	4	0	1									
		2.31%	2.01%	3.10%	1.94%	0.91%	2.49%	1.54%	1.31%	2.34%	1.42%	2.95%	1.45%	4.12%	2.49%	1.60%	2.34%	2.07%	2.34%	2.57%	2.36%	1.82%	1.56%	8.81%	1.41%	2.24%	2.65%	0.00%	1.75%	1.21%	1.89%	0.00%	4.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	498	3	6	16	12	10	12	13	15	19	14	33	10	10	24	21	23	39	21	37	34	15	23	27	27	15	1	1	7	4	3	3									
		3.10%	2.01%	1.69%	5.16%	3.65%	1.78%	2.64%	2.13%	3.50%	3.85%	2.95%	3.19%	2.94%	2.49%	3.21%	3.28%	3.17%	4.57%	2.57%	3.97%	3.26%	1.47%	3.43%	3.46%	3.36%	3.32%	3.33%	1.75%	2.83%	1.89%	4.41%	13.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6543	57	158	114	138	235	184	244	177	201	174	411	148	173	320	265	320	306	341	386	398	425	273	306	291	194	12	31	146	85	20	10									
		40.73%	38.26%	44.51%	36.77%	41.95%	41.74%	40.44%	40.07%	41.36%	40.77%	36.71%	39.67%	43.53%	43.14%	42.78%	41.41%	44.08%	35.83%	41.74%	41.42%	38.20%	41.54%	40.75%	39.23%	36.19%	42.92%	40.00%	54.39%	59.11%	40.09%	29.41%	45.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	148	0	1	3	0	5	8	8	4	8	3	6	4	2	5	4	3	11	8	6	15	10	9	12	8	2	0	0	0	1	2	0									
		0.92%	0.00%	0.28%	0.97%	0.00%	0.89%	1.76%	1.31%	0.93%	1.62%	0.63%	0.58%	1.18%	0.50%	0.67%	0.63%	0.41%	1.29%	0.98%	0.64%	1.44%	0.98%	1.34%	1.54%	0.99%	0.44%	0.00%	0.00%	0.00%	0.47%	2.94%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	42	0	1	0	0	0	4	0	1	0	1	2	1	3	2	0	0	3	1	3	2	4	4	2	0	3	2	1	2	0	0	0									
		0.26%	0.00%	0.28%	0.00%	0.00%	0.00%	0.88%	0.00%	0.23%	0.00%	0.21%	0.19%	0.29%	0.75%	0.27%	0.00%	0.00%	0.35%	0.12%	0.32%	0.19%	0.39%	0.60%	0.26%	0.00%	0.66%	6.67%	1.75%	0.81%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2966	34	55	65	72	94	99	105	64	83	91	217	68	88	127	112	117	146	121	147	217	192	118	158	142	87	6	8	42	56	30	5									
		18.46%	22.82%	15.49%	20.97%	21.88%	16.70%	21.76%	17.24%	14.95%	16.84%	19.20%	20.95%	20.00%	21.95%	16.98%	17.50%	16.12%	17.10%	14.81%	15.77%	20.83%	18.77%	17.61%	20.26%	17.66%	19.25%	20.00%	14.04%	17.00%	26.42%	44.12%	22.73%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	136	0	1	2	0	2	10	4	4	4	2	8	6	3	5	13	4	13	11	9	4	7	6	7	5	5	0	0	0	1	0	0									
		0.85%	0.00%	0.28%	0.65%	0.00%	0.36%	2.20%	0.66%	0.93%	0.81%	0.42%	0.77%	1.76%	0.75%	0.67%	2.03%	0.55%	1.52%	1.35%	0.97%	0.38%	0.68%	0.90%	0.90%	0.62%	1.11%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	164	2	3	8	3	11	2	7	7	4	10	15	5	4	4	8	5	8	3	12	15	8	2	8	6	3	0	0	1	0	0	0									
		1.02%	1.34%	0.85%	2.58%	0.91%	1.95%	0.44%	1.15%	1.64%	0.81%	2.11%	1.45%	1.47%	0.99%	0.53%	1.25%	0.69%	0.94%	0.37%	1.29%	1.44%	0.78%	0.30%	1.03%	0.75%	0.66%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	30	1	1	0	0	1	1	0	0	1	2	2	1	2	2	0	1	3	1	3	2	1	0	1	0	0	0	1	0	3	0	0									
		0.19%	0.67%	0.28%	0.00%	0.00%	0.18%	0.22%	0.00%	0.00%	0.20%	0.42%	0.19%	0.29%	0.50%	0.27%	0.00%	0.14%	0.35%	0.12%	0.32%	0.19%	0.10%	0.00%	0.13%	0.00%	0.00%	0.00%	1.75%	0.00%	1.42%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	206	5	0	2	1	9	5	6	15	7	7	13	4	5	14	8	13	6	9	11	22	13	4	10	9	7	0	0	0	1	0	0									
