Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Беломорская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №184	УИК №185	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207					
1	"Число избирателей, внесенных в списки"	17326	296	1467	2155	2306	1901	991	756	692	592	173	281	259	484	253	150	249	50	1816	362	62	1372	423	236					
2	"Число бюллетеней, полученных участковыми комиссиями"	15820	250	1300	2000	2000	1700	870	720	650	550	170	250	250	450	210	140	240	50	1700	340	60	1300	410	210					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9403	132	759	1155	1270	1148	487	374	371	320	126	164	142	257	102	107	166	44	883	259	29	773	221	114					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	890	36	22	37	39	59	21	53	44	55	0	23	20	23	39	13	14	3	151	26	24	94	59	35					
6	Число погашенных бюллетеней	5527	82	519	808	691	493	362	293	235	175	44	63	88	170	69	20	60	3	666	55	7	433	130	61					
7	Число бюллетеней в переносных ящиках для голосования	890	36	22	37	39	59	21	53	44	55	0	23	20	23	39	13	14	3	151	26	24	94	59	35					
8	Число бюллетеней в стационарных ящиках для голосования	9402	132	759	1155	1270	1148	487	374	371	320	126	164	142	257	102	107	166	44	883	259	29	773	220	114					
9	Число недействительных бюллетеней	201	3	32	19	20	8	24	1	12	10	2	13	8	3	3	4	6	2	9	0	0	13	6	3					
10	Число действительных бюллетеней	10091	165	749	1173	1289	1199	484	426	403	365	124	174	154	277	138	116	174	45	1025	285	53	854	273	146					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	211	10	15	10	10	10	8	10	10	10	5	5	5	10	10	6	10	5	10	10	5	20	10	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	108	0	11	9	5	6	6	7	8	2	1	1	1	4	2	0	4	1	7	10	1	11	7	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	8	2	9	8	13	1	2	1	2	1	5	5	2	3	1	2	0	6	2	2	1	2	0					
14	Число погашенных открепительных удостоверений	103	10	4	1	5	4	2	3	2	8	4	4	4	6	8	6	6	4	3	0	4	9	3	3					
15	Число открепительных удостоверений выданных ТИК	6	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	130	1	9	12	12	16	11	5	3	8	1	2	1	5	4	3	9	1	8	3	3	2	8	3					
		1.26%	0.59%	1.15%	1.00%	0.91%	1.32%	2.16%	1.17%	0.72%	2.13%	0.79%	1.06%	0.61%	1.78%	2.83%	2.5%	5.0%	2.12%	0.77%	1.05%	5.66%	0.23%	2.86%	2.01%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	451	25	37	65	78	79	20	8	17	0	2	2	6	5	1	4	0	0	55	5	0	31	4	7					
		4.38%	14.88%	4.73%	5.45%	5.95%	6.54%	3.93%	1.87%	4.09%	0.0%	1.58%	1.06%	3.70%	1.78%	0.70%	3.33%	0.0%	0.0%	5.31%	1.75%	0.0%	3.57%	1.43%	4.69%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	340	9	17	38	44	42	17	14	13	16	3	5	5	6	5	9	4	1	38	4	4	31	8	7					
		3.30%	5.35%	2.17%	3.18%	3.36%	3.47%	3.34%	3.27%	3.13%	4.26%	2.38%	2.67%	3.08%	2.14%	3.54%	7.5%	2.22%	2.12%	3.67%	1.40%	7.54%	3.57%	2.86%	4.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	512	10	52	74	107	73	24	9	37	13	4	4	1	3	1	4	6	1	52	9	0	20	6	2					
		4.97%	5.95%	6.65%	6.20%	8.17%	6.04%	4.72%	2.10%	8.91%	3.46%	3.17%	2.13%	0.61%	1.07%	0.70%	3.33%	3.33%	2.12%	5.02%	3.15%	0.0%	2.30%	2.15%	1.34%					
22	"5. ""За Русь Святую"""	44	1	0	4	8	7	0	0	3	0	2	3	3	0	1	1	1	0	4	1	0	1	4	0					
		0.42%	0.59%	0.0%	0.33%	0.61%	0.57%	0.0%	0.0%	0.72%	0.0%	1.58%	1.60%	1.85%	0.0%	0.70%	0.83%	0.55%	0.0%	0.38%	0.35%	0.0%	0.11%	1.43%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	1	2	7	3	3	0	0	0	1	0	0	0	0	1	0	1	0	3	0	0	0	4	0					
		0.25%	0.59%	0.25%	0.58%	0.22%	0.24%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.55%	0.0%	0.29%	0.0%	0.0%	0.0%	1.43%	0.0%					
