Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Кохомская городская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273					
1	"Число избирателей, внесенных в списки"	21886	2128	970	1947	1015	1801	1837	2049	1851	923	1133	2112	1334	2045	741					
2	"Число бюллетеней, полученных участковыми комиссиями"	20100	2000	900	1700	900	1700	1700	1900	1700	800	1000	2000	1200	1900	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8916	806	427	644	421	770	746	872	853	404	467	830	562	855	259					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	303	43	30	13	14	24	23	17	17	27	14	12	22	30	17					
6	Число погашенных бюллетеней	10881	1151	443	1043	465	906	931	1011	830	369	519	1158	616	1015	424					
7	Число бюллетеней в переносных ящиках для голосования	303	43	30	13	14	24	23	17	17	27	14	12	22	30	17					
8	Число бюллетеней в стационарных ящиках для голосования	8916	806	427	644	421	770	746	872	853	404	467	830	562	855	259					
9	Число недействительных бюллетеней	118	8	12	11	8	9	12	6	12	4	7	8	9	10	2					
10	Число действительных бюллетеней	9101	841	445	646	427	785	757	883	858	427	474	834	575	875	274					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	180	15	10	15	10	15	15	15	15	10	10	15	10	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	63	7	3	10	2	8	4	5	4	5	3	6	1	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	5	3	5	4	1	3	4	7	9	4	1	1	1	1					
14	Число погашенных открепительных удостоверений	117	8	7	5	8	7	11	10	11	5	7	9	9	12	8					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0					
