Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Дебесская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623					
1	"Число избирателей, внесенных в список избирателей"	10850	454	206	787	798	805	1488	814	200	173	585	319	484	222	286	221	361	753	144	170	159	293	725	403					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10850	450	200	780	790	810	1490	820	200	180	590	310	490	220	290	220	360	750	140	170	150	300	720	420					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6737	303	129	457	515	462	901	515	145	111	415	199	281	132	131	155	228	443	93	114	111	223	429	245					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	467	9	3	14	26	21	33	18	9	0	20	21	25	12	19	13	17	39	8	5	4	25	95	31					
6	Число погашенных избирательных бюллетеней	3646	138	68	309	249	327	556	287	46	69	155	90	184	76	140	52	115	268	39	51	35	52	196	144					
7	Число избирательных бюллетеней в переносных ящиках для голосования	467	9	3	14	26	21	33	18	9	0	20	21	25	12	19	13	17	39	8	5	4	25	95	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6711	303	129	457	489	462	901	515	145	111	415	199	281	132	131	155	228	443	93	114	111	223	429	245					
9	Число недействительных избирательных бюллетеней	80	1	1	12	9	8	8	5	2	4	4	1	3	0	1	0	1	10	1	0	2	1	4	2					
10	Число действительных избирательных бюллетеней	7098	311	131	459	506	475	926	528	152	107	431	219	303	144	149	168	244	472	100	119	113	247	520	274					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	14	5	13	15	10	20	14	5	5	10	10	15	5	10	10	10	10	5	5	5	14	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	160	10	0	12	12	9	19	11	1	0	7	3	11	2	1	5	5	2	1	2	3	11	19	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	1	0	5	5	4	5	1	0	0	2	3	2	3	2	3	3	2	1	1	3	4	2	2					
