Выборы Президента Российской Федерации																																																																																																								
Дата голосования: 04.03.2012																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Псковская городская																																																																																																								
																																																																																																								
Сводная таблица итогов голосования																																																																																																								
																																																																																																								
	Число участковых избирательных комиссий	93																																																																																																						
	Число участковых избирательных комиссий, приступивших к передаче сведений	93																																																																																																						
																																																																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №654									
1	Число избирателей, включенных в список избирателей	173816	1596	1721	1809	1869	1802	2344	1725	1117	2083	1597	2174	1573	1530	1801	1258	1179	2673	1786	1601	1177	2555	2710	1661	1587	1894	2182	1942	1532	1923	1551	1692	1954	1226	2257	1186	2229	2100	2159	1728	2378	1803	1432	1133	2473	2289	2474	2788	2211	2523	2325	1842	1268	2397	2361	1620	2011	2065	2002	1951	2322	2409	2590	2468	2218	2633	2045	1445	1866	2202	2135	2036	2487	2124	2341	1282	2530	1183	1629	1720	1631	2144	1637	1916	1379	1188	1866	2224	1730	1725	607	530	249	1496									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	144150	1300	1400	1500	1500	1500	1800	1200	900	1700	1400	1800	1300	1300	1500	1100	1000	2200	1500	1300	1000	2000	2200	1300	1300	1600	1800	1600	1200	1600	1300	1300	1500	1000	2000	1000	1800	1700	1700	1300	2000	1500	1200	1700	2000	1800	2000	2300	1800	2100	2000	1500	1000	2000	2000	1300	1700	1700	1700	1700	2000	2000	2100	2000	1800	2100	1700	1200	1500	1800	1700	1700	2000	1800	2000	1000	2100	1000	1400	1400	1400	1800	1400	1600	1100	1000	1500	1800	1400	1500	500	600	300	1550									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	102790	788	1018	1035	879	1067	1373	876	693	1207	890	1366	882	768	1112	742	657	1394	1025	850	625	1625	1318	1138	731	1011	1126	936	825	1199	885	900	1073	701	1171	759	1347	1187	1281	1070	1522	1133	910	1023	1563	1405	1471	1695	1424	1576	1566	1192	812	1513	1401	1017	1302	1321	1188	1242	1393	1466	1544	1447	1343	1649	1289	867	1121	1200	1121	1063	1442	1222	1390	762	1546	719	1047	984	912	1133	962	1192	847	722	1054	1273	869	1164	365	298	161	1417									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2865	64	30	213	39	23	39	13	12	30	25	27	32	22	25	7	23	21	9	10	14	19	29	88	16	11	15	34	30	23	24	100	134	30	42	21	23	19	16	22	29	13	4	64	19	26	24	19	22	16	11	6	13	17	44	12	19	30	40	15	27	65	33	37	25	14	27	22	19	68	12	30	19	38	23	6	37	5	19	21	14	23	18	24	10	7	9	13	6	4	3	232	88	50									
6	Число погашенных избирательных бюллетеней	38495	448	352	252	582	410	388	311	195	463	485	407	386	510	363	351	320	785	466	440	361	356	853	74	553	578	659	630	345	378	391	300	293	269	787	220	430	494	403	208	449	354	286	613	418	369	505	586	354	508	423	302	175	470	555	271	379	349	472	443	580	469	523	516	432	437	384	311	360	532	567	607	539	540	587	232	517	276	334	395	474	644	420	384	243	271	437	514	525	332	132	70	51	83									
