Выборы Президента Российской Федерации																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Псковская городская																																																																																														
																																																																																														
Итоги голосования 																																																																																														
																																																																																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК  713					
1	"Число избирателей, внесенных в список"	170407	1370	1904	2075	1849	1563	1026	2708	1560	2066	1643	2619	1845	1642	998	2689	1902	1131	1563	1926	2180	1791	1194	2243	2474	1634	1852	1950	2433	2270	1516	1651	1998	1753	2519	1098	2103	2196	2158	1877	1582	1878	1000	2365	2460	2420	2738	2251	2375	2319	1919	2446	2439	2546	2192	2158	2187	2055	2346	2737	2696	2216	2072	2031	1368	1999	1938	2449	1281	2668	2268	2104	2044	2424	1457	2071	1778	1736	1786	1898	2584	1543	1938	2342	1647	245	234	2208					
2	Число полученных избирательных бюллетеней	159654	1100	1700	1600	1700	1500	900	2500	1500	1900	1600	2400	1700	1500	900	2400	1700	1100	1500	1800	2000	1700	1100	2100	2300	1500	1700	1700	3000	2100	1400	1400	1900	1600	2400	1000	2000	2100	2000	1800	1500	1800	800	2200	2300	2300	2500	2100	2200	2200	1800	2300	2300	2400	2100	2000	2000	1900	2200	2600	2500	2100	2000	1900	1300	1900	1800	2300	1200	2500	2100	2000	1900	2300	1400	2000	1700	1600	1700	1800	2500	1500	1800	2200	1600	302	252	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	96313	790	1073	985	1034	916	563	1593	892	959	758	1278	932	793	472	1685	892	591	679	975	1142	998	757	1319	1386	954	1064	1014	1047	1351	826	794	1161	1014	1423	625	1238	1148	1225	1128	987	1090	655	1419	1498	1489	1569	1322	1414	1446	1149	1505	1426	1529	1315	1332	1330	1255	1380	1532	1568	1385	1315	1264	863	1144	991	1273	501	1474	1242	1111	1133	1266	928	1101	1062	1012	989	1055	1529	868	1062	1238	838	94	186	1705					
5	"Число избирательных бюллетеней, выданных вне помещения"	2778	50	30	338	22	23	34	37	31	78	32	22	20	23	48	9	36	74	17	25	8	16	5	25	42	33	28	45	55	20	37	103	17	35	19	99	19	11	35	16	14	11	3	38	16	24	17	18	11	14	19	16	16	33	29	34	27	17	23	23	32	38	11	21	19	9	29	11	64	28	30	30	14	40	9	15	13	16	29	17	29	15	6	18	17	114	48	36					
6	Число погашенных избирательных бюллетеней	60563	260	597	277	644	561	303	870	577	863	810	1100	748	684	380	706	772	435	804	800	850	686	338	756	872	513	608	641	1898	729	537	503	722	551	958	276	743	941	740	656	499	699	142	743	786	787	914	760	775	740	632	779	858	838	756	634	643	628	797	1045	900	677	674	615	418	747	780	1016	635	998	828	859	753	994	463	884	625	572	682	728	942	617	732	944	745	94	18	459					
7	Число избирательных бюллетеней в переносных ящиках	2778	50	30	338	22	23	34	37	31	78	32	22	20	23	48	9	36	74	17	25	8	16	5	25	42	33	28	45	55	20	37	103	17	35	19	99	19	11	35	16	14	11	3	38	16	24	17	18	11	14	19	16	16	33	29	34	27	17	23	23	32	38	11	21	19	9	29	11	64	28	30	30	14	40	9	15	13	16	29	17	29	15	6	18	17	114	48	36					
8	Число бюллетеней в стационарных ящиках для голосования	96250	789	1073	983	1028	914	563	1593	891	959	758	1278	931	793	472	1685	892	591	679	975	1142	996	757	1319	1384	950	1064	1014	1045	1349	826	794	1159	1014	1422	624	1238	1148	1224	1128	987	1090	654	1419	1498	1489	1568	1321	1411	1444	1149	1503	1426	1527	1313	1331	1329	1254	1379	1527	1567	1385	1315	1264	863	1144	991	1270	501	1471	1242	1111	1130	1266	928	1101	1062	1012	989	1055	1529	868	1062	1238	838	94	186	1705					
9	Число недействительных избирательных бюллетеней	590	5	4	6	9	5	4	10	7	8	8	7	7	4	7	8	12	4	11	13	9	4	6	8	13	11	7	10	16	4	6	6	9	6	6	3	12	8	7	11	5	7	2	12	8	2	3	4	6	6	5	7	3	11	4	8	7	5	4	5	7	6	5	4	4	4	9	15	5	16	9	8	1	7	6	6	7	12	7	1	9	4	4	5	2	4	5	3					
10	Число действительных избирательных бюллетеней	98438	834	1099	1315	1041	932	593	1620	915	1029	782	1293	944	812	513	1686	916	661	685	987	1141	1008	756	1336	1413	972	1085	1049	1084	1365	857	891	1167	1043	1435	720	1245	1151	1252	1133	996	1094	655	1445	1506	1511	1582	1335	1416	1452	1163	1512	1439	1549	1338	1357	1349	1266	1398	1545	1592	1417	1321	1281	878	1149	1011	1266	560	1483	1263	1133	1143	1299	931	1110	1068	1016	1011	1071	1549	879	1064	1251	853	204	229	1738					
