Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Аларская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19561	1021	125	183	123	472	104	633	87	68	474	131	91	750	326	70	1248	114	140	232	558	544	164	336	130	260	503	245	185	717	2154	1262	115	233	315	123	167	112	447	166	456	140	257	113	602	111	535	219	492	1508									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19525	1025	125	175	125	475	100	650	90	70	490	125	100	750	325	75	1275	100	150	225	550	550	150	325	125	250	500	225	175	750	2150	1275	100	225	300	125	150	100	450	150	450	125	250	100	625	100	525	225	500	1550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8446	367	91	97	65	162	48	206	27	20	278	91	53	257	152	37	323	37	62	51	191	209	65	106	46	179	306	146	93	189	689	323	55	63	132	41	81	38	177	58	190	64	186	55	252	28	236	109	271	1444									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	957	80	0	24	0	25	15	65	20	2	12	1	0	78	20	7	45	18	6	46	9	9	34	19	0	4	12	2	20	13	50	11	3	6	5	0	12	13	19	26	39	9	3	5	33	13	31	7	22	64									
6	Число погашенных избирательных бюллетеней	10122	578	34	54	60	288	37	379	43	48	200	33	47	415	153	31	907	45	82	128	350	332	51	200	79	67	182	77	62	548	1411	941	42	156	163	84	57	49	254	66	221	52	61	40	340	59	258	109	207	42									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	957	80	0	24	0	25	15	65	20	2	12	1	0	78	20	7	45	18	6	46	9	9	34	19	0	4	12	2	20	13	50	11	3	6	5	0	12	13	19	26	39	9	3	5	33	13	31	7	22	64									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8445	367	91	97	65	162	48	206	27	20	278	91	53	257	152	37	323	37	62	51	191	209	65	106	46	179	306	145	93	189	689	323	55	63	132	41	81	38	177	58	190	64	186	55	252	28	236	109	271	1444									
9	Число недействительных избирательных бюллетеней	100	2	0	0	0	5	0	1	0	1	4	0	1	3	1	0	5	0	0	0	8	3	3	1	1	1	0	2	1	6	15	5	0	0	4	2	1	0	0	0	2	0	0	1	2	0	2	0	0	17									
10	Число действительных избирательных бюллетеней	9302	445	91	121	65	182	63	270	47	21	286	92	52	332	171	44	363	55	68	97	192	215	96	124	45	182	318	145	112	196	724	329	58	69	133	39	92	51	196	84	227	73	189	59	283	41	265	116	293	1491									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	533	10	4	4	4	10	4	10	4	4	15	4	4	10	10	4	15	4	4	4	10	10	4	4	4	4	10	4	10	25	65	40	4	4	10	4	4	4	10	4	10	4	10	4	20	4	10	4	10	95									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	252	10	0	0	0	1	1	7	0	0	15	3	4	7	5	2	15	0	2	4	8	5	0	0	0	0	6	0	1	4	30	6	0	0	6	0	1	4	5	0	2	1	0	4	16	0	1	4	10	62									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	83	0	1	1	0	2	1	3	1	0	0	1	1	1	1	0	1	0	0	1	4	1	1	2	1	1	1	3	2	4	8	0	1	1	2	1	2	2	2	2	1	2	3	2	2	1	1	0	1	14									
14	Число погашенных неиспользованных открепительных удостоверений	281	0	4	4	4	9	3	3	4	4	0	1	0	3	5	2	0	4	2	0	2	5	4	4	4	4	4	4	9	21	35	34	4	4	4	4	3	0	5	4	8	3	10	0	4	4	9	0	0	33									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	67	4	1	0	1	2	1	1	0	0	0	1	0	3	0	0	1	1	0	1	1	2	0	5	0	2	0	2	0	3	4	3	0	1	3	0	0	0	3	0	2	1	0	0	3	0	2	1	1	11									
		0.71%	0.89%	1.10%	0.00%	1.54%	1.07%	1.59%	0.37%	0.00%	0.00%	0.00%	1.09%	0.00%	0.90%	0.00%	0.00%	0.27%	1.82%	0.00%	1.03%	0.50%	0.92%	0.00%	4.00%	0.00%	1.09%	0.00%	1.36%	0.00%	1.49%	0.54%	0.90%	0.00%	1.45%	2.19%	0.00%	0.00%	0.00%	1.53%	0.00%	0.87%	1.37%	0.00%	0.00%	1.05%	0.00%	0.75%	0.86%	0.34%	0.73%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	328	14	1	1	2	6	3	7	1	0	7	3	4	10	25	1	13	3	4	7	15	11	4	5	1	3	8	8	2	8	30	14	2	5	3	0	1	1	9	5	11	1	2	0	16	2	5	10	8	26									
		3.49%	3.13%	1.10%	0.83%	3.08%	3.21%	4.76%	2.58%	2.13%	0.00%	2.41%	3.26%	7.55%	2.99%	14.53%	2.27%	3.53%	5.45%	5.88%	7.22%	7.50%	5.05%	4.04%	4.00%	2.17%	1.64%	2.52%	5.44%	1.77%	3.96%	4.06%	4.19%	3.45%	7.25%	2.19%	0.00%	1.08%	1.96%	4.59%	5.95%	4.80%	1.37%	1.06%	0.00%	5.61%	4.88%	1.87%	8.62%	2.73%	1.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	144	4	1	1	3	2	0	1	2	1	6	0	0	8	3	1	12	1	0	0	2	2	1	0	1	2	8	1	1	3	18	13	2	0	3	2	0	2	5	0	4	0	1	1	2	1	1	1	1	20									
		1.53%	0.89%	1.10%	0.83%	4.62%	1.07%	0.00%	0.37%	4.26%	4.55%	2.07%	0.00%	0.00%	2.39%	1.74%	2.27%	3.26%	1.82%	0.00%	0.00%	1.00%	0.92%	1.01%	0.00%	2.17%	1.09%	2.52%	0.68%	0.88%	1.49%	2.44%	3.89%	3.45%	0.00%	2.19%	4.88%	0.00%	3.92%	2.55%	0.00%	1.75%	0.00%	0.53%	1.67%	0.70%	2.44%	0.37%	0.86%	0.34%	1.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5304	225	68	93	40	76	38	208	29	15	163	70	38	193	103	36	142	40	47	37	97	76	53	54	22	104	147	58	77	85	339	146	32	30	71	20	51	26	105	56	109	59	157	43	196	22	187	79	216	926									
		56.41%	50.34%	74.73%	76.86%	61.54%	40.64%	60.32%	76.75%	61.70%	68.18%	56.21%	76.09%	71.70%	57.61%	59.88%	81.82%	38.59%	72.73%	69.12%	38.14%	48.50%	34.86%	53.54%	43.20%	47.83%	56.83%	46.23%	39.46%	68.14%	42.08%	45.87%	43.71%	55.17%	43.48%	51.82%	48.78%	54.84%	50.98%	53.57%	66.67%	47.60%	80.82%	83.07%	71.67%	68.77%	53.66%	70.04%	68.10%	73.72%	61.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	35	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	1	0	1	1	1	2	2	0	1	0	6	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7									
