Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Абазинская городская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85					
1	"Число избирателей, внесенных в список избирателей"	12129	819	712	1501	771	1471	790	774	855	773	2157	1506					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13070	925	860	1575	825	1540	850	840	925	820	2230	1680					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5905	445	378	725	414	740	340	382	401	328	959	793					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	858	34	48	57	67	102	63	33	80	73	175	126					
6	Число погашенных избирательных бюллетеней	6307	446	434	793	344	698	447	425	444	419	1096	761					
7	Число избирательных бюллетеней в переносных ящиках для голосования	858	34	48	57	67	102	63	33	80	73	175	126					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5904	445	378	725	414	740	340	382	401	328	958	793					
9	Число недействительных избирательных бюллетеней	108	8	5	11	9	11	5	3	25	4	16	11					
10	Число действительных избирательных бюллетеней	6654	471	421	771	472	831	398	412	456	397	1117	908					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	470	35	66	25	30	40	40	35	55	15	74	55					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	470	35	66	25	30	40	40	35	55	15	74	55					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	72	3	10	4	7	9	5	5	6	2	11	10					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	80	11	5	8	7	6	3	6	8	2	7	17					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	993	64	63	128	73	128	49	70	71	53	136	158					
		14.69%	13.36%	14.79%	16.37%	15.18%	15.20%	12.16%	16.87%	14.76%	13.22%	12.00%	17.19%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1274	106	100	127	71	172	89	80	82	67	240	140					
		18.84%	22.13%	23.47%	16.24%	14.76%	20.43%	22.08%	19.28%	17.05%	16.71%	21.18%	15.23%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	100	13	6	9	7	12	5	1	10	7	13	17					
		1.48%	2.71%	1.41%	1.15%	1.46%	1.43%	1.24%	0.24%	2.08%	1.75%	1.15%	1.85%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1812	122	102	245	146	232	97	100	127	93	252	296					
		26.80%	25.47%	23.94%	31.33%	30.35%	27.55%	24.07%	24.10%	26.40%	23.19%	22.24%	32.21%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	233	24	14	34	23	24	12	11	14	9	36	32					
		3.45%	5.01%	3.29%	4.35%	4.78%	2.85%	2.98%	2.65%	2.91%	2.24%	3.18%	3.48%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2193	139	133	223	147	257	142	149	148	164	433	258					
		32.43%	29.02%	31.22%	28.52%	30.56%	30.52%	35.24%	35.90%	30.77%	40.90%	38.22%	28.07%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	49	3	3	5	5	6	4	1	4	4	7	7					
		0.72%	0.63%	0.70%	0.64%	1.04%	0.71%	0.99%	0.24%	0.83%	0.99%	0.62%	0.76%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
