Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Иркутская городская № 2																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597					
1	"Число избирателей, внесенных в списки избирателей"	106759	2265	2086	1810	2116	1780	1900	2112	2615	1980	1431	1815	2482	2158	2170	2466	2444	1883	2379	2797	1027	2138	2069	2533	2572	2262	1998	2055	2523	1974	2163	2690	1267	2606	2458	1678	1668	2246	1229	1603	1988	1709	2074	1481	2396	2583	2707	2420	1516	1779	1828	1860	970					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	99850	2300	1800	1700	2200	1800	1800	2000	2500	1900	1500	1700	1800	1900	2200	2400	2400	1800	2200	2500	900	2100	2000	2400	2500	2000	1900	1900	2400	1900	2100	2500	1200	2300	2200	1700	1600	1500	1100	1400	1900	1600	1900	1400	2300	2500	2400	2300	1400	1700	1700	1800	950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	57544	1256	1079	808	1155	993	1071	1095	1387	1102	799	831	1235	984	1235	1286	1230	899	1175	1450	506	1076	1142	1456	1368	1336	1059	1089	1453	1071	1093	1476	510	1487	1514	1646	1019	1185	445	865	1040	926	1135	616	1221	1340	1655	1275	841	940	951	1002	736					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2308	37	54	26	31	37	42	40	25	18	21	21	444	28	127	32	35	21	44	26	21	51	8	33	23	27	31	38	33	57	49	49	30	21	14	12	1	295	17	19	32	21	34	14	16	49	25	33	11	30	55	50	0					
6	Число погашенных избирательных бюллетеней	39997	1007	667	866	1014	770	687	865	1088	780	680	848	121	888	838	1082	1135	880	981	1024	373	973	850	911	1109	637	810	773	913	772	958	975	660	792	672	42	580	20	638	516	828	653	731	770	1063	1111	720	992	548	730	694	748	214					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2307	37	54	26	31	37	42	40	25	18	21	21	444	28	127	32	35	21	44	26	21	51	8	33	23	27	31	38	33	57	49	49	30	21	14	12	1	294	17	19	32	21	34	14	16	49	25	33	11	30	55	50	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57359	1155	1078	808	1155	986	1071	1095	1383	1098	788	831	1235	984	1235	1286	1230	899	1175	1450	506	1076	1142	1456	1368	1336	1058	1089	1451	1057	1093	1476	507	1466	1509	1646	1019	1181	445	865	1040	926	1128	616	1221	1340	1655	1275	841	940	951	1002	736					
9	Число недействительных избирательных бюллетеней	623	17	14	10	6	7	13	15	23	10	8	13	20	9	16	18	13	9	6	16	3	9	10	15	10	12	8	9	11	14	7	17	0	16	24	14	16	12	3	13	10	13	19	2	12	20	15	15	8	5	17	12	9					
10	Число действительных избирательных бюллетеней	59043	1175	1118	824	1180	1016	1100	1120	1385	1106	801	839	1659	1003	1346	1300	1252	911	1213	1460	524	1118	1140	1474	1381	1351	1081	1118	1473	1100	1135	1508	537	1471	1499	1644	1004	1463	459	871	1062	934	1143	628	1225	1369	1665	1293	844	965	989	1040	727					
