Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
"Наименование Избирательной комиссии:    Новороссийск, Приморская"																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542					
1	"Число избирателей, внесенных в списки"	75022	2648	2169	1514	1172	1301	2181	1727	1733	1637	2262	2080	2113	2322	2326	2232	2872	2355	2546	2230	830	1406	904	406	234	601	2558	2522	1713	1279	1986	292	1150	2046	2043	2242	2396	2169	1527	1582	1824	2601	1291					
2	"Число бюллетеней, полученных участковыми комиссиями"	71330	2400	2200	1400	1100	1300	2000	1950	1800	1500	2100	2000	1900	2100	2000	2000	2500	2200	2600	2200	860	1400	900	400	230	550	2300	2300	1700	1200	2000	290	1200	2100	1900	2100	2200	2000	1400	1600	1800	2500	1150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	34512	1232	1082	694	645	677	1184	632	799	775	1178	1102	811	1005	1389	1453	1400	1054	1010	1004	421	643	402	144	146	394	1169	1192	688	517	826	132	467	843	875	995	1050	976	670	629	648	1020	539					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1038	28	27	23	21	5	19	28	25	20	27	46	26	25	20	57	21	9	14	43	5	14	4	18	6	40	29	16	18	35	59	10	13	31	51	40	31	18	16	20	58	14	8					
6	Число погашенных бюллетеней	35780	1140	1091	683	434	618	797	1290	976	705	895	852	1063	1070	591	490	1079	1137	1576	1153	434	743	494	238	78	116	1102	1092	994	648	1115	148	720	1226	974	1065	1119	1006	714	951	1094	1466	603					
7	Число бюллетеней в переносных ящиках для голосования	1038	28	27	23	21	5	19	28	25	20	27	46	26	25	20	57	21	9	14	43	5	14	4	18	6	40	29	16	18	35	59	10	13	31	51	40	31	18	16	20	58	14	8					
8	Число бюллетеней в стационарных ящиках для голосования	34504	1232	1082	694	645	677	1184	632	799	775	1178	1100	810	1005	1387	1453	1400	1054	1009	1003	421	643	402	144	146	394	1169	1192	688	517	826	132	467	843	875	995	1049	976	670	629	648	1020	539					
9	Число недействительных бюллетеней	575	25	6	8	6	7	8	7	3	4	22	9	10	14	23	30	12	7	19	28	10	4	8	4	0	6	22	11	33	10	25	5	8	11	14	15	18	23	14	28	26	21	11					
10	Число действительных бюллетеней	34967	1235	1103	709	660	675	1195	653	821	791	1183	1137	826	1016	1384	1480	1409	1056	1004	1018	416	653	398	158	152	428	1176	1197	673	542	860	137	472	863	912	1020	1062	971	672	621	680	1013	536					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	967	30	25	20	20	20	27	25	25	20	10	25	25	30	20	20	30	51	30	24	20	20	20	10	10	10	30	30	25	20	25	10	20	25	20	25	30	25	20	20	25	30	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	262	8	11	2	8	9	5	0	4	7	10	14	3	9	8	4	23	51	14	4	2	2	2	0	0	9	3	7	3	1	5	1	6	3	2	3	6	4	5	1	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	111	1	3	1	3	0	11	0	4	2	3	2	5	4	5	0	5	6	0	6	2	0	1	1	1	2	6	2	3	3	1	4	2	4	1	3	1	1	1	3	3	2	3					
14	Число погашенных открепительных удостоверений	705	22	14	18	12	11	22	25	21	13	0	11	22	21	12	16	7	0	16	20	18	18	18	10	10	1	27	23	22	19	20	9	14	22	18	22	24	21	15	19	24	30	18					
15	Число открепительных удостоверений выданных ТИК	30	0	1	1	0	1	0	0	1	1	0	0	2	1	0	0	1	0	5	1	0	0	1	0	0	0	1	1	2	0	1	0	0	0	0	1	1	1	1	1	3	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
18	"1. ""ЕДИНЕНИЕ"""	428	6	7	7	7	6	8	6	8	9	12	7	1	11	31	26	5	15	10	19	5	13	5	2	1	7	18	13	7	8	11	4	4	11	11	15	11	18	17	11	7	23	5					
		1.20%	0.47%	0.63%	0.97%	1.05%	0.87%	0.66%	0.90%	0.97%	1.13%	0.99%	0.61%	0.11%	1.06%	2.20%	1.72%	0.35%	1.41%	0.97%	1.81%	1.17%	1.97%	1.23%	1.23%	0.65%	1.61%	1.50%	1.07%	0.99%	1.44%	1.24%	2.81%	0.83%	1.25%	1.18%	1.44%	1.01%	1.81%	2.47%	1.69%	0.99%	2.22%	0.91%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	938	27	28	27	30	17	27	15	38	20	29	31	16	33	30	72	47	35	40	26	10	22	11	5	4	10	26	22	14	5	12	1	11	33	43	25	14	15	11	17	11	19	9					
		2.63%	2.14%	2.52%	3.76%	4.50%	2.49%	2.24%	2.27%	4.61%	2.51%	2.40%	2.70%	1.91%	3.20%	2.13%	4.76%	3.30%	3.29%	3.91%	2.48%	2.34%	3.34%	2.70%	3.08%	2.63%	2.30%	2.17%	1.82%	1.98%	0.90%	1.35%	0.70%	2.29%	3.77%	4.64%	2.41%	1.29%	1.50%	1.60%	2.61%	1.55%	1.83%	1.64%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	875	40	10	24	17	25	34	19	19	23	31	26	24	40	39	45	18	11	26	21	11	22	10	3	3	12	31	27	25	11	33	2	14	16	21	23	17	22	12	14	14	27	13					
		2.46%	3.17%	0.90%	3.34%	2.55%	3.66%	2.82%	2.87%	2.30%	2.89%	2.57%	2.26%	2.87%	3.88%	2.77%	2.98%	1.26%	1.03%	2.54%	2.00%	2.58%	3.34%	2.46%	1.85%	1.97%	2.76%	2.58%	2.23%	3.54%	1.99%	3.72%	1.40%	2.91%	1.83%	2.26%	2.22%	1.57%	2.21%	1.74%	2.15%	1.98%	2.61%	2.37%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1341	64	49	35	31	34	54	28	37	43	66	31	39	34	35	64	50	40	46	41	15	32	11	5	9	18	41	29	21	13	20	4	12	28	26	45	48	30	28	11	11	29	34					
		3.77%	5.07%	4.41%	4.88%	4.65%	4.98%	4.48%	4.24%	4.49%	5.40%	5.47%	2.70%	4.66%	3.30%	2.48%	4.23%	3.51%	3.76%	4.49%	3.91%	3.52%	4.87%	2.70%	3.08%	5.92%	4.14%	3.42%	2.40%	2.97%	2.35%	2.25%	2.81%	2.5%	3.20%	2.80%	4.34%	4.44%	3.01%	4.08%	1.69%	1.55%	2.80%	6.21%					
22	"5. ""За Русь Святую"""	244	5	5	3	3	4	4	11	4	3	4	6	4	3	16	19	3	1	2	4	2	5	0	3	2	19	9	7	12	1	11	2	5	20	2	4	8	3	5	5	8	5	2					
		0.68%	0.39%	0.45%	0.41%	0.45%	0.58%	0.33%	1.66%	0.48%	0.37%	0.33%	0.52%	0.47%	0.29%	1.13%	1.25%	0.21%	0.09%	0.19%	0.38%	0.46%	0.76%	0.0%	1.85%	1.31%	4.37%	0.75%	0.57%	1.69%	0.18%	1.24%	1.40%	1.04%	2.28%	0.21%	0.38%	0.74%	0.30%	0.72%	0.77%	1.13%	0.48%	0.36%					
23	"6. ""Объединенная Российская партия ""Русь"""	116	2	0	3	1	1	2	1	1	2	6	0	3	4	10	11	3	6	2	9	1	3	3	0	0	2	3	7	2	0	0	0	0	2	6	3	0	3	1	3	2	6	2					
		0.32%	0.15%	0.0%	0.41%	0.15%	0.14%	0.16%	0.15%	0.12%	0.25%	0.49%	0.0%	0.35%	0.38%	0.71%	0.72%	0.21%	0.56%	0.19%	0.86%	0.23%	0.45%	0.73%	0.0%	0.0%	0.46%	0.25%	0.57%	0.28%	0.0%	0.0%	0.0%	0.0%	0.22%	0.64%	0.28%	0.0%	0.30%	0.14%	0.46%	0.28%	0.58%	0.36%					
24	"7. ""Новый курс - Автомобильная Россия"""	329	19	5	3	1	2	5	8	5	6	8	18	6	8	20	26	24	7	6	7	3	5	6	3	2	6	16	8	4	4	13	0	8	6	10	11	11	6	6	5	5	3	4					
		0.92%	1.50%	0.45%	0.41%	0.15%	0.29%	0.41%	1.21%	0.60%	0.75%	0.66%	1.57%	0.71%	0.77%	1.42%	1.72%	1.68%	0.65%	0.58%	0.66%	0.70%	0.76%	1.47%	1.85%	1.31%	1.38%	1.33%	0.66%	0.56%	0.72%	1.46%	0.0%	1.66%	0.68%	1.07%	1.06%	1.01%	0.60%	0.87%	0.77%	0.70%	0.29%	0.73%					
25	"8. ""Народно-республиканская партия России"""	80	1	0	2	2	2	1	0	1	1	1	7	0	1	1	5	3	3	3	2	0	1	3	1	0	2	2	1	3	1	0	1	1	1	0	0	11	2	0	3	3	7	1					
		0.22%	0.07%	0.0%	0.27%	0.30%	0.29%	0.08%	0.0%	0.12%	0.12%	0.08%	0.61%	0.0%	0.09%	0.07%	0.33%	0.21%	0.28%	0.29%	0.19%	0.0%	0.15%	0.73%	0.61%	0.0%	0.46%	0.16%	0.08%	0.42%	0.18%	0.0%	0.70%	0.20%	0.11%	0.0%	0.0%	1.01%	0.20%	0.0%	0.46%	0.42%	0.67%	0.18%					
26	"9. ""Российская экологическая партия ""Зеленые"""	151	9	5	2	5	2	4	4	5	1	6	4	7	4	11	15	4	5	3	3	3	5	1	1	0	0	2	2	7	1	1	2	1	2	3	4	5	3	3	0	2	4	0					
		0.42%	0.71%	0.45%	0.27%	0.75%	0.29%	0.33%	0.60%	0.60%	0.12%	0.49%	0.34%	0.83%	0.38%	0.78%	0.99%	0.28%	0.47%	0.29%	0.28%	0.70%	0.76%	0.24%	0.61%	0.0%	0.0%	0.16%	0.16%	0.99%	0.18%	0.11%	1.40%	0.20%	0.22%	0.32%	0.38%	0.46%	0.30%	0.43%	0.0%	0.28%	0.38%	0.0%					
27	"10. ""Аграрная партия России"""	867	22	16	17	15	16	23	12	14	10	17	26	13	20	22	20	21	16	31	24	8	27	16	4	1	1	26	20	27	18	19	8	17	24	30	31	58	62	22	24	27	28	14					
		2.43%	1.74%	1.44%	2.37%	2.25%	2.34%	1.91%	1.81%	1.69%	1.25%	1.41%	2.26%	1.55%	1.94%	1.56%	1.32%	1.47%	1.50%	3.03%	2.29%	1.87%	4.10%	3.94%	2.46%	0.65%	0.23%	2.17%	1.65%	3.82%	3.26%	2.14%	5.63%	3.54%	2.74%	3.23%	2.99%	5.37%	6.23%	3.20%	3.69%	3.82%	2.70%	2.55%					
28	"11. ""Истинные патриоты России"""	73	0	1	0	0	0	6	2	1	0	0	0	0	0	4	3	1	0	5	4	2	9	1	0	0	3	12	0	0	0	0	0	0	0	1	1	8	0	3	2	0	1	3					
		0.20%	0.0%	0.09%	0.0%	0.0%	0.0%	0.49%	0.30%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.19%	0.07%	0.0%	0.48%	0.38%	0.46%	1.36%	0.24%	0.0%	0.0%	0.69%	1.00%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.09%	0.74%	0.0%	0.43%	0.30%	0.0%	0.09%	0.54%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	468	15	18	6	4	11	13	3	16	8	22	17	11	13	15	10	14	24	11	23	5	6	4	2	1	7	10	12	5	5	8	3	8	20	11	10	29	17	13	4	5	16	13					
		1.31%	1.19%	1.62%	0.83%	0.60%	1.61%	1.08%	0.45%	1.94%	1.00%	1.82%	1.48%	1.31%	1.26%	1.06%	0.66%	0.98%	2.25%	1.07%	2.19%	1.17%	0.91%	0.98%	1.23%	0.65%	1.61%	0.83%	0.99%	0.70%	0.90%	0.90%	2.11%	1.66%	2.28%	1.18%	0.96%	2.68%	1.71%	1.89%	0.61%	0.70%	1.54%	2.37%					
30	"13. ""Демократическая партия России"""	88	4	1	2	0	2	1	3	2	1	3	1	0	1	7	8	4	1	1	4	2	0	2	0	1	3	6	4	0	1	2	2	3	1	0	7	3	0	1	1	1	2	0					
		0.24%	0.31%	0.09%	0.27%	0.0%	0.29%	0.08%	0.45%	0.24%	0.12%	0.24%	0.08%	0.0%	0.09%	0.49%	0.52%	0.28%	0.09%	0.09%	0.38%	0.46%	0.0%	0.49%	0.0%	0.65%	0.69%	0.50%	0.33%	0.0%	0.18%	0.22%	1.40%	0.62%	0.11%	0.0%	0.67%	0.27%	0.0%	0.14%	0.15%	0.14%	0.19%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	80	1	1	3	1	0	1	2	2	2	3	1	1	0	4	7	2	0	0	3	2	0	2	1	0	1	9	1	2	0	3	0	0	3	4	2	5	0	3	2	2	3	1					
		0.22%	0.07%	0.09%	0.41%	0.15%	0.0%	0.08%	0.30%	0.24%	0.25%	0.24%	0.08%	0.11%	0.0%	0.28%	0.46%	0.14%	0.0%	0.0%	0.28%	0.46%	0.0%	0.49%	0.61%	0.0%	0.23%	0.75%	0.08%	0.28%	0.0%	0.33%	0.0%	0.0%	0.34%	0.43%	0.19%	0.46%	0.0%	0.43%	0.30%	0.28%	0.29%	0.18%					
32	"15. ""Партия СЛОН"""	101	0	0	0	2	0	0	2	1	1	0	2	1	2	16	30	18	4	3	1	2	1	0	0	0	1	1	1	1	0	2	0	0	0	1	3	1	2	1	0	0	1	0					
		0.28%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.30%	0.12%	0.12%	0.0%	0.17%	0.11%	0.19%	1.13%	1.98%	1.26%	0.37%	0.29%	0.09%	0.46%	0.15%	0.0%	0.0%	0.0%	0.23%	0.08%	0.08%	0.14%	0.0%	0.22%	0.0%	0.0%	0.0%	0.10%	0.28%	0.09%	0.20%	0.14%	0.0%	0.0%	0.09%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3009	133	141	67	68	81	108	47	66	76	76	84	85	77	82	67	153	92	104	118	58	53	31	19	19	30	89	113	76	49	59	8	48	81	86	87	71	73	30	43	42	66	53					
		8.46%	10.55%	12.71%	9.34%	10.21%	11.87%	8.97%	7.12%	8.00%	9.55%	6.30%	7.32%	10.16%	7.47%	5.82%	4.43%	10.76%	8.65%	10.16%	11.28%	13.61%	8.06%	7.63%	11.72%	12.5%	6.91%	7.42%	9.35%	10.76%	8.87%	6.66%	5.63%	10.0%	9.26%	9.28%	8.40%	6.57%	7.34%	4.37%	6.62%	5.94%	6.38%	9.68%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	107	0	0	3	2	2	1	0	2	3	5	2	1	2	12	5	3	6	6	7	2	5	1	0	0	3	7	3	2	1	2	0	1	1	3	1	0	1	2	2	3	4	1					
		0.30%	0.0%	0.0%	0.41%	0.30%	0.29%	0.08%	0.0%	0.24%	0.37%	0.41%	0.17%	0.11%	0.19%	0.85%	0.33%	0.21%	0.56%	0.58%	0.66%	0.46%	0.76%	0.24%	0.0%	0.0%	0.69%	0.58%	0.24%	0.28%	0.18%	0.22%	0.0%	0.20%	0.11%	0.32%	0.09%	0.0%	0.10%	0.29%	0.30%	0.42%	0.38%	0.18%					
35	"18. ""ЛДПР"""	6142	228	180	102	72	88	148	113	134	118	180	187	113	178	315	399	312	186	143	161	75	117	75	19	30	83	198	267	80	94	158	24	85	143	156	215	164	164	101	112	125	194	106					
		17.28%	18.09%	16.23%	14.22%	10.81%	12.90%	12.30%	17.12%	16.26%	14.84%	14.93%	16.31%	13.51%	17.28%	22.38%	26.42%	21.95%	17.49%	13.97%	15.39%	17.60%	17.80%	18.47%	11.72%	19.73%	19.12%	16.52%	22.10%	11.33%	17.02%	17.85%	16.90%	17.70%	16.36%	16.84%	20.77%	15.18%	16.49%	14.72%	17.25%	17.70%	18.76%	19.37%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	372	13	5	9	7	6	19	6	7	9	11	13	10	13	11	9	10	11	4	7	13	12	6	1	2	2	15	14	8	12	8	0	6	18	5	15	10	17	8	3	7	8	2					
		1.04%	1.03%	0.45%	1.25%	1.05%	0.87%	1.57%	0.90%	0.84%	1.13%	0.91%	1.13%	1.19%	1.26%	0.78%	0.59%	0.70%	1.03%	0.39%	0.66%	3.05%	1.82%	1.47%	0.61%	1.31%	0.46%	1.25%	1.15%	1.13%	2.17%	0.90%	0.0%	1.25%	2.05%	0.53%	1.44%	0.92%	1.71%	1.16%	0.46%	0.99%	0.77%	0.36%					
37	"20. ""Политическая партия ""Единая Россия"""	13878	476	471	301	297	270	523	292	339	335	514	512	321	424	471	385	540	460	408	410	159	229	163	55	52	168	468	498	275	217	349	54	182	365	356	367	388	357	287	244	297	399	200					
		39.04%	37.77%	42.47%	41.98%	44.59%	39.58%	43.47%	44.24%	41.14%	42.13%	42.65%	44.67%	38.39%	41.16%	33.47%	25.49%	38.00%	43.27%	39.88%	39.19%	37.32%	34.85%	40.14%	33.95%	34.21%	38.70%	39.06%	41.22%	38.95%	39.31%	39.43%	38.02%	37.91%	41.76%	38.44%	35.45%	35.92%	35.91%	41.83%	37.59%	42.06%	38.58%	36.56%					
38	"21. ""Российская Конституционно-демократическая партия"""	51	0	0	2	1	0	1	0	1	2	2	2	0	3	2	3	3	0	1	0	1	0	0	1	1	0	1	1	1	2	1	1	0	4	0	1	1	4	1	2	2	3	0					
		0.14%	0.0%	0.0%	0.27%	0.15%	0.0%	0.08%	0.0%	0.12%	0.25%	0.16%	0.17%	0.0%	0.29%	0.14%	0.19%	0.21%	0.0%	0.09%	0.0%	0.23%	0.0%	0.0%	0.61%	0.65%	0.0%	0.08%	0.08%	0.14%	0.36%	0.11%	0.70%	0.0%	0.45%	0.0%	0.09%	0.09%	0.40%	0.14%	0.30%	0.28%	0.29%	0.0%					
39	"22. ""Развитие предпринимательства"""	84	0	3	1	2	3	3	0	4	5	1	0	5	2	6	6	6	0	1	2	2	2	0	1	1	1	5	1	0	2	0	0	2	3	0	8	0	1	1	1	1	1	1					
		0.23%	0.0%	0.27%	0.13%	0.30%	0.43%	0.24%	0.0%	0.48%	0.62%	0.08%	0.0%	0.59%	0.19%	0.42%	0.39%	0.42%	0.0%	0.09%	0.19%	0.46%	0.30%	0.0%	0.61%	0.65%	0.23%	0.41%	0.08%	0.0%	0.36%	0.0%	0.0%	0.41%	0.34%	0.0%	0.77%	0.0%	0.10%	0.14%	0.15%	0.14%	0.09%	0.18%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3596	133	108	59	73	87	160	56	87	84	139	114	135	106	105	92	103	74	114	74	19	60	28	19	12	26	143	97	76	71	118	11	39	61	93	82	152	138	94	94	84	134	42					
		10.11%	10.55%	9.73%	8.22%	10.96%	12.75%	13.30%	8.48%	10.55%	10.56%	11.53%	9.94%	16.14%	10.29%	7.46%	6.09%	7.24%	6.96%	11.14%	7.07%	4.46%	9.13%	6.89%	11.72%	7.89%	5.99%	11.93%	8.02%	10.76%	12.86%	13.33%	7.74%	8.12%	6.97%	10.04%	7.92%	14.07%	13.88%	13.70%	14.48%	11.89%	12.95%	7.67%					
																																																	
41	Против всех	1549	37	49	31	19	16	49	23	27	29	47	46	30	37	119	153	62	59	34	48	16	24	19	13	11	23	38	49	25	26	30	10	25	20	44	60	47	33	22	18	21	30	30					
