Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Провиденская														
														
Сводная таблица итогов голосования  по федеральному округу														
														
		Сумма	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49					
1	"Число избирателей, внесенных в списки"	3376	1476	699	253	197	326	216	209					
2	"Число бюллетеней, полученных участковыми комиссиями"	3260	1406	664	249	208	303	218	212					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	34	0	15	0	5	0	0	14					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2290	811	482	207	167	271	190	162					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	95	49	0	7	7	20	9	3					
6	Число погашенных бюллетеней	840	546	166	35	29	12	19	33					
7	Число бюллетеней в переносных ящиках для голосования	129	49	15	7	12	20	9	17					
8	Число бюллетеней в стационарных ящиках для голосования	2289	811	481	207	167	271	190	162					
9	Число недействительных бюллетеней	26	14	1	3	2	0	0	6					
10	Число действительных бюллетеней	2392	846	495	211	177	291	199	173					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	179	19	60	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	112	14	50	2	19	11	14	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	32	5	3	1	11	1	0					
14	Число погашенных открепительных удостоверений	67	5	10	18	1	9	6	18					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	1	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	76	19	19	13	4	11	8	2					
		3.14%	2.20%	3.83%	6.07%	2.23%	3.78%	4.02%	1.11%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	66	32	18	3	4	3	2	4					
		2.72%	3.72%	3.62%	1.40%	2.23%	1.03%	1.00%	2.23%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	69	29	6	8	6	4	9	7					
		2.85%	3.37%	1.20%	3.73%	3.35%	1.37%	4.52%	3.91%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	36	24	5	1	1	1	2	2					
		1.48%	2.79%	1.00%	0.46%	0.55%	0.34%	1.00%	1.11%					
22	"5. ""За Русь Святую"""	9	4	3	0	1	0	1	0					
		0.37%	0.46%	0.60%	0.0%	0.55%	0.0%	0.50%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	1	3	0	2	0	0	0					
		0.24%	0.11%	0.60%	0.0%	1.11%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	12	3	9	0	0	0	0	0					
		0.49%	0.34%	1.81%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	1	0	0	0	0	0	1	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	6	2	1	1	0	0	0					
		0.41%	0.69%	0.40%	0.46%	0.55%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	25	11	8	4	0	2	0	0					
		1.03%	1.27%	1.61%	1.86%	0.0%	0.68%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	4	1	0	1	2	0	0	0					
		0.16%	0.11%	0.0%	0.46%	1.11%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	28	13	4	2	0	5	4	0					
		1.15%	1.51%	0.80%	0.93%	0.0%	1.71%	2.01%	0.0%					
30	"13. ""Демократическая партия России"""	5	3	0	1	0	1	0	0					
		0.20%	0.34%	0.0%	0.46%	0.0%	0.34%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	11	4	2	4	0	1	0	0					
		0.45%	0.46%	0.40%	1.86%	0.0%	0.34%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	4	2	0	1	1	0	0	0					
		0.16%	0.23%	0.0%	0.46%	0.55%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	76	44	17	7	0	3	2	3					
		3.14%	5.11%	3.42%	3.27%	0.0%	1.03%	1.00%	1.67%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	20	2	13	3	0	2	0	0					
		0.82%	0.23%	2.62%	1.40%	0.0%	0.68%	0.0%	0.0%					
35	"18. ""ЛДПР"""	272	83	143	4	10	13	10	9					
		11.24%	9.65%	28.83%	1.86%	5.58%	4.46%	5.02%	5.02%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	29	11	7	1	3	6	1	0					
		1.19%	1.27%	1.41%	0.46%	1.67%	2.06%	0.50%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	1464	480	198	145	133	226	146	136					
		60.54%	55.81%	39.91%	67.75%	74.30%	77.66%	73.36%	75.97%					
38	"21. ""Российская Конституционно-демократическая партия"""	1	0	0	0	0	0	1	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%					
39	"22. ""Развитие предпринимательства"""	8	4	3	1	0	0	0	0					
		0.33%	0.46%	0.60%	0.46%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	68	34	10	3	3	6	6	6					
		2.81%	3.95%	2.01%	1.40%	1.67%	2.06%	3.01%	3.35%					
														
41	Против всех	92	36	25	8	6	7	6	4					
		3.80%	4.18%	5.04%	3.73%	3.35%	2.40%	3.01%	2.23%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
