Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Исилькульская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237					
1	"Число избирателей, внесенных в списки"	33438	1019	1245	1010	1531	710	907	862	1008	648	812	958	958	940	838	1479	1076	732	1515	784	657	143	49	119	242	75	1162	57	318	251	123	268	225	301	250	653	315	137	1021	203	165	307	319	754	248	156	108	593	205	488	581	108	35	1195	434	204	246	256	192	198	1045					
2	"Число бюллетеней, полученных участковыми комиссиями"	32893	987	1231	961	1502	680	872	846	1011	638	798	919	934	940	804	1409	1056	736	1472	782	654	139	57	121	234	77	1136	59	306	244	117	267	220	291	251	645	327	139	1014	207	170	311	317	750	251	158	109	583	203	485	577	110	36	1194	437	201	240	251	192	199	1036					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18622	436	560	446	713	306	403	468	531	374	425	453	429	367	329	691	500	283	810	349	444	106	49	88	130	42	674	54	219	200	108	202	140	244	183	484	258	91	629	164	133	243	243	402	148	89	96	399	159	290	347	85	29	820	362	155	160	174	139	142	625					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	730	10	41	44	19	11	15	5	39	23	14	17	10	26	19	53	19	15	60	23	1	0	0	0	0	0	33	0	0	0	0	0	6	0	0	8	4	9	37	0	0	0	0	26	7	6	0	33	7	17	15	0	0	36	2	2	3	0	0	0	15					
6	Число погашенных бюллетеней	13541	541	630	471	770	363	454	373	441	241	359	449	495	547	456	665	537	438	602	410	209	33	8	33	104	35	429	5	87	44	9	65	74	47	68	153	65	39	348	43	37	68	74	322	96	63	13	151	37	178	215	25	7	338	73	44	77	77	53	57	396					
7	Число бюллетеней в переносных ящиках для голосования	730	10	41	44	19	11	15	5	39	23	14	17	10	26	19	53	19	15	60	23	1	0	0	0	0	0	33	0	0	0	0	0	6	0	0	8	4	9	37	0	0	0	0	26	7	6	0	33	7	17	15	0	0	36	2	2	3	0	0	0	15					
8	Число бюллетеней в стационарных ящиках для голосования	18618	436	560	446	713	306	403	466	531	373	425	453	429	367	329	691	500	282	810	349	444	106	49	88	130	42	674	54	219	200	108	202	140	244	183	484	258	91	629	164	133	243	243	402	148	89	96	399	159	290	347	85	29	820	362	155	160	174	139	142	625					
9	Число недействительных бюллетеней	303	2	4	7	8	6	10	3	9	9	4	4	6	4	3	3	6	8	9	3	12	1	0	1	1	0	6	0	2	16	1	3	0	1	2	7	18	0	12	1	1	4	8	4	2	4	0	13	12	11	11	0	0	22	0	3	5	3	0	0	8					
10	Число действительных бюллетеней	19045	444	597	483	724	311	408	468	561	387	435	466	433	389	345	741	513	289	861	369	433	105	49	87	129	42	701	54	217	184	107	199	146	243	181	485	244	100	654	163	132	239	235	424	153	91	96	419	154	296	351	85	29	834	364	154	158	171	139	142	632					
