Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Черкесская городская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52					
1	"Число избирателей, внесенных в списки"	83156	1726	2161	1917	1527	1659	2188	2267	1434	1151	817	1915	2708	1351	1797	1460	583	1707	1140	1340	1128	1421	1286	1085	797	1580	2168	1609	2027	1511	1037	897	2655	2294	985	1854	1524	1088	1295	1526	862	1468	951	1242	2134	2099	1192	1766	2777	1418	3136	1622	1874					
2	"Число бюллетеней, полученных участковыми комиссиями"	71793	1420	1890	1700	1290	1440	1850	1890	1280	1000	720	1670	2400	1200	1600	1270	525	1440	1000	1180	975	1180	1170	958	670	1365	1850	1400	1740	1400	945	780	2280	1980	885	1630	1350	980	1075	1350	810	1300	790	1030	1800	1820	1060	1520	2300	1275	2290	1470	1600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	29043	457	861	729	581	457	570	784	502	482	289	708	983	445	711	612	248	769	460	488	416	484	376	350	290	595	881	609	843	609	445	321	955	773	383	545	423	249	539	486	267	481	321	451	835	673	422	544	964	345	937	474	621					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	976	2	12	3	9	14	4	17	13	6	12	15	25	18	117	18	7	15	18	22	12	17	22	36	8	16	13	19	18	20	17	20	44	19	16	14	21	10	25	19	22	12	7	9	19	19	85	6	10	23	7	10	14					
6	Число погашенных бюллетеней	41774	961	1017	968	700	969	1276	1089	765	512	419	947	1392	737	772	640	270	656	522	670	547	679	772	572	372	754	956	772	879	771	483	439	1281	1188	486	1071	906	721	511	845	521	807	462	570	946	1128	553	970	1326	907	1346	986	965					
7	Число бюллетеней в переносных ящиках для голосования	976	2	12	3	9	14	4	17	13	6	12	15	25	18	117	18	7	15	18	22	12	17	22	36	8	16	13	19	18	20	17	20	44	19	16	14	21	10	25	19	22	12	7	9	19	19	85	6	10	23	7	10	14					
8	Число бюллетеней в стационарных ящиках для голосования	29039	457	861	729	581	457	570	784	502	482	289	708	983	445	711	612	248	766	460	488	416	484	376	349	290	595	881	609	843	609	445	321	955	773	383	545	423	249	539	486	267	481	321	451	835	673	422	544	964	345	937	474	621					
9	Число недействительных бюллетеней	273	10	7	5	4	2	5	10	3	6	2	6	6	3	9	4	3	8	9	4	5	4	3	5	1	6	9	4	8	7	5	1	8	10	3	11	5	1	3	0	5	4	2	3	14	8	5	2	9	5	7	2	2					
10	Число действительных бюллетеней	29742	449	866	727	586	469	569	791	512	482	299	717	1002	460	819	626	252	773	469	506	423	497	395	380	297	605	885	624	853	622	457	340	991	782	396	548	439	258	561	505	284	489	326	457	840	684	502	548	965	363	937	482	633					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	520	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	18	10	10	10	10	10	9	11	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	196	7	2	0	3	4	2	3	3	4	0	6	3	2	2	4	0	8	2	1	4	3	2	3	3	5	10	10	8	9	6	2	5	5	2	4	1	0	4	0	1	18	4	2	3	0	3	2	11	1	1	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	131	6	7	0	2	0	4	5	1	0	0	0	2	0	3	3	2	1	7	2	2	5	1	2	1	1	7	5	5	4	3	1	4	1	4	1	2	0	6	3	0	4	0	1	5	3	1	3	1	1	3	3	3					
14	Число погашенных открепительных удостоверений	324	3	8	10	7	6	8	7	7	6	10	4	7	8	8	6	2	2	8	9	6	7	8	7	7	5	0	0	2	1	4	8	5	5	8	6	9	10	6	10	9	0	6	8	7	10	7	7	0	9	9	5	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	"1. ""ЕДИНЕНИЕ"""	344	10	10	9	2	2	10	11	9	4	2	10	10	2	13	15	2	11	2	10	6	7	2	0	3	7	5	4	8	6	10	6	5	10	5	12	4	7	7	5	0	6	3	6	4	10	5	9	9	6	9	7	7					
		1.14%	2.17%	1.14%	1.22%	0.33%	0.42%	1.74%	1.37%	1.74%	0.81%	0.66%	1.38%	0.99%	0.43%	1.57%	2.38%	0.78%	1.40%	0.41%	1.96%	1.40%	1.39%	0.50%	0.0%	1.00%	1.14%	0.55%	0.63%	0.92%	0.95%	2.16%	1.75%	0.50%	1.26%	1.25%	2.14%	0.90%	2.70%	1.24%	0.99%	0.0%	1.21%	0.91%	1.30%	0.46%	1.44%	0.98%	1.63%	0.92%	1.63%	0.95%	1.44%	1.10%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	684	7	14	12	5	9	6	12	8	7	9	7	23	9	26	19	8	22	14	16	16	12	5	6	2	16	20	9	58	20	10	6	14	23	4	11	10	8	15	10	7	13	9	7	17	12	13	13	27	7	18	16	17					
		2.27%	1.52%	1.60%	1.63%	0.84%	1.91%	1.04%	1.49%	1.55%	1.43%	2.99%	0.96%	2.28%	1.94%	3.14%	3.01%	3.13%	2.81%	2.92%	3.13%	3.73%	2.39%	1.25%	1.55%	0.67%	2.61%	2.23%	1.43%	6.73%	3.17%	2.16%	1.75%	1.40%	2.90%	1.00%	1.96%	2.25%	3.08%	2.65%	1.98%	2.42%	2.63%	2.74%	1.52%	1.99%	1.73%	2.56%	2.36%	2.77%	1.90%	1.90%	3.30%	2.67%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1413	17	51	51	23	17	34	32	22	29	18	24	76	18	37	17	21	32	22	25	18	21	14	9	13	29	43	47	35	18	22	10	57	28	29	36	13	5	18	15	10	22	17	22	58	55	28	25	41	13	44	9	23					
		4.70%	3.70%	5.84%	6.96%	3.89%	3.60%	5.92%	3.99%	4.27%	5.94%	5.98%	3.31%	7.53%	3.88%	4.46%	2.69%	8.23%	4.09%	4.60%	4.90%	4.20%	4.19%	3.51%	2.33%	4.36%	4.74%	4.80%	7.48%	4.06%	2.86%	4.76%	2.93%	5.70%	3.53%	7.26%	6.44%	2.92%	1.93%	3.19%	2.97%	3.46%	4.46%	5.18%	4.78%	6.79%	7.94%	5.52%	4.54%	4.20%	3.53%	4.66%	1.85%	3.62%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1248	15	27	32	15	13	11	15	19	18	7	40	44	20	34	28	16	31	29	23	12	25	15	20	7	49	43	42	53	39	16	29	35	46	9	12	24	12	20	14	18	20	16	18	29	40	9	29	26	12	31	16	25					
		4.15%	3.26%	3.09%	4.37%	2.54%	2.76%	1.91%	1.87%	3.68%	3.68%	2.32%	5.53%	4.36%	4.31%	4.10%	4.44%	6.27%	3.96%	6.06%	4.50%	2.80%	4.99%	3.76%	5.19%	2.34%	8.01%	4.80%	6.68%	6.15%	6.20%	3.46%	8.50%	3.50%	5.80%	2.25%	2.14%	5.40%	4.63%	3.54%	2.77%	6.22%	4.05%	4.87%	3.91%	3.39%	5.78%	1.77%	5.27%	2.66%	3.26%	3.28%	3.30%	3.93%					
22	"5. ""За Русь Святую"""	148	4	5	8	1	2	1	3	3	5	2	3	10	1	4	3	1	2	2	1	3	4	4	2	1	3	4	3	5	2	5	2	7	4	1	4	0	1	2	2	0	1	2	2	3	3	2	2	4	0	5	2	2					
