Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Приволжская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673					
1	"Число избирателей, внесенных в списки"	22046	551	317	101	342	293	298	328	1101	456	551	186	152	382	240	304	752	1375	1411	1511	1336	1009	805	825	1110	1231	1175	1047	1386	1471					
2	"Число бюллетеней, полученных участковыми комиссиями"	22800	570	340	110	500	300	310	330	1100	460	570	200	160	650	260	450	690	1400	1400	1520	1340	1030	800	860	1100	1230	1140	1060	1420	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10816	195	234	73	270	131	166	182	510	212	257	73	76	289	124	211	326	666	688	741	642	556	390	399	463	594	463	421	727	737					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1475	151	16	18	72	53	49	25	71	41	27	9	5	93	62	93	124	53	31	17	44	58	54	19	95	35	23	26	76	35					
6	Число погашенных бюллетеней	10509	224	90	19	158	116	95	123	519	207	286	118	79	268	74	146	240	681	681	762	654	416	356	442	542	601	654	613	617	728					
7	Число бюллетеней в переносных ящиках для голосования	1475	151	16	18	72	53	49	25	71	41	27	9	5	93	62	93	124	53	31	17	44	58	54	19	95	35	23	26	76	35					
8	Число бюллетеней в стационарных ящиках для голосования	10814	195	234	73	270	131	166	182	510	212	257	73	76	289	124	211	326	666	688	741	642	556	390	399	463	594	463	421	727	735					
9	Число недействительных бюллетеней	120	2	1	0	3	2	3	0	10	1	4	1	1	0	1	5	2	10	2	8	4	12	3	6	6	8	6	3	10	6					
10	Число действительных бюллетеней	12169	344	249	91	339	182	212	207	571	252	280	81	80	382	185	299	448	709	717	750	682	602	441	412	552	621	480	444	793	764					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	5	5	5	6	5	5	5	8	5	7	5	4	35	5	5	9	9	6	6	6	6	6	6	6	6	6	6	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	52	5	5	0	6	3	0	0	4	0	7	0	2	0	0	2	1	0	4	3	2	0	0	1	0	2	2	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	1	1	0	1	0	1	0	3	2	2	0	1	1	2	0	6	10	2	4	4	3	1	3	0	1	2	2	1	1					
14	Число погашенных открепительных удостоверений	143	0	0	5	0	2	5	5	4	5	0	5	2	35	5	3	8	9	2	3	0	6	5	5	6	4	4	5	5	5					
