Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Усть-Янская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4646	380	970	1008	75	507	206	125	403	440	198	280	54									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4700	368	867	1014	70	484	300	195	416	484	196	246	60									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	182	45	0	0	7	0	59	0	37	0	20	14	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2282	236	376	456	48	208	139	115	199	206	102	144	53									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	224	16	0	84	0	43	8	10	20	24	10	8	1									
6	Число погашенных избирательных бюллетеней	2012	71	491	474	15	233	94	70	160	254	64	80	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	406	61	0	84	7	43	67	10	57	24	30	22	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2278	236	376	452	48	208	139	115	199	206	102	144	53									
9	Число недействительных избирательных бюллетеней	23	3	4	4	0	4	0	1	3	3	0	0	1									
10	Число действительных избирательных бюллетеней	2661	294	372	532	55	247	206	124	253	227	132	166	53									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	164	20	15	15	5	31	20	5	15	15	9	10	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	63	2	6	5	0	1	14	0	15	15	3	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	1	5	1	0	1	13	0	6	0	1	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	101	18	9	10	5	30	6	5	0	0	6	8	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	2	8	11	0	1	3	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	63	10	5	15	0	10	2	4	2	5	3	6	1									
		2.35%	3.37%	1.33%	2.80%	0.00%	3.98%	0.97%	3.20%	0.78%	2.17%	2.27%	3.61%	1.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	84	8	9	13	4	6	10	2	8	14	2	6	2									
		3.13%	2.69%	2.39%	2.43%	7.27%	2.39%	4.85%	1.60%	3.13%	6.09%	1.52%	3.61%	3.70%									
