Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Ливенская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24805	339	585	564	372	485	711	472	819	612	398	1342	375	367	1766	577	326	258	1231	334	688	674	426	340	349	831	392	276	376	365	335	181	389	314	283	300	1975	232	304	899	169	607	839	426	902									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25450	362	593	576	373	489	730	488	831	617	407	1339	386	370	1781	580	328	257	1268	343	721	684	428	346	347	861	406	279	405	381	359	198	414	424	291	306	2006	238	328	908	166	623	849	438	926									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14163	228	266	262	239	174	496	222	471	404	152	614	225	112	1081	316	221	174	642	152	337	365	299	172	207	397	152	105	256	179	190	113	212	211	152	124	1287	137	179	569	110	250	738	384	587									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3564	38	111	117	32	126	59	130	39	135	122	204	59	92	92	64	37	19	54	110	117	193	83	94	46	67	100	124	28	101	55	17	73	103	61	78	49	57	40	134	22	208	30	26	18									
6	Число погашенных избирательных бюллетеней	7723	96	216	197	102	189	175	136	321	78	133	521	102	166	608	200	70	64	572	81	267	126	46	80	94	397	154	50	121	101	114	68	129	110	78	104	670	44	109	205	34	165	81	28	321									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3563	38	111	117	32	126	59	130	39	135	122	204	59	92	92	64	37	19	54	110	117	193	83	94	46	67	100	123	28	101	55	17	73	103	61	78	49	57	40	134	22	208	30	26	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14163	228	266	262	239	174	496	222	471	404	152	614	225	112	1081	316	221	174	642	152	337	365	299	172	207	397	152	105	256	179	190	113	212	211	152	124	1287	137	179	569	110	250	738	384	587									
9	Число недействительных избирательных бюллетеней	330	3	3	4	3	2	3	0	10	7	0	20	0	0	13	5	2	2	15	1	0	3	8	5	2	8	0	2	1	2	5	1	6	7	5	7	93	1	9	3	0	0	55	3	11									
10	Число действительных избирательных бюллетеней	17396	263	374	375	268	298	552	352	500	532	274	798	284	204	1160	375	256	191	681	261	454	555	374	261	251	456	252	226	283	278	240	129	279	307	208	195	1243	193	210	700	132	458	713	407	594									
