Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Амурская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	49196	1658	1809	1672	1613	1629	1328	1571	1594	1725	1529	1560	1663	1673	1864	1690	1701	1847	1612	1491	1529	112	477	1368	1276	1773	1185	1255	1629	569	179	1149	173	60	1509	379	520	229	670	61	1522	228	97	18									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49275	1700	1850	1650	1600	1600	1300	1550	1600	1750	1550	1600	1700	1700	1900	1700	1700	1850	1650	1500	1550	150	450	1350	1250	1750	1200	1250	1600	550	200	1100	150	50	1550	350	500	250	650	55	1550	200	100	20									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	2	0	24	0	0	2									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16398	674	616	549	380	511	418	571	605	604	384	415	413	502	476	579	410	566	549	502	472	84	166	521	510	744	484	401	558	467	84	319	46	37	425	181	225	90	227	55	406	112	48	12									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	904	8	18	16	24	40	17	26	30	17	15	13	27	16	19	8	18	19	13	6	12	28	9	71	1	10	12	20	9	0	7	42	3	0	133	3	31	13	90	0	55	0	5	0									
6	Число погашенных избирательных бюллетеней	31916	1018	1216	1085	1196	1049	865	953	965	1129	1151	1172	1260	1182	1405	1113	1272	1265	1088	992	1066	38	275	758	739	996	704	829	1033	83	109	739	101	13	992	166	215	147	331	0	1065	88	47	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	961	8	18	16	24	40	17	26	30	17	15	13	27	16	19	8	18	19	13	6	12	28	9	71	1	10	12	20	9	0	7	42	3	0	133	3	60	13	92	0	79	0	5	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16357	670	616	549	380	511	418	571	575	604	384	415	413	502	476	577	408	566	549	502	470	84	166	521	510	744	484	401	557	467	84	319	46	37	425	181	225	90	227	55	406	112	48	12									
9	Число недействительных избирательных бюллетеней	417	13	17	21	9	20	17	23	15	18	4	17	6	15	8	11	16	11	18	16	10	2	1	32	12	14	12	13	10	10	1	1	0	0	10	0	1	4	2	0	6	1	0	0									
10	Число действительных избирательных бюллетеней	16901	665	617	544	395	531	418	574	590	603	395	411	434	503	487	574	410	574	544	492	472	110	174	560	499	740	484	408	556	457	90	360	49	37	548	184	284	99	317	55	479	111	53	14									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	890	25	25	25	25	25	20	20	25	25	20	20	20	25	25	35	20	35	35	35	25	0	20	35	15	15	15	15	15	10	10	30	10	5	35	20	10	70	10	5	20	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	429	18	18	11	10	6	6	12	13	13	5	5	9	11	7	3	5	12	20	12	7	0	4	19	5	14	8	5	6	0	10	3	1	0	35	11	0	70	10	5	20	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	324	8	4	20	8	11	12	11	14	15	6	2	16	6	11	2	9	17	6	14	6	29	1	13	3	4	2	2	3	12	2	8	2	4	15	1	2	6	2	5	3	4	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	461	7	7	14	15	19	14	8	12	12	15	15	11	14	18	32	15	23	15	23	18	0	16	16	10	1	7	10	9	10	0	27	9	5	0	9	10	0	0	0	0	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	243	10	21	7	3	9	9	11	16	7	11	7	12	8	7	11	5	8	9	7	3	0	4	14	6	3	2	1	2	1	12	4	1	0	4	5	0	3	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	261	21	5	5	8	10	7	7	16	6	2	3	8	8	8	7	4	12	6	8	7	0	2	6	6	6	7	8	5	19	3	5	0	1	4	2	4	3	7	1	9	4	0	1									
