Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Коченевская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471					
1	"Число избирателей, внесенных в списки"	35591	1031	326	254	1144	193	494	298	655	105	78	965	75	118	504	146	890	69	123	2626	845	953	337	535	397	329	194	231	107	530	93	85	638	203	164	97	172	550	516	618	160	162	2103	1276	2470	2107	1177	2372	2129	1957	1990					
2	"Число бюллетеней, полученных участковыми комиссиями"	35118	1035	265	245	1140	186	510	300	665	108	79	955	82	137	505	141	885	69	120	2585	875	960	335	515	385	315	197	225	111	515	99	109	615	205	166	97	165	560	515	620	159	148	2010	1265	2490	2085	1175	2500	1955	1860	1875					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17879	477	142	163	623	131	281	191	322	84	50	485	36	83	303	97	495	55	78	1498	315	382	152	298	226	162	121	201	91	317	64	44	363	159	136	54	115	312	317	304	103	105	895	593	1133	844	521	1009	967	1091	891					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1013	54	29	0	51	0	31	23	31	0	0	37	20	0	22	0	25	0	0	33	12	8	17	44	11	65	7	0	0	18	0	11	26	0	0	0	0	21	6	8	7	0	38	34	34	86	18	67	71	22	26					
6	Число погашенных бюллетеней	16226	504	94	82	466	55	198	86	312	24	29	433	26	54	180	44	365	14	42	1054	548	570	166	173	148	88	69	24	20	180	35	54	226	46	30	43	50	227	192	308	49	43	1077	638	1323	1155	636	1424	917	747	958					
7	Число бюллетеней в переносных ящиках для голосования	1013	54	29	0	51	0	31	23	31	0	0	37	20	0	22	0	25	0	0	33	12	8	17	44	11	65	7	0	0	18	0	11	26	0	0	0	0	21	6	8	7	0	38	34	34	86	18	67	71	22	26					
8	Число бюллетеней в стационарных ящиках для голосования	17870	477	142	163	623	131	281	191	322	84	50	485	36	83	302	97	495	55	78	1498	315	382	152	298	226	162	121	201	91	317	64	44	363	159	136	54	115	312	317	304	103	105	892	592	1133	844	521	1008	967	1090	889					
9	Число недействительных бюллетеней	627	15	10	7	22	0	37	10	14	1	2	11	4	3	17	3	11	0	1	30	10	19	8	5	15	3	3	4	8	20	0	6	16	5	0	3	11	8	12	17	4	0	24	15	17	21	26	38	44	24	43					
10	Число действительных бюллетеней	18256	516	161	156	652	131	275	204	339	83	48	511	52	80	307	94	509	55	77	1501	317	371	161	337	222	224	125	197	83	315	64	49	373	154	136	51	104	325	311	295	106	105	906	611	1150	909	513	1037	994	1088	872					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	197	3	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	8	5	5	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	9	9	10	9	9	10	9	17	17					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	69	0	2	0	3	0	1	1	0	0	0	0	1	0	0	0	2	1	0	6	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	1	2	0	2	5	1	6	3	4	5	2	10	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	2	1	0	0	1	0	1	5	1	0	4	0	0	0	0	0	0	0	8	2	0	0	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	11	4	0	1	1	2	3					
14	Число погашенных открепительных удостоверений	128	3	0	2	0	2	1	1	3	2	2	2	1	2	2	2	0	1	2	2	5	5	2	2	0	1	2	2	2	2	2	2	1	2	2	2	2	1	1	0	2	0	4	8	4	6	5	5	7	7	12					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
