Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Дубенская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10615	2240	1913	347	1333	714	564	389	395	351	534	233	333	247	465	557									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10310	2200	1800	350	1300	700	550	350	400	350	500	230	340	240	450	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4596	874	1029	251	620	313	170	167	128	138	160	102	155	88	197	204									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	722	72	28	57	89	59	54	35	82	19	57	7	33	27	27	76									
6	Число погашенных избирательных бюллетеней	4992	1254	743	42	591	328	326	148	190	193	283	121	152	125	226	270									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	722	72	28	57	89	59	54	35	82	19	57	7	33	27	27	76									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4596	874	1029	251	620	313	170	167	128	138	160	102	155	88	197	204									
9	Число недействительных избирательных бюллетеней	114	31	28	14	11	6	4	0	1	7	2	0	3	3	2	2									
10	Число действительных избирательных бюллетеней	5204	915	1029	294	698	366	220	202	209	150	215	109	185	112	222	278									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	140	20	15	14	15	10	6	6	5	5	6	5	15	5	6	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	91	13	11	14	11	4	6	2	2	1	1	5	11	0	3	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	15	17	4	10	8	3	1	3	4	2	1	3	3	2	15									
14	Число погашенных неиспользованных открепительных удостоверений	49	7	4	0	4	6	0	4	3	4	5	0	4	5	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	6	10	0	3	0	0	0	0	1	0	0	0	1	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	76	20	11	3	8	6	2	1	2	2	4	0	4	7	1	5									
		1.43%	2.11%	1.04%	0.97%	1.13%	1.61%	0.89%	0.50%	0.95%	1.27%	1.84%	0.00%	2.13%	6.09%	0.45%	1.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	116	30	20	7	14	9	6	4	5	5	4	2	0	0	4	6									
		2.18%	3.17%	1.89%	2.27%	1.97%	2.42%	2.68%	1.98%	2.38%	3.18%	1.84%	1.83%	0.00%	0.00%	1.79%	2.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	133	21	26	15	7	13	0	9	7	3	8	2	4	4	9	5									
		2.50%	2.22%	2.46%	4.87%	0.99%	3.49%	0.00%	4.46%	3.33%	1.91%	3.69%	1.83%	2.13%	3.48%	4.02%	1.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3229	478	652	173	466	209	128	146	143	85	137	83	118	81	138	192									
		60.72%	50.53%	61.68%	56.17%	65.73%	56.18%	57.14%	72.28%	68.10%	54.14%	63.13%	76.15%	62.77%	70.43%	61.61%	68.57%									
