Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    территориальная избирательная комиссия округа Муром																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880					
1	"Число избирателей, внесенных в списки избирателей"	112484	1148	1349	2034	1973	2202	2611	1861	1619	1311	2258	2221	2434	2046	1940	2292	2072	1913	2319	2546	2428	2065	2022	1074	2373	2245	2465	2072	2489	1886	1647	2173	2080	2262	2270	2470	2166	1992	1910	1991	1281	1741	2206	1815	2725	1838	1679	2081	1824	2355	642	961	2163	358	1285	2297	1741	1508	1755					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	95280	940	1060	1650	1630	1800	2010	1430	1490	1060	1900	1865	1980	1670	1590	1940	1730	1600	1970	2110	2080	2010	1660	790	2010	1980	1970	1720	2135	1540	1450	1820	1715	1910	1930	2095	1790	1600	1720	1740	1030	1580	1870	1580	2240	1730	1540	1830	1670	2000	600	850	1890	470	1050	1930	1490	1230	1610					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	73051	778	937	1323	1263	1537	1761	1287	1232	903	1409	1385	1556	1349	1271	1359	1353	1248	1524	1691	1562	1373	1156	570	1491	1364	1391	1386	1601	1154	1160	1301	1306	1460	1562	1585	1421	1314	1317	1232	695	1103	1417	1169	1845	1240	1077	1458	1199	1603	417	720	1314	308	829	1494	1069	992	1230					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4109	57	78	46	59	51	52	50	83	49	115	93	54	47	57	103	63	77	42	41	57	43	67	149	83	107	194	51	46	93	55	66	84	73	70	55	57	55	93	33	114	71	46	109	107	61	79	42	82	67	47	31	80	50	71	88	107	28	81					
6	Число погашенных избирательных бюллетеней	18120	105	45	281	308	212	197	93	175	108	376	387	370	274	262	478	314	275	404	378	461	594	437	71	436	509	385	283	488	293	235	453	325	377	298	455	312	231	310	475	221	406	407	302	288	429	384	330	389	330	136	99	496	112	150	348	314	210	299					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4109	57	78	46	59	51	52	50	83	49	115	93	54	47	57	103	63	77	42	41	57	43	67	149	83	107	194	51	46	93	55	66	84	73	70	55	57	55	93	33	114	71	46	109	107	61	79	42	82	67	47	31	80	50	71	88	107	28	81					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	73028	778	937	1323	1263	1536	1761	1287	1232	902	1409	1384	1556	1348	1271	1359	1353	1248	1524	1684	1562	1372	1156	570	1491	1364	1389	1386	1598	1154	1160	1301	1304	1460	1561	1585	1421	1314	1317	1232	695	1103	1417	1169	1845	1240	1076	1458	1199	1603	417	720	1314	308	828	1493	1069	992	1230					
9	Число недействительных избирательных бюллетеней	834	6	9	27	15	12	19	8	20	9	12	12	25	19	9	13	7	12	23	22	11	16	18	9	24	20	24	22	9	13	10	12	13	19	16	12	11	17	20	18	13	8	11	11	19	16	18	14	21	27	4	3	20	0	11	15	12	8	10					
10	Число действительных избирательных бюллетеней	76303	829	1006	1342	1307	1575	1794	1329	1295	942	1512	1465	1585	1376	1319	1449	1409	1313	1543	1703	1608	1399	1205	710	1550	1451	1559	1415	1635	1234	1205	1355	1375	1514	1615	1628	1467	1352	1390	1247	796	1166	1452	1267	1933	1285	1137	1486	1260	1643	460	748	1374	358	888	1566	1164	1012	1301					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1796	22	60	21	21	42	49	36	40	12	23	23	35	41	30	31	40	40	44	52	55	26	26	12	35	33	25	41	55	20	28	23	22	23	33	25	22	20	50	21	12	70	50	20	38	50	28	21	29	35	18	15	22	7	24	25	30	25	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1558	17	51	21	20	40	49	32	36	12	23	23	35	34	29	27	30	24	44	52	43	22	26	12	33	31	25	36	33	20	28	23	21	23	30	23	17	20	41	21	8	32	46	14	34	47	26	17	26	31	11	15	18	1	24	16	30	18	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1680	12	49	58	31	90	169	114	87	125	16	22	8	35	25	13	15	14	12	23	15	28	31	46	20	21	58	33	18	8	30	15	27	25	8	29	31	11	15	20	38	31	20	6	12	11	11	14	16	12	13	6	18	2	17	15	16	5	10					
14	Число погашенных неиспользованных открепительных удостоверений	238	5	9	0	1	2	0	4	4	0	0	0	0	7	1	4	10	16	0	0	12	4	0	0	2	2	0	5	22	0	0	0	1	0	3	2	5	0	9	0	4	38	4	6	4	3	2	4	3	4	7	0	4	6	0	9	0	7	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	0	2	1	0	3	1	1	1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	39	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
