Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Тобольская городская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684					
1	"Число избирателей, внесенных в списки избирателей"	83868	1508	2291	1777	2516	1615	1833	2061	1938	1679	1420	1444	2549	2133	2688	1637	1973	1560	1344	2145	2100	1376	2412	3022	3180	2716	3058	1578	2128	2026	946	1057	1088	1408	1045	1491	1455	1040	1420	275	696	586	1175	1902	1821	1711	1158	1503	1441	140	82	721					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	75194	1350	2100	1500	2250	1400	1650	1750	1750	1500	1300	1350	2250	1950	2400	1450	1500	1400	1200	1900	1950	1200	2100	2650	2800	2550	2750	1500	2000	1850	850	950	1000	1200	950	1350	1350	1000	1300	250	600	550	1050	1750	1650	1500	1050	1400	1350	118	76	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	55566	995	1539	1067	1603	1090	1204	1366	1230	1130	985	1005	1581	1354	1831	1030	1398	1038	863	1337	1389	845	1491	1947	2081	1755	2051	1247	1403	1443	551	717	699	878	647	948	823	637	913	195	464	434	796	1339	1257	1220	727	1170	1140	97	73	543					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1464	29	57	15	49	27	14	214	13	30	58	38	59	21	16	7	21	25	3	11	21	13	14	19	19	24	14	15	19	15	5	20	18	24	29	28	51	61	22	16	36	23	56	59	34	31	21	18	20	4	1	7					
6	Число погашенных избирательных бюллетеней	18164	326	504	418	598	283	432	170	507	340	257	307	610	575	553	413	81	337	334	552	540	342	595	684	700	771	685	238	578	392	294	213	283	298	274	374	476	302	365	39	100	93	198	352	359	249	302	212	190	17	2	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1464	29	57	15	49	27	14	214	13	30	58	38	59	21	16	7	21	25	3	11	21	13	14	19	19	24	14	15	19	15	5	20	18	24	29	28	51	61	22	16	36	23	56	59	34	31	21	18	20	4	1	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	55523	995	1539	1067	1603	1090	1204	1366	1230	1130	985	1005	1581	1351	1819	1030	1390	1038	863	1337	1389	845	1490	1947	2081	1755	2051	1247	1384	1443	551	717	699	878	647	948	823	637	913	195	464	434	796	1339	1257	1220	727	1170	1140	97	73	543					
9	Число недействительных избирательных бюллетеней	621	14	21	16	15	12	7	15	12	15	17	15	17	22	29	13	23	12	22	15	11	5	12	26	16	26	25	14	13	17	4	10	5	10	3	10	5	7	11	2	3	2	4	12	5	10	11	15	11	1	0	3					
10	Число действительных избирательных бюллетеней	56366	1010	1575	1066	1637	1105	1211	1565	1231	1145	1026	1028	1623	1350	1806	1024	1388	1051	844	1333	1399	853	1492	1940	2084	1753	2040	1248	1390	1441	552	727	712	892	673	966	869	691	924	209	497	455	848	1386	1286	1241	737	1173	1149	100	74	547					
