Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Тобольская городская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644					
1	"Число избирателей, внесенных в список избирателей"	83448	1378	1789	1261	2964	1502	1952	2182	1602	1705	1823	1868	1912	1588	2103	1748	1777	1537	1294	2886	2898	1188	1302	1493	2739	2053	2943	2103	2926	1420	544	1416	1114	1332	1024	1959	1162	1088	1400	1193	714	575	1125	1906	1805	1779	1153	1510	1560	130	1883	878	262					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74720	1200	1650	1050	2700	1350	1750	1950	1550	1550	1600	1650	1750	1400	1900	1550	1600	1350	1200	2550	2600	1050	1150	1350	2650	1800	2650	1850	2600	1300	500	1250	950	1150	800	1750	1000	950	1250	1050	650	500	1050	1750	1600	1600	1000	1400	1450	120	1700	700	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	50209	785	1163	680	1788	881	1104	1329	1052	1089	1076	1109	1106	907	1260	970	1121	946	625	1655	1797	736	734	860	1832	1177	1757	1285	1796	902	254	776	577	761	567	1025	556	585	806	713	414	377	849	1679	1105	1118	653	1004	963	79	1083	583	160					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	630	17	6	5	33	12	5	6	10	10	26	9	9	5	7	12	11	13	4	19	18	2	4	4	40	6	9	7	4	10	4	8	6	12	8	20	14	6	5	7	28	0	23	20	17	9	16	7	6	0	6	4	81					
6	Число погашенных избирательных бюллетеней	23881	398	481	365	879	457	641	615	488	451	498	532	635	488	633	568	468	391	571	876	785	312	412	486	778	617	884	558	800	388	242	466	367	377	225	705	430	359	439	330	208	123	178	51	478	473	331	389	481	41	611	113	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	630	17	6	5	33	12	5	6	10	10	26	9	9	5	7	12	11	13	4	19	18	2	4	4	40	6	9	7	4	10	4	8	6	12	8	20	14	6	5	7	28	0	23	20	17	9	16	7	6	0	6	4	81					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50190	785	1163	680	1787	881	1104	1323	1052	1089	1075	1109	1106	907	1260	967	1120	946	625	1655	1797	736	734	860	1832	1175	1757	1285	1796	902	254	776	577	761	567	1025	555	585	806	713	414	377	849	1679	1102	1118	652	1004	963	79	1083	583	160					
9	Число недействительных избирательных бюллетеней	770	4	40	13	34	10	12	17	17	12	21	5	14	18	22	24	26	7	14	5	9	7	11	18	35	17	31	15	33	6	4	9	16	17	8	8	5	13	18	19	4	17	13	5	24	18	11	22	21	1	14	3	3					
10	Число действительных избирательных бюллетеней	50050	798	1129	672	1786	883	1097	1312	1045	1087	1080	1113	1101	894	1245	955	1105	952	615	1669	1806	731	727	846	1837	1164	1735	1277	1767	906	254	775	567	756	567	1037	564	578	793	701	438	360	859	1694	1095	1109	657	989	948	78	1075	584	238					
