Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №7 																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29370	2866	2646	2218	2264	2487	2315	2653	2382	1892	2804	2737	2106									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27000	2500	2500	2000	2000	2500	2000	2500	2500	1500	2500	2500	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8972	867	774	800	631	793	744	730	759	686	777	810	601									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	53	2	4	6	2	3	11	3	9	3	3	3	4									
6	Число погашенных избирательных бюллетеней	17975	1631	1722	1194	1367	1704	1245	1767	1732	811	1720	1687	1395									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	52	2	4	6	2	3	11	3	9	3	2	3	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8937	866	769	800	631	793	744	730	756	686	776	810	576									
9	Число недействительных избирательных бюллетеней	214	24	3	29	18	7	23	21	20	22	15	20	12									
10	Число действительных избирательных бюллетеней	8775	844	770	777	615	789	732	712	745	667	763	793	568									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	440	45	30	30	30	30	30	30	45	30	30	60	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	279	34	16	26	19	17	18	15	32	12	19	32	39									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	85	11	7	5	2	11	12	13	2	4	4	9	5									
14	Число погашенных неиспользованных открепительных удостоверений	161	11	14	4	11	13	12	15	13	18	11	28	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	5	4	0	4	2	4	1	3	2	6	7	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	215	23	17	12	13	16	16	15	29	14	25	23	12									
		2.39%	2.65%	2.20%	1.49%	2.05%	2.01%	2.12%	2.05%	3.79%	2.03%	3.21%	2.83%	2.07%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	100	8	14	5	6	13	8	11	9	5	5	9	7									
		1.11%	0.92%	1.81%	0.62%	0.95%	1.63%	1.06%	1.50%	1.18%	0.73%	0.64%	1.11%	1.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	224	20	18	22	17	19	21	16	20	12	23	21	15									
		2.49%	2.30%	2.33%	2.73%	2.69%	2.39%	2.78%	2.18%	2.61%	1.74%	2.96%	2.58%	2.59%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3607	320	346	396	234	313	300	303	276	267	271	312	269									
		40.13%	36.87%	44.76%	49.13%	36.97%	39.32%	39.74%	41.34%	36.08%	38.75%	34.83%	38.38%	46.38%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	127	8	13	7	9	18	10	10	15	9	11	4	13									
		1.41%	0.92%	1.68%	0.87%	1.42%	2.26%	1.32%	1.36%	1.96%	1.31%	1.41%	0.49%	2.24%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	4	1	1	1	3	1	0	4	3	0	1	2									
		0.23%	0.46%	0.13%	0.12%	0.16%	0.38%	0.13%	0.00%	0.52%	0.44%	0.00%	0.12%	0.34%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	972	79	74	92	83	66	74	89	76	64	95	117	63									
		10.81%	9.10%	9.57%	11.41%	13.11%	8.29%	9.80%	12.14%	9.93%	9.29%	12.21%	14.39%	10.86%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	165	21	8	9	24	9	17	10	15	16	18	12	6									
		1.84%	2.42%	1.03%	1.12%	3.79%	1.13%	2.25%	1.36%	1.96%	2.32%	2.31%	1.48%	1.03%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	840	87	73	50	71	80	71	61	78	83	80	72	34									
		9.34%	10.02%	9.44%	6.20%	11.22%	10.05%	9.40%	8.32%	10.20%	12.05%	10.28%	8.86%	5.86%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	35	2	2	5	2	2	1	4	2	0	2	4	9									
		0.39%	0.23%	0.26%	0.62%	0.32%	0.25%	0.13%	0.55%	0.26%	0.00%	0.26%	0.49%	1.55%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	778	104	59	52	59	69	76	64	52	59	74	62	48									
		8.66%	11.98%	7.63%	6.45%	9.32%	8.67%	10.07%	8.73%	6.80%	8.56%	9.51%	7.63%	8.28%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1046	100	77	78	60	106	90	80	99	92	91	99	74									
		11.64%	11.52%	9.96%	9.68%	9.48%	13.32%	11.92%	10.91%	12.94%	13.35%	11.70%	12.18%	12.76%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	27	5	1	1	1	5	1	3	2	1	2	3	2									
		0.30%	0.58%	0.13%	0.12%	0.16%	0.63%	0.13%	0.41%	0.26%	0.15%	0.26%	0.37%	0.34%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	618	63	67	47	35	70	46	46	68	42	66	54	14									
		6.88%	7.26%	8.67%	5.83%	5.53%	8.79%	6.09%	6.28%	8.89%	6.10%	8.48%	6.64%	2.41%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
