Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Брянск, Бежицкая"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №1120									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	128324	1439	2697	2298	1462	2725	2140	1929	1689	1555	1759	1792	1761	2141	2173	1564	1771	2160	1833	2290	2099	2021	2581	2883	2336	2132	1590	1764	2032	2074	1674	2664	2642	2709	2095	1986	1872	1903	2340	1977	1292	1413	1596	1931	1491	2116	1542	2319	982	2840	1078	1724	2660	2660	2312	2857	3072	2875	1453	2215	1946	2007	2365	1026									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	121300	1300	2500	2200	1300	2600	2000	1800	1500	1400	1700	1700	1700	2000	2000	1500	1700	2000	1800	2200	2000	2000	2500	2700	2200	2000	1500	1700	2000	2000	1500	2500	2500	2500	2000	1900	1800	1800	2300	1900	1200	1300	1500	1800	1000	2000	1500	2200	900	2700	1000	1600	2500	2500	2200	2700	3000	2800	1300	2100	1900	1900	2300	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	57483	374	1821	1038	608	1501	1138	1102	771	876	419	1222	454	1107	690	803	607	1320	883	839	650	1205	1558	1229	761	1282	403	709	804	584	401	803	719	1322	1014	1014	853	1332	901	646	446	509	605	646	542	651	506	859	334	1502	330	684	979	1347	595	1700	1942	1973	700	605	769	1217	1253	1026									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2204	67	8	352	6	47	97	45	9	5	11	13	34	21	6	22	25	11	4	6	8	5	11	6	8	1	2	13	57	41	8	5	25	90	31	11	101	20	100	53	49	49	31	11	3	11	7	36	4	3	92	165	10	18	36	16	8	68	106	18	3	73	2	0									
6	Число погашенных избирательных бюллетеней	61613	859	671	810	686	1052	765	653	720	519	1270	465	1212	872	1304	675	1068	669	913	1355	1342	790	931	1465	1431	717	1095	978	1139	1375	1091	1692	1756	1088	955	875	846	448	1299	1201	705	742	864	1143	455	1338	987	1305	562	1195	578	751	1511	1135	1569	984	1050	759	494	1477	1128	610	1045	174									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2204	67	8	352	6	47	97	45	9	5	11	13	34	21	6	22	25	11	4	6	8	5	11	6	8	1	2	13	57	41	8	5	25	90	31	11	101	20	100	53	49	49	31	11	3	11	7	36	4	3	92	165	10	18	36	16	8	68	106	18	3	73	2	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	57473	374	1821	1038	608	1501	1138	1102	771	876	417	1222	454	1107	690	803	607	1320	883	833	650	1205	1558	1229	761	1282	403	709	804	584	401	803	719	1321	1014	1014	853	1332	901	646	446	509	605	646	542	651	506	858	334	1502	330	684	979	1347	595	1700	1942	1973	700	605	769	1217	1253	1026									
9	Число недействительных избирательных бюллетеней	531	8	3	8	5	15	11	8	2	6	10	1	7	13	8	7	9	16	6	3	11	11	7	4	40	5	8	3	33	7	3	6	21	1	7	7	16	14	5	5	3	0	8	10	6	19	11	18	0	3	4	9	4	6	6	1	10	2	6	7	10	12	9	7									
10	Число действительных избирательных бюллетеней	59146	433	1826	1382	609	1533	1224	1139	778	875	418	1234	481	1115	688	818	623	1315	881	836	647	1199	1562	1231	729	1278	397	719	828	618	406	802	723	1410	1038	1018	938	1338	996	694	492	558	628	647	539	643	502	876	338	1502	418	840	985	1359	625	1715	1940	2039	800	616	762	1278	1246	1019									
