Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Дятьковская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	59792	2307	948	1361	1581	1067	1644	719	2373	1353	772	1367	391	865	1112	1066	1759	698	2183	1660	2133	371	1891	887	2722	858	2311	1340	929	1825	1318	479	1680	438	1493	440	247	331	690	1733	218	1907	1660	251	2131	2226	2057									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59000	2120	950	1350	1570	1070	1650	720	2370	1350	760	1355	385	850	1100	1050	1750	680	2160	1630	2130	360	1900	900	2710	835	2290	1300	910	1800	1300	450	1680	420	1480	420	240	320	680	1720	220	1870	1640	250	2110	2175	2020									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23781	614	209	434	348	327	488	224	728	388	240	464	178	256	297	315	617	244	1226	409	520	138	363	417	571	328	1335	772	538	545	566	187	617	231	518	129	97	93	389	759	148	1105	923	196	1378	1388	1524									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2142	195	16	50	34	7	32	19	91	24	75	5	1	10	27	42	58	1	10	96	58	23	190	46	219	52	94	38	45	16	10	18	23	0	73	37	41	40	39	10	19	98	80	5	61	8	6									
6	Число погашенных избирательных бюллетеней	33077	1311	725	866	1188	736	1130	477	1551	938	445	886	206	584	776	693	1075	435	924	1125	1552	199	1347	437	1920	455	861	490	327	1239	724	245	1040	189	889	254	102	187	252	951	53	667	637	49	671	779	490									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2142	195	16	50	34	7	32	19	91	24	75	5	1	10	27	42	58	1	10	96	58	23	190	46	219	52	94	38	45	16	10	18	23	0	73	37	41	40	39	10	19	98	80	5	61	8	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23764	613	209	434	348	327	488	224	728	388	240	451	178	256	297	315	617	244	1226	409	520	138	360	417	571	328	1335	772	538	545	566	187	617	231	518	129	97	93	389	759	148	1105	923	196	1378	1388	1524									
9	Число недействительных избирательных бюллетеней	363	15	4	14	3	8	13	4	18	7	4	8	3	7	8	13	22	3	22	14	15	2	6	6	11	0	15	10	13	5	3	3	13	1	18	0	1	1	0	21	2	2	0	2	2	4	17									
10	Число действительных избирательных бюллетеней	25543	793	221	470	379	326	507	239	801	405	311	448	176	259	316	344	653	242	1214	491	563	159	544	457	779	380	1414	800	570	556	573	202	627	230	573	166	137	132	428	748	165	1201	1003	199	1437	1392	1513									
